package,old_prefix,real_prefix
blog-medvedev,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/blog.kremlin.ru/,http://cdn1.sdlabs.ru/public/OGDHub/blog.kremlin.ru/
cbrf_hist_0610f981,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_08e36d37,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_1bb34506,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_341e1ad4,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_6265cdcb,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_6416086a,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_6a72ee95,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_78ad116c,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_792dbaac,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_7a56f2b6,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_7a8da863,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_7dc95422,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_8349284a,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_8ea31d5f,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_8f35dbf5,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_93fdd1bb,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_9d1e0927,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_9f5231e7,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_a1145b95,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_a34a73bf,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_ae57210b,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_b33df62b,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_ba1f0633,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_c8d63601,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_cc447eb0,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_hist_fcb141ba,http://d2f6aadeaff96aaafda4-614b9ac7aa1f2556da9aa7df0eee2346.r98.cf2.rackcdn.com/cbr.ru/data/raw/JJ.xls,http://cdn1.sdlabs.ru/public/OGDHub/cbr.ru/data/raw/
cbrf_ind_1,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_10,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_103,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_104,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_105,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_106,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_107,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_108,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_109,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_11,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_110,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_111,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_112,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_113,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_114,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_115,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_116,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_117,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_118,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_119,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_12,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_120,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_121,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_122,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_123,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_124,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_125,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_126,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_127,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_128,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_129,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_13,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_130,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_131,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_132,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_133,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_134,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_135,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_136,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_137,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_138,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_139,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_14,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
cbrf_ind_140,http://9e6ea82e8717937529b0-8088da39de044d3f95103c0c7eebdb3b.r31.cf2.rackcdn.com/inddata/,http://cdn1.sdlabs.ru/public/datacollect/cbr.ru/data_20130606/indvalues/
