							
2. НАСЕЛЕНИЕ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ							
							
							
	Мужчины и женщины	Мужчины	Женщины	В процентах к итогу			Женщин на 1000 мужчин
				мужчины и женщины	мужчины	женщины	
Российская Федерация							
Все население	145166731.0	67605133.0	77561598.0	100.0	100.0	100.0	1147.0
в том числе в возрасте, лет:							
0 – 4	6399351.0	3276570.0	3122781.0	4.4	4.8	4.0	953.0
5 – 9	6940873.0	3548366.0	3392507.0	4.8	5.2	4.4	956.0
10 – 14	10406377.0	5312753.0	5093624.0	7.2	7.9	6.6	959.0
15 – 19	12800628.0	6504187.0	6296441.0	8.8	9.6	8.1	968.0
20 – 24	11466404.0	5783137.0	5683267.0	7.9	8.6	7.3	983.0
25 – 29	10612976.0	5314150.0	5298826.0	7.3	7.9	6.8	997.0
30 – 34	9836374.0	4914529.0	4921845.0	6.8	7.3	6.4	1001.0
35 – 39	10216384.0	5024854.0	5191530.0	7.0	7.4	6.7	1033.0
40 – 44	12546470.0	6084104.0	6462366.0	8.6	9.0	8.3	1062.0
45 – 49	11605892.0	5493467.0	6112425.0	8.0	8.1	7.9	1113.0
50 – 54	10071198.0	4642046.0	5429152.0	6.9	6.9	7.0	1170.0
55 – 59	5347399.0	2365925.0	2981474.0	3.7	3.5	3.8	1260.0
60 – 64	7983062.0	3250993.0	4732069.0	5.5	4.8	6.1	1456.0
65 – 69	6344576.0	2444084.0	3900492.0	4.4	3.6	5.0	1596.0
70 – 74	5897697.0	2033652.0	3864045.0	4.1	3.0	5.0	1900.0
75 – 79	3911286.0	1036442.0	2874844.0	2.7	1.5	3.7	2774.0
80 – 84	1569690.0	329521.0	1240169.0	1.1	0.5	1.6	3764.0
85 и более	1090199.0	185987.0	904212.0	0.7	0.3	1.2	4862.0
возраст не указан	119895.0	60366.0	59529.0	0.1	0.1	0.1	986.0
Медианный возраст	37.1	34.1	39.8				
Из общей численности - население в возрасте:							
моложе трудоспособного	26327283.0	13452030.0	12875253.0	18.1	19.9	16.6	957.0
трудоспособном	88941569.0	44812058.0	44129511.0	61.3	66.3	56.9	985.0
старше трудоспособного	29777984.0	9280679.0	20497305.0	20.5	13.7	26.4	2209.0
0 – 13 лет	21295973.0	10889902.0	10406071.0	14.7	16.1	13.4	956.0
0 – 17 лет	31369855.0	16009404.0	15360451.0	21.6	23.7	19.8	959.0
16 – 29 лет	32299326.0	16287133.0	16012193.0	22.2	24.1	20.6	983.0
Городское население	106429049.0	49149510.0	57279539.0	100.0	100.0	100.0	1165.0
в том числе в возрасте, лет:							
0 – 4	4395265.0	2252497.0	2142768.0	4.1	4.6	3.7	951.0
5 – 9	4683196.0	2397174.0	2286022.0	4.4	4.9	4.0	954.0
10 – 14	7119078.0	3632534.0	3486544.0	6.7	7.4	6.1	960.0
15 – 19	9658331.0	4864332.0	4793999.0	9.1	9.9	8.4	986.0
20 – 24	8856140.0	4431145.0	4424995.0	8.3	9.0	7.7	999.0
25 – 29	8149844.0	4057349.0	4092495.0	7.7	8.19999980927	7.1	1009.0
30 – 34	7433785.0	3692438.0	3741347.0	7.0	7.5	6.5	1013.0
35 – 39	7505464.0	3637414.0	3868050.0	7.1	7.4	6.69999980927	1063.0
40 – 44	9247329.0	4380754.0	4866575.0	8.7	8.9	8.5	1111.0
45 – 49	8692561.0	4011192.0	4681369.0	8.2	8.2	8.2	1167.0
50 – 54	7709838.0	3477142.0	4232696.0	7.2	7.1	7.4	1217.0
55 – 59	4152260.0	1817801.0	2334459.0	3.9	3.7	4.1	1284.0
60 – 64	5743047.0	2313523.0	3429524.0	5.4	4.7	6.0	1482.0
65 – 69	4416699.0	1666739.0	2749960.0	4.09999990463	3.4	4.8	1650.0
70 – 74	3980662.0	1345412.0	2635250.0	3.7	2.7	4.6	1959.0
75 – 79	2730336.0	737544.0	1992792.0	2.6	1.5	3.5	2702.0
80 – 84	1102700.0	240287.0	862413.0	1.0	0.5	1.5	3589.0
85 и более	740620.0	137733.0	602887.0	0.7	0.3	1.1	4377.0
возраст не указан	111894.0	56500.0	55394.0	0.1	0.1	0.1	980.0
Медианный возраст	37.1	33.9	39.8				
Из общей численности - население в возрасте:							
моложе трудоспособного	18019188.0	9206301.0	8812887.0	16.9	18.7	15.4	957.0
трудоспособном	67249444.0	33445471.0	33803973.0	63.2	68.1	59.0	1011.0
старше трудоспособного	21048523.0	6441238.0	14607285.0	19.8	13.1	25.5	2268.0
0 – 13 лет	14498713.0	7418385.0	7080328.0	13.6	15.1	12.4	954.0
0 – 17 лет	21769157.0	11083275.0	10685882.0	20.5	22.6	18.7	964.0
16 – 29 лет	24842666.0	12428730.0	12413936.0	23.3	25.3	21.7	999.0
Сельское население	38737682.0	18455623.0	20282059.0	100.0	100.0	100.0	1099.0
в том числе в возрасте, лет:							
0 – 4	2004086.0	1024073.0	980013.0	5.2	5.5	4.8	957.0
5 – 9	2257677.0	1151192.0	1106485.0	5.8	6.30000019073	5.5	961.0
10 – 14	3287299.0	1680219.0	1607080.0	8.5	9.1	7.9	956.0
15 – 19	3142297.0	1639855.0	1502442.0	8.1	8.9	7.4	916.0
20 – 24	2610264.0	1351992.0	1258272.0	6.7	7.3	6.2	931.0
25 – 29	2463132.0	1256801.0	1206331.0	6.4	6.8	5.9	960.0
30 – 34	2402589.0	1222091.0	1180498.0	6.2	6.6	5.8	966.0
35 – 39	2710920.0	1387440.0	1323480.0	7.0	7.5	6.5	954.0
40 – 44	3299141.0	1703350.0	1595791.0	8.5	9.2	7.9	937.0
45 – 49	2913331.0	1482275.0	1431056.0	7.5	8.10000038147	7.1	965.0
50 – 54	2361360.0	1164904.0	1196456.0	6.1	6.3	5.9	1027.0
55 – 59	1195139.0	548124.0	647015.0	3.1	3.0	3.2	1180.0
60 – 64	2240015.0	937470.0	1302545.0	5.8	5.1	6.4	1389.0
65 – 69	1927877.0	777345.0	1150532.0	5.0	4.2	5.7	1480.0
70 – 74	1917035.0	688240.0	1228795.0	5.0	3.7	6.1	1785.0
75 – 79	1180950.0	298898.0	882052.0	3.0	1.6	4.3	2951.0
80 – 84	466990.0	89234.0	377756.0	1.2	0.5	1.9	4233.0
85 и более	349579.0	48254.0	301325.0	0.9	0.3	1.5	6245.0
возраст не указан	8001.0	3866.0	4135.0	0.0	0.0	0.0	1070.0
Медианный возраст	37.4	34.6	39.9				
Из общей численности - население в возрасте:							
моложе трудоспособного	8308095.0	4245729.0	4062366.0	21.4	23.0	20.0	957.0
трудоспособном	21692125.0	11366587.0	10325538.0	56.0	61.6	50.9	908.0
старше трудоспособного	8729461.0	2839441.0	5890020.0	22.6	15.4	29.1	2074.0
0 – 13 лет	6797260.0	3471517.0	3325743.0	17.5	18.8	16.4	958.0
0 – 17 лет	9600698.0	4926129.0	4674569.0	24.8	26.7	23.0	949.0
16 – 29 лет	7456660.0	3858403.0	3598257.0	19.2	20.9	17.7	933.0
Центральный федеральный округ							
Все население	38000651.0	17547582.0	20453069.0	100.0	100.0	100.0	1166.0
в том числе в возрасте, лет:							
0 – 4	1388840.0	713122.0	675718.0	3.7	4.1	3.3	948.0
5 – 9	1526248.0	784168.0	742080.0	4.0	4.5	3.6	946.0
10 – 14	2317473.0	1187269.0	1130204.0	6.1	6.8	5.5	952.0
15 – 19	2973542.0	1520757.0	1452785.0	7.8	8.7	7.1	955.0
20 – 24	2836549.0	1451665.0	1384884.0	7.5	8.3	6.8	954.0
25 – 29	2696294.0	1367375.0	1328919.0	7.1	7.8	6.5	972.0
30 – 34	2620303.0	1329428.0	1290875.0	6.9	7.6	6.3	971.0
35 – 39	2717761.0	1350601.0	1367160.0	7.09999990463	7.7	6.7	1012.0
40 – 44	3350089.0	1636732.0	1713357.0	8.8	9.3	8.4	1047.0
45 – 49	3102763.0	1476963.0	1625800.0	8.2	8.4	7.9	1101.0
50 – 54	2745482.0	1265894.0	1479588.0	7.2	7.2	7.2	1169.0
55 – 59	1549523.0	684559.0	864964.0	4.1	3.9	4.2	1264.0
60 – 64	2327561.0	937665.0	1389896.0	6.1	5.3	6.8	1482.0
65 – 69	1844067.0	700687.0	1143380.0	4.9	4.0	5.6	1632.0
70 – 74	1817404.0	614057.0	1203347.0	4.8	3.5	5.9	1960.0
75 – 79	1262353.0	330771.0	931582.0	3.3	1.9	4.6	2816.0
