									
5. НАСЕЛЕНИЕ, УКАЗАВШЕЕ ДВА ИСТОЧНИКА СРЕДСТВ К СУЩЕСТВОВАНИЮ, ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ									
									
									
	Городское и сельское население	Городское население	Сельское население	Из общей численности – население в возрасте					
				трудоспособном			старше трудоспособного		
				городское и сельское	городское	сельское	городское и сельское	городское	сельское
Все население, указавшее два источника средств к существованию	38198840.0	20867705.0	17331135.0	17334850.0	9378176.0	7956674.0	7797233.0	4199793.0	3597440.0
в том числе указавшее источники:									
доход от трудовой деятельности и									
личное подсобное хозяйство	7508149.0	2772595.0	4735554.0	7460633.0	2746114.0	4714519.0	46088.0	26003.0	20085.0
стипендию	121340.0	117445.0	3895.0	120985.0	117121.0	3864.0	-	-	-
пенсию (кроме пенсии по инвалидности)	3457540.0	3119089.0	338451.0	1189122.0	1053010.0	136112.0	2267740.0	2065544.0	202196.0
пенсию по инвалидности	306884.0	245325.0	61559.0	288272.0	228460.0	59812.0	18517.0	16792.0	1725.0
пособие (кроме пособия по безработице)	454564.0	376954.0	77610.0	452040.0	375226.0	76814.0	1210.0	1060.0	150.0
пособие по безработице	9506.0	7428.0	2078.0	9501.0	7424.0	2077.0	-	-	-
другой вид государственного обеспечения	411562.0	317199.0	94363.0	410036.0	315998.0	94038.0	1144.0	913.0	231.0
сбережения	40499.0	37200.0	3299.0	39988.0	36725.0	3263.0	488.0	454.0	34.0
доход от сдачи внаем или в аренду имущества	35339.0	24034.0	11305.0	34892.0	23656.0	11236.0	428.0	363.0	65.0
на иждивении отдельных лиц	241741.0	210784.0	30957.0	237601.0	207155.0	30446.0	627.0	546.0	81.0
иной источник	200957.0	170259.0	30698.0	198763.0	168260.0	30503.0	1972.0	1813.0	159.0
личное подсобное хозяйство и									
стипендию	12570.0	6005.0	6565.0	11909.0	5681.0	6228.0	-	-	-
пенсию (кроме пенсии по инвалидности)	4999574.0	1663708.0	3335866.0	313715.0	131086.0	182629.0	4684057.0	1532033.0	3152024.0
пенсию по инвалидности	467684.0	130961.0	336723.0	350050.0	89914.0	260136.0	116856.0	40867.0	75989.0
пособие (кроме пособия по безработице)	108151.0	20959.0	87192.0	94339.0	18294.0	76045.0	1360.0	407.0	953.0
пособие по безработице	173424.0	45700.0	127724.0	173410.0	45695.0	127715.0	-	-	-
другой вид государственного обеспечения	9589.0	2634.0	6955.0	9072.0	2440.0	6632.0	217.0	116.0	101.0
сбережения	15865.0	7354.0	8511.0	15640.0	7249.0	8391.0	217.0	98.0	119.0
доход от сдачи внаем или в аренду имущества	12298.0	2090.0	10208.0	12127.0	2048.0	10079.0	141.0	27.0	114.0
на иждивении отдельных лиц	1423723.0	432738.0	990985.0	1345924.0	396010.0	949914.0	3721.0	1177.0	2544.0
иной источник	156421.0	40544.0	115877.0	155384.0	40230.0	115154.0	889.0	265.0	624.0
стипендию и									
пенсию	36083.0	28674.0	7409.0	33942.0	27052.0	6890.0	-	-	-
пособие (кроме пособия по безработице)	22005.0	17774.0	4231.0	17527.0	14614.0	2913.0	-	-	-
сбережения	1144.0	1097.0	47.0	1133.0	1086.0	47.0	-	-	-
доход от сдачи внаем или в аренду имущества	1003.0	901.0	102.0	968.0	871.0	97.0	-	-	-
на иждивении отдельных лиц	2297731.0	1983418.0	314313.0	2165037.0	1874143.0	290894.0	-	-	-
иной источник	9951.0	9324.0	627.0	9698.0	9097.0	601.0	-	-	-
пенсию и									
пособие	167860.0	101537.0	66323.0	46556.0	32250.0	14306.0	51549.0	39808.0	11741.0
сбережения	32180.0	26209.0	5971.0	4537.0	4004.0	533.0	27321.0	22104.0	5217.0
доход от сдачи внаем или в аренду имущества	39581.0	20316.0	19265.0	4395.0	2795.0	1600.0	34900.0	17311.0	17589.0
на иждивении отдельных лиц	695008.0	494437.0	200571.0	286854.0	200132.0	86722.0	126941.0	95722.0	31219.0
иной источник	39064.0	32398.0	6666.0	14884.0	11636.0	3248.0	23684.0	20374.0	3310.0
пособие и									
сбережения	4478.0	3883.0	595.0	4380.0	3824.0	556.0	14.0	11.0	3.0
доход от сдачи внаем или в аренду имущества	12939.0	6492.0	6447.0	2362.0	1628.0	734.0	18.0	9.0	9.0
на иждивении отдельных лиц	13650759.0	7618608.0	6032151.0	1392845.0	881894.0	510951.0	1194.0	848.0	346.0
иной источник	40922.0	27533.0	13389.0	28427.0	18965.0	9462.0	38.0	26.0	12.0
другие сочетания источников средств к существованию	980752.0	744099.0	236653.0	397902.0	276389.0	121513.0	385902.0	315102.0	70800.0
Мужчины, указавшие два источника средств к существованию	17940055.0	9647844.0	8292211.0	8492213.0	4410788.0	4081425.0	2785662.0	1520487.0	1265175.0
в том числе указавшие источники:									
доход от трудовой деятельности и									
личное подсобное хозяйство	4015929.0	1408276.0	2607653.0	4000244.0	1400208.0	2600036.0	14739.0	7788.0	6951.0
стипендию	64256.0	62253.0	2003.0	64036.0	62057.0	1979.0	-	-	-
пенсию (кроме пенсии по инвалидности)	1502166.0	1368278.0	133888.0	632691.0	573220.0	59471.0	869136.0	794825.0	74311.0
пенсию по инвалидности	175717.0	137028.0	38689.0	167762.0	129885.0	37877.0	7890.0	7096.0	794.0
пособие (кроме пособия по безработице)	48354.0	40008.0	8346.0	47175.0	39339.0	7836.0	311.0	269.0	42.0
пособие по безработице	3072.0	2343.0	729.0	3070.0	2342.0	728.0	-	-	-
другой вид государственного обеспечения	345885.0	265406.0	80479.0	344931.0	264656.0	80275.0	662.0	529.0	133.0
сбережения	23590.0	21660.0	1930.0	23387.0	21470.0	1917.0	191.0	178.0	13.0
доход от сдачи внаем или в аренду имущества	18626.0	12128.0	6498.0	18468.0	12000.0	6468.0	150.0	121.0	29.0
на иждивении отдельных лиц	98349.0	84192.0	14157.0	96243.0	82398.0	13845.0	161.0	136.0	25.0
иной источник	122696.0	101550.0	21146.0	121683.0	100646.0	21037.0	874.0	790.0	84.0
личное подсобное хозяйство и									
стипендию	6664.0	3089.0	3575.0	6233.0	2878.0	3355.0	-	-	-
пенсию (кроме пенсии по инвалидности)	1755190.0	589104.0	1166086.0	144969.0	70110.0	74859.0	1609354.0	518729.0	1090625.0
пенсию по инвалидности	279182.0	74700.0	204482.0	215357.0	54008.0	161349.0	63326.0	20587.0	42739.0
пособие (кроме пособия по безработице)	16827.0	4048.0	12779.0	10025.0	2784.0	7241.0	424.0	123.0	301.0
пособие по безработице	66006.0	18025.0	47981.0	66004.0	18025.0	47979.0	-	-	-
другой вид государственного обеспечения	2363.0	757.0	1606.0	2136.0	683.0	1453.0	67.0	31.0	36.0
сбережения	9653.0	4409.0	5244.0	9552.0	4365.0	5187.0	98.0	41.0	57.0
доход от сдачи внаем или в аренду имущества	6300.0	1042.0	5258.0	6231.0	1028.0	5203.0	57.0	8.0	49.0
на иждивении отдельных лиц	594684.0	177333.0	417351.0	555293.0	158941.0	396352.0	901.0	270.0	631.0
иной источник	105911.0	25975.0	79936.0	105460.0	25854.0	79606.0	365.0	93.0	272.0
стипендию и									
пенсию	15692.0	12163.0	3529.0	14497.0	11286.0	3211.0	-	-	-
пособие (кроме пособия по безработице)	9299.0	7246.0	2053.0	6669.0	5389.0	1280.0	-	-	-
сбережения	607.0	577.0	30.0	601.0	571.0	30.0	-	-	-
доход от сдачи внаем или в аренду имущества	525.0	466.0	59.0	505.0	450.0	55.0	-	-	-
на иждивении отдельных лиц	1086551.0	924023.0	162528.0	1006652.0	858645.0	148007.0	-	-	-
иной источник	5369.0	4994.0	375.0	5218.0	4864.0	354.0	-	-	-
пенсию и									
пособие	65596.0	36427.0	29169.0	15951.0	10781.0	5170.0	13632.0	10653.0	2979.0
сбережения	11825.0	9772.0	2053.0	2597.0	2291.0	306.0	9043.0	7429.0	1614.0
доход от сдачи внаем или в аренду имущества	11273.0	4934.0	6339.0	2239.0	1364.0	875.0	8887.0	3462.0	5425.0
на иждивении отдельных лиц	312613.0	216261.0	96352.0	140419.0	94689.0	45730.0	20639.0	15288.0	5351.0
иной источник	17786.0	14309.0	3477.0	8965.0	6942.0	2023.0	8554.0	7165.0	1389.0
пособие и									
сбережения	1558.0	1340.0	218.0	1514.0	1316.0	198.0	3.0	2.0	1.0
доход от сдачи внаем или в аренду имущества	6021.0	2871.0	3150.0	711.0	432.0	279.0	6.0	2.0	4.0
на иждивении отдельных лиц	6628890.0	3641215.0	2987675.0	408185.0	226416.0	181769.0	368.0	266.0	102.0
иной источник	14757.0	9413.0	5344.0	8438.0	5068.0	3370.0	13.0	7.0	6.0
другие сочетания источников средств к существованию	490273.0	360229.0	130044.0	228102.0	153387.0	74715.0	155811.0	124599.0	31212.0
Женщины, указавшие два источника средств к существованию	20258785.0	11219861.0	9038924.0	8842637.0	4967388.0	3875249.0	5011571.0	2679306.0	2332265.0
в том числе указавшие источники:									
доход от трудовой деятельности и									
личное подсобное хозяйство	3492220.0	1364319.0	2127901.0	3460389.0	1345906.0	2114483.0	31349.0	18215.0	13134.0
стипендию	57084.0	55192.0	1892.0	56949.0	55064.0	1885.0	-	-	-
пенсию (кроме пенсии по инвалидности)	1955374.0	1750811.0	204563.0	556431.0	479790.0	76641.0	1398604.0	1270719.0	127885.0
пенсию по инвалидности	131167.0	108297.0	22870.0	120510.0	98575.0	21935.0	10627.0	9696.0	931.0
пособие (кроме пособия по безработице)	406210.0	336946.0	69264.0	404865.0	335887.0	68978.0	899.0	791.0	108.0
пособие по безработице	6434.0	5085.0	1349.0	6431.0	5082.0	1349.0	-	-	-
другой вид государственного обеспечения	65677.0	51793.0	13884.0	65105.0	51342.0	13763.0	482.0	384.0	98.0
сбережения	16909.0	15540.0	1369.0	16601.0	15255.0	1346.0	297.0	276.0	21.0
доход от сдачи внаем или в аренду имущества	16713.0	11906.0	4807.0	16424.0	11656.0	4768.0	278.0	242.0	36.0
на иждивении отдельных лиц	143392.0	126592.0	16800.0	141358.0	124757.0	16601.0	466.0	410.0	56.0
иной источник	78261.0	68709.0	9552.0	77080.0	67614.0	9466.0	1098.0	1023.0	75.0
личное подсобное хозяйство и									
стипендию	5906.0	2916.0	2990.0	5676.0	2803.0	2873.0	-	-	-
пенсию (кроме пенсии по инвалидности)	3244384.0	1074604.0	2169780.0	168746.0	60976.0	107770.0	3074703.0	1013304.0	2061399.0
пенсию по инвалидности	188502.0	56261.0	132241.0	134693.0	35906.0	98787.0	53530.0	20280.0	33250.0
пособие (кроме пособия по безработице)	91324.0	16911.0	74413.0	84314.0	15510.0	68804.0	936.0	284.0	652.0
пособие по безработице	107418.0	27675.0	79743.0	107406.0	27670.0	79736.0	-	-	-
