			
6. НАСЕЛЕНИЕ, УКАЗАВШЕЕ ДВА ИСТОЧНИКА СРЕДСТВ К СУЩЕСТВОВАНИЮ, ПО ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ			
			
			
	Городское и сельское население	Городское население	Сельское население
Центральный федеральный округ			
Все население, указавшее два источника средств к существованию	7710774.0	4792580.0	2918194.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	1176993.0	448540.0	728453.0
стипендию	45036.0	43796.0	1240.0
пенсию (кроме пенсии по инвалидности)	1041391.0	945870.0	95521.0
пенсию по инвалидности	82823.0	67861.0	14962.0
пособие (кроме пособия по безработице)	135641.0	115339.0	20302.0
пособие по безработице	2148.0	1911.0	237.0
другой вид государственного обеспечения	80606.0	64613.0	15993.0
сбережения	12519.0	11908.0	611.0
доход от сдачи внаем или в аренду имущества	6506.0	5567.0	939.0
на иждивении отдельных лиц	57795.0	52218.0	5577.0
иной источник	72031.0	65568.0	6463.0
личное подсобное хозяйство и			
стипендию	1793.0	954.0	839.0
пенсию (кроме пенсии по инвалидности)	1045393.0	317154.0	728239.0
пенсию по инвалидности	91572.0	25698.0	65874.0
пособие (кроме пособия по безработице)	16060.0	3652.0	12408.0
пособие по безработице	14705.0	5832.0	8873.0
другой вид государственного обеспечения	1294.0	405.0	889.0
сбережения	2613.0	1446.0	1167.0
доход от сдачи внаем или в аренду имущества	1418.0	317.0	1101.0
на иждивении отдельных лиц	159792.0	54487.0	105305.0
иной источник	22672.0	6335.0	16337.0
стипендию и			
пенсию	6878.0	5602.0	1276.0
пособие (кроме пособия по безработице)	5855.0	4737.0	1118.0
сбережения	450.0	431.0	19.0
доход от сдачи внаем или в аренду имущества	177.0	161.0	16.0
на иждивении отдельных лиц	561263.0	488051.0	73212.0
иной источник	3733.0	3580.0	153.0
пенсию и			
пособие	50734.0	36541.0	14193.0
сбережения	10111.0	8834.0	1277.0
доход от сдачи внаем или в аренду имущества	6483.0	4185.0	2298.0
на иждивении отдельных лиц	135145.0	103361.0	31784.0
иной источник	12002.0	10610.0	1392.0
пособие и			
сбережения	1137.0	1025.0	112.0
доход от сдачи внаем или в аренду имущества	1873.0	1276.0	597.0
на иждивении отдельных лиц	2572888.0	1672124.0	900764.0
иной источник	8018.0	6239.0	1779.0
другие сочетания источников средств к существованию	263226.0	206352.0	56874.0
Мужчины, указавшие два источника средств к существованию	3553873.0	2209431.0	1344442.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	606321.0	221566.0	384755.0
стипендию	24231.0	23584.0	647.0
пенсию (кроме пенсии по инвалидности)	459531.0	421480.0	38051.0
пенсию по инвалидности	46507.0	37268.0	9239.0
пособие (кроме пособия по безработице)	26218.0	21893.0	4325.0
пособие по безработице	695.0	628.0	67.0
другой вид государственного обеспечения	63237.0	51862.0	11375.0
сбережения	7306.0	6939.0	367.0
доход от сдачи внаем или в аренду имущества	3506.0	2939.0	567.0
на иждивении отдельных лиц	22845.0	20546.0	2299.0
иной источник	46003.0	41403.0	4600.0
личное подсобное хозяйство и			
стипендию	941.0	487.0	454.0
пенсию (кроме пенсии по инвалидности)	352351.0	108534.0	243817.0
пенсию по инвалидности	53681.0	14252.0	39429.0
пособие (кроме пособия по безработице)	2769.0	848.0	1921.0
пособие по безработице	5512.0	2374.0	3138.0
другой вид государственного обеспечения	326.0	117.0	209.0
сбережения	1485.0	820.0	665.0
доход от сдачи внаем или в аренду имущества	709.0	152.0	557.0
на иждивении отдельных лиц	70443.0	23380.0	47063.0
иной источник	15232.0	3977.0	11255.0
стипендию и			
пенсию	3263.0	2620.0	643.0
пособие (кроме пособия по безработице)	2582.0	2023.0	559.0
сбережения	262.0	251.0	11.0
доход от сдачи внаем или в аренду имущества	95.0	84.0	11.0
на иждивении отдельных лиц	273573.0	235674.0	37899.0
иной источник	2135.0	2035.0	100.0
пенсию и			
пособие	17552.0	12199.0	5353.0
сбережения	3894.0	3475.0	419.0
доход от сдачи внаем или в аренду имущества	1796.0	1096.0	700.0
на иждивении отдельных лиц	57681.0	42449.0	15232.0
иной источник	5343.0	4640.0	703.0
пособие и			
сбережения	360.0	318.0	42.0
доход от сдачи внаем или в аренду имущества	842.0	562.0	280.0
на иждивении отдельных лиц	1246831.0	801289.0	445542.0
иной источник	2662.0	2004.0	658.0
другие сочетания источников средств к существованию	125153.0	93663.0	31490.0
Женщины, указавшие два источника средств к существованию	4156901.0	2583149.0	1573752.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	570672.0	226974.0	343698.0
стипендию	20805.0	20212.0	593.0
пенсию (кроме пенсии по инвалидности)	581860.0	524390.0	57470.0
пенсию по инвалидности	36316.0	30593.0	5723.0
пособие (кроме пособия по безработице)	109423.0	93446.0	15977.0
пособие по безработице	1453.0	1283.0	170.0
другой вид государственного обеспечения	17369.0	12751.0	4618.0
сбережения	5213.0	4969.0	244.0
доход от сдачи внаем или в аренду имущества	3000.0	2628.0	372.0
на иждивении отдельных лиц	34950.0	31672.0	3278.0
иной источник	26028.0	24165.0	1863.0
личное подсобное хозяйство и			
стипендию	852.0	467.0	385.0
пенсию (кроме пенсии по инвалидности)	693042.0	208620.0	484422.0
пенсию по инвалидности	37891.0	11446.0	26445.0
пособие (кроме пособия по безработице)	13291.0	2804.0	10487.0
пособие по безработице	9193.0	3458.0	5735.0
другой вид государственного обеспечения	968.0	288.0	680.0
сбережения	1128.0	626.0	502.0
доход от сдачи внаем или в аренду имущества	709.0	165.0	544.0
на иждивении отдельных лиц	89349.0	31107.0	58242.0
иной источник	7440.0	2358.0	5082.0
стипендию и			
пенсию	3615.0	2982.0	633.0
пособие (кроме пособия по безработице)	3273.0	2714.0	559.0
сбережения	188.0	180.0	8.0
доход от сдачи внаем или в аренду имущества	82.0	77.0	5.0
на иждивении отдельных лиц	287690.0	252377.0	35313.0
иной источник	1598.0	1545.0	53.0
пенсию и			
пособие	33182.0	24342.0	8840.0
сбережения	6217.0	5359.0	858.0
доход от сдачи внаем или в аренду имущества	4687.0	3089.0	1598.0
на иждивении отдельных лиц	77464.0	60912.0	16552.0
иной источник	6659.0	5970.0	689.0
пособие и			
сбережения	777.0	707.0	70.0
доход от сдачи внаем или в аренду имущества	1031.0	714.0	317.0
на иждивении отдельных лиц	1326057.0	870835.0	455222.0
иной источник	5356.0	4235.0	1121.0
другие сочетания источников средств к существованию	138073.0	112689.0	25384.0
Белгородская область			
Все население, указавшее два источника средств к существованию	465221.0	216189.0	249032.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	95221.0	29557.0	65664.0
стипендию	402.0	370.0	32.0
пенсию (кроме пенсии по инвалидности)	21841.0	17987.0	3854.0
пенсию по инвалидности	4827.0	3573.0	1254.0
пособие (кроме пособия по безработице)	5944.0	4944.0	1000.0
пособие по безработице	71.0	65.0	6.0
другой вид государственного обеспечения	3502.0	2918.0	584.0
сбережения	255.0	217.0	38.0
доход от сдачи внаем или в аренду имущества	279.0	158.0	121.0
на иждивении отдельных лиц	2292.0	1925.0	367.0
иной источник	872.0	732.0	140.0
личное подсобное хозяйство и			
стипендию	76.0	28.0	48.0
пенсию (кроме пенсии по инвалидности)	86542.0	18946.0	67596.0
пенсию по инвалидности	10647.0	2320.0	8327.0
пособие (кроме пособия по безработице)	1306.0	272.0	1034.0
пособие по безработице	361.0	198.0	163.0
другой вид государственного обеспечения	117.0	29.0	88.0
сбережения	309.0	125.0	184.0
доход от сдачи внаем или в аренду имущества	110.0	19.0	91.0
на иждивении отдельных лиц	15869.0	4897.0	10972.0
иной источник	973.0	204.0	769.0
стипендию и			
пенсию	161.0	131.0	30.0
