3. ТЕРРИТОРИЯ, ЧИСЛО РАЙОНОВ, НАСЕЛЕННЫХ ПУНКТОВ И СЕЛЬСКИХ АДМИНИСТРАЦИЙ                                                                                                   ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 								
	Территория, тысяч кв.       км1)	Районы	Города	Городские районы (округа)	Поселки городского типа	Сельские админист-рации2)	Сельские населенные пункты	в том числе без населения3)
Российская Федерация	17075.4	1866.0	1098.0	330.0	1842.0	24464.0	155289.0	13086.0
Центральный федеральный округ	650.7	423.0	305.0	68.0	446.0	6136.0	60354.0	6096.0
Белгородская область	27.1	21.0	10.0	2.0	20.0	335.0	1577.0	34.0
Брянская область	34.9	27.0	16.0	4.0	28.0	420.0	2688.0	98.0
Владимирская область	29.0	16.0	23.0	3.0	32.0	227.0	2476.0	252.0
Воронежская область	52.4	32.0	15.0	6.0	21.0	493.0	1872.0	125.0
Ивановская область	21.8	21.0	17.0	4.0	31.0	205.0	3015.0	378.0
Калужская область	29.9	24.0	19.0	3.0	10.0	329.0	3189.0	270.0
Костромская область	60.1	24.0	12.0	-	8.0	274.0	3598.0	789.0
Курская область	29.8	28.0	10.0	3.0	23.0	479.0	2771.0	49.0
Липецкая область	24.1	18.0	8.0	4.0	2.0	303.0	1587.0	47.0
Московская область	}       47,0	39.0	76.0	-	109.0	471.0	6228.0	353.0
г. Москва		-	2.0	10.0	3.0	-	-	-
Орловская область	24.7	24.0	7.0	4.0	13.0	223.0	3054.0	199.0
Рязанская область	39.6	25.0	12.0	4.0	26.0	482.0	2751.0	196.0
Смоленская область	49.8	25.0	15.0	3.0	15.0	405.0	4894.0	488.0
Тамбовская область	34.3	23.0	8.0	3.0	12.0	309.0	1753.0	94.0
Тверская область	84.1	36.0	23.0	4.0	31.0	614.0	9509.0	1411.0
Тульская область	25.7	23.0	21.0	5.0	49.0	341.0	3368.0	284.0
Ярославская область	36.4	17.0	11.0	6.0	13.0	226.0	6024.0	1029.0
Северо - Западный федеральный округ	1677.9	155.0	146.0	38.0	176.0	1769.0	29810.0	3986.0
Республика Карелия	172.4	16.0	13.0	-	11.0	131.0	775.0	94.0
Республика Коми	415.9	12.0	10.0	1.0	31.0	190.0	729.0	17.0
Архангельская область	587.4	21.0	14.0	9.0	35.0	243.0	3957.0	547.0
Ненецкий автономный округ	176.7	-	1.0	-	2.0	17.0	43.0	-
Вологодская область	145.7	26.0	15.0	-	12.0	369.0	8041.0	1625.0
Калининградская область	15.1	13.0	22.0	5.0	5.0	98.0	1079.0	4.0
Ленинградская область	}       85,9	17.0	31.0	-	34.0	204.0	2908.0	137.0
г. Санкт-Петербург		-	1.0	20.0	-	-	-	-
Мурманская область	144.9	5.0	16.0	3.0	16.0	15.0	135.0	29.0
Новгородская область	55.3	21.0	10.0	-	18.0	272.0	3793.0	460.0
