7. ГРУППИРОВКА РАЙОНОВ (КРОМЕ ГОРОДСКИХ) ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ                                                                                                       ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
	Всего    районов	из них с числом жителей				
		20000 и менее	20001-30000	30001-40000	40001-50000	более 50000
Российская Федерация						
Число районов	1866.0	756.0	490.0	271.0	133.0	216.0
численность населения	54895298.0	10202707.0	12075632.0	9348520.0	5909210.0	17359229.0
мужчины	25978244.0	4857229.0	5727838.0	4423671.0	2785569.0	8183937.0
женщины	28917054.0	5345478.0	6347794.0	4924849.0	3123641.0	9175292.0
Центральный федеральный округ						
Число районов	423.0	183.0	93.0	51.0	33.0	63.0
численность населения	14405534.0	2411373.0	2263851.0	1787815.0	1473060.0	6469435.0
мужчины	6628898.0	1111454.0	1041906.0	819325.0	673249.0	2982964.0
женщины	7776636.0	1299919.0	1221945.0	968490.0	799811.0	3486471.0
Белгородская область						
Число районов	21.0	2.0	5.0	9.0	3.0	2.0
численность населения	752388.0	30465.0	127883.0	313320.0	138881.0	141839.0
мужчины	344530.0	13793.0	58971.0	143039.0	63422.0	65305.0
женщины	407858.0	16672.0	68912.0	170281.0	75459.0	76534.0
Брянская область						
Число районов	27.0	8.0	9.0	4.0	5.0	1.0
численность населения	757676.0	114476.0	216591.0	147771.0	225879.0	52959.0
мужчины	349715.0	52821.0	101236.0	67690.0	103461.0	24507.0
женщины	407961.0	61655.0	115355.0	80081.0	122418.0	28452.0
Владимирская область						
Число районов	16.0	1.0	4.0	4.0	3.0	4.0
численность населения	614499.0	11405.0	98408.0	147868.0	130742.0	226076.0
мужчины	278395.0	5225.0	44295.0	68102.0	59025.0	101748.0
женщины	336104.0	6180.0	54113.0	79766.0	71717.0	124328.0
Воронежская область						
Число районов	32.0	3.0	11.0	6.0	4.0	8.0
численность населения	1170800.0	49239.0	277123.0	202033.0	174822.0	467583.0
мужчины	540247.0	22804.0	127100.0	94346.0	81086.0	214911.0
женщины	630553.0	26435.0	150023.0	107687.0	93736.0	252672.0
Ивановская область						
Число районов	21.0	10.0	9.0	1.0	-	1.0
численность населения	440496.0	120437.0	217122.0	38667.0	-	64270.0
мужчины	202881.0	54609.0	101240.0	17281.0	-	29751.0
женщины	237615.0	65828.0	115882.0	21386.0	-	34519.0
Калужская область						
Число районов	24.0	17.0	2.0	-	2.0	3.0
численность населения	504580.0	192784.0	49111.0	-	90955.0	171730.0
мужчины	232972.0	88318.0	22701.0	-	42412.0	79541.0
женщины	271608.0	104466.0	26410.0	-	48543.0	92189.0
Костромская область						
Число районов	24.0	23.0	-	-	1.0	-
численность населения	291798.0	247894.0	-	-	43904.0	-
мужчины	136394.0	116700.0	-	-	19694.0	-
женщины	155404.0	131194.0	-	-	24210.0	-
Курская область						
Число районов	28.0	13.0	11.0	2.0	1.0	1.0
численность населения	638200.0	213623.0	260088.0	67281.0	40714.0	56494.0
мужчины	293170.0	98185.0	119243.0	30616.0	18733.0	26393.0
женщины	345030.0	115438.0	140845.0	36665.0	21981.0	30101.0
Липецкая область						
Число районов	18.0	4.0	6.0	2.0	4.0	2.0
численность населения	590659.0	68777.0	144318.0	73313.0	176602.0	127649.0
мужчины	270699.0	31879.0	65954.0	33496.0	80916.0	58454.0
женщины	319960.0	36898.0	78364.0	39817.0	95686.0	69195.0
Московская область						
Число районов	39.0	1.0	2.0	2.0	4.0	30.0
численность населения	4708312.0	18337.0	47750.0	70188.0	178088.0	4393949.0
мужчины	2171865.0	8460.0	22003.0	32188.0	80519.0	2028695.0
женщины	2536447.0	9877.0	25747.0	38000.0	97569.0	2365254.0
Орловская область						
Число районов	24.0	17.0	5.0	1.0	-	1.0
численность населения	426304.0	218755.0	107182.0	34200.0	-	66167.0
мужчины	196555.0	100983.0	48791.0	15862.0	-	30919.0
женщины	229749.0	117772.0	58391.0	18338.0	-	35248.0
Рязанская область						
Число районов	25.0	11.0	4.0	8.0	1.0	1.0
