name	vs	F5000	F5000_9999	F10000_19999	F20000
Российская Федерация	 	 	 	 	 
Число поселков городского типа	1457	785	476	178	18
численность населения	8153441	2055529	3352039	2327277	418596
мужчины	3855617	971078	1582172	1102851	199516
женщины	4297824	1084451	1769867	1224426	219080
Центральный федеральный округ	 	 	 	 	 
Число поселков городского типа	395	204	139	47	5
численность населения	2297120	586841	959031	626878	124370
мужчины	1062551	266864	442530	293732	59425
женщины	1234569	319977	516501	333146	64945
Белгородская область	 	 	 	 	 
Число поселков городского типа	20	2	12	6	0
численность населения	174818	7389	90233	77196	0
мужчины	80554	3437	41498	35619	0
женщины	94264	3952	48735	41577	0
Брянская область	 	 	 	 	 
Число поселков городского типа	23	8	10	5	0
численность населения	152280	19304	66685	66291	0
мужчины	70915	8840	30888	31187	0
женщины	81365	10464	35797	35104	0
Владимирская область	 	 	 	 	 
Число поселков городского типа	29	18	10	1	0
численность населения	125424	46227	68964	10233	0
мужчины	57018	20713	31745	4560	0
женщины	68406	25514	37219	5673	0
Воронежская область	 	 	 	 	 
Число поселков городского типа	17	5	8	4	0
численность населения	145107	21181	60546	63380	0
мужчины	66514	9583	27539	29392	0
женщины	78593	11598	33007	33988	0
Ивановская область	 	 	 	 	 
Число поселков городского типа	31	26	5	0	0
численность населения	84080	51591	32489	0	0
мужчины	39635	22889	16746	0	0
женщины	44445	28702	15743	0	0
Калужская область	 	 	 	 	 
Число поселков городского типа	10	4	4	2	0
численность населения	67607	9448	31577	26582	0
мужчины	31759	4279	14358	13122	0
женщины	35848	5169	17219	13460	0
Костромская область	 	 	 	 	 
Число поселков городского типа	6	4	2	0	0
численность населения	28184	14649	13535	0	0
мужчины	13222	7127	6095	0	0
женщины	14962	7522	7440	0	0
Курская область	 	 	 	 	 
Число поселков городского типа	23	14	9	0	0
численность населения	105775	50508	55267	0	0
мужчины	48293	23097	25196	0	0
женщины	57482	27411	30071	0	0
Липецкая область	 	 	 	 	 
Число поселков городского типа	2	0	1	1	0
численность населения	19188	0	9035	10153	0
мужчины	8835	0	4151	4684	0
женщины	10353	0	4884	5469	0
Московская область	 	 	 	 	 
Число поселков городского типа	100	47	28	20	5
численность населения	724638	128812	198496	272960	124370
мужчины	340439	58024	93307	129683	59425
женщины	384199	70788	105189	143277	64945
Орловская область	 	 	 	 	 
Число поселков городского типа	13	4	8	1	0
численность населения	85901	17476	56326	12099	0
мужчины	39649	7920	26178	5551	0
женщины	46252	9556	30148	6548	0
Рязанская область	 	 	 	 	 
Число поселков городского типа	23	15	7	1	0
численность населения	109047	47875	44600	16572	0
мужчины	50229	22588	20174	7467	0
женщины	58818	25287	24426	9105	0
Смоленская область	 	 	 	 	 
Число поселков городского типа	15	12	2	1	0
численность населения	68557	42815	11464	14278	0
мужчины	30872	19248	5287	6337	0
женщины	37685	23567	6177	7941	0
Тамбовская область	 	 	 	 	 
Число поселков городского типа	12	2	7	3	0
численность населения	94535	7229	52179	35127	0
мужчины	43590	3319	24049	16222	0
женщины	50945	3910	28130	18905	0
Тверская область	 	 	 	 	 
Число поселков городского типа	28	19	8	1	0
численность населения	125013	59692	53434	11887	0
мужчины	56115	26974	23817	5324	0
женщины	68898	32718	29617	6563	0
Тульская область	 	 	 	 	 
Число поселков городского типа	30	17	12	1	0
численность населения	129979	42146	77713	10120	0
мужчины	59127	19625	34918	4584	0
женщины	70852	22521	42795	5536	0
Ярославская область	 	 	 	 	 
Число поселков городского типа	13	7	6	0	0
численность населения	56987	20499	36488	0	0
мужчины	25785	9201	16584	0	0
женщины	31202	11298	19904	0	0
г. Москва	 	 	 	 	 
Число поселков городского типа	-	-	-	-	-
Северо-Западный федеральный округ	 	 	 	 	 
Число поселков городского типа	135	87	34	13	1
численность населения	666982	250855	240083	154429	21615
мужчины	320732	118713	112957	76950	12112
женщины	346250	132142	127126	77479	9503
Республика Карелия	 	 	 	 	 
Число поселков городского типа	9	5	3	1	0
численность населения	45309	17548	16688	11073	0
мужчины	22798	8205	8231	6362	0
женщины	22511	9343	8457	4711	0
Республика Коми	 	 	 	 	 
Число поселков городского типа	6	3	2	1	0
численность населения	32082	7621	14433	10028	0
мужчины	15655	4191	6898	4566	0
женщины	16427	3430	7535	5462	0
Архангельская область	 	 	 	 	 
Число поселков городского типа	32	25	4	3	0
