2. НАСЕЛЕНИЕ ПО УРОВНЮ ОБРАЗОВАНИЯ, ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ (На 1000 человек соответствующего возраста)											
											
											
	Имеющие образование								Не имеющие 
начального
общего 
образования	из них неграмотные	Не указавшие
уровень
образования
	профессиональное					общее					
	послевузовское 	высшее	неполное 
высшее	среднее	начальное	среднее
(полное)	основное	начальное			
											
											
Все население в возрасте 15 лет и более	3.0	157.0	31.0	271.0	127.0	175.0	138.0	77.0	10.0	6.0	11.0
15–17 лет	-	-	1.0	10.0	17.0	216.0	660.0	80.0	5.0	3.0	11.0
18–19  -"-	-	0.0	76.0	138.0	98.0	517.0	144.0	14.0	4.0	3.0	9.0
20–24  -"-	2.0	116.0	128.0	271.0	137.0	227.0	91.0	13.0	4.0	3.0	11.0
25–29  -"-	4.0	210.0	42.0	315.0	149.0	174.0	82.0	9.0	3.0	2.0	12.0
30–34  -"-	4.0	208.0	31.0	371.0	154.0	159.0	49.0	7.0	3.0	2.0	14.0
35–39  -"-	3.0	215.0	24.0	374.0	157.0	166.0	39.0	6.0	3.0	2.0	13.0
40–44  -"-	3.0	206.0	18.0	362.0	165.0	181.0	43.0	7.0	3.0	2.0	12.0
45–49  -"-	4.0	199.0	15.0	347.0	170.0	178.0	63.0	11.0	2.0	2.0	11.0
50–54  -"-	4.0	198.0	14.0	333.0	153.0	172.0	93.0	19.0	2.0	2.0	12.0
55–59  -"-	5.0	217.0	15.0	294.0	133.0	150.0	123.0	46.0	3.0	2.0	14.0
60–64  -"-	4.0	160.0	10.0	233.0	109.0	127.0	203.0	137.0	7.0	4.0	10.0
65–69  -"-	4.0	134.0	8.0	198.0	90.0	87.0	203.0	249.0	18.0	10.0	9.0
70 лет и более	2.0	83.0	9.0	128.0	59.0	63.0	190.0	397.0	60.0	30.0	9.0
Возраст не указан	1.0	34.0	10.0	59.0	25.0	43.0	22.0	14.0	6.0	2.0	786.0
Из общей численности - население в возрасте:											
трудоспособном	3.0	171.0	39.0	306.0	145.0	207.0	101.0	13.0	3.0	2.0	12.0
старше трудоспособного	3.0	128.0	9.0	190.0	83.0	95.0	190.0	261.0	31.0	16.0	10.0
16-29 лет	2.0	110.0	72.0	224.0	117.0	271.0	173.0	16.0	4.0	3.0	11.0
Мужчины в возрасте 15 лет и более	4.0	152.0	31.0	250.0	157.0	187.0	141.0	61.0	5.0	3.0	12.0
15–17 лет	-	-	1.0	11.0	20.0	197.0	668.0	86.0	6.0	4.0	11.0
18–19  -"-	-	0.0	65.0	143.0	117.0	471.0	172.0	19.0	4.0	3.0	9.0
20–24  -"-	2.0	96.0	113.0	253.0	158.0	231.0	114.0	18.0	4.0	3.0	11.0
25–29  -"-	4.0	182.0	40.0	286.0	172.0	187.0	101.0	12.0	4.0	3.0	12.0
30–34  -"-	4.0	181.0	32.0	338.0	180.0	181.0	59.0	8.0	3.0	2.0	14.0
