1. НАЦИОНАЛЬНЫЙ СОСТАВ НАСЕЛЕНИЯ									
									
									
	Городское и сельское население			Городское население			Сельское население		
	мужчины и женщины	мужчины	женщины	мужчины и женщины	мужчины	женщины	мужчины и женщины	мужчины	женщины
Все население	145166731.0	67605133.0	77561598.0	106429049.0	49149510.0	57279539.0	38737682.0	18455623.0	20282059.0
Абазины (абаза, ашхаруа, ашхарцы, тапанта)	37942.0	18468.0	19474.0	16283.0	7777.0	8506.0	21659.0	10691.0	10968.0
Абхазы (абжуйцы, апсуа, бзыбцы)	11366.0	6242.0	5124.0	9883.0	5411.0	4472.0	1483.0	831.0	652.0
Аварцы (аварал, маарулал)	814473.0	403610.0	410863.0	298315.0	153220.0	145095.0	516158.0	250390.0	265768.0
Андийцы (андии, андал, гванал, кваннал, куаннал)	21808.0	10559.0	11249.0	2426.0	1196.0	1230.0	19382.0	9363.0	10019.0
Арчинцы (арчи, арчиб)	89.0	67.0	22.0	82.0	64.0	18.0	7.0	3.0	4.0
Ахвахцы (ахвалал, ашватл, ашвалъ)	6376.0	3050.0	3326.0	71.0	38.0	33.0	6305.0	3012.0	3293.0
Багулалы (багвалалы, багвалинцы, багулав, гантляло, кванадлетцы, тлибишинцы, тлиссинцы)	40.0	23.0	17.0	33.0	19.0	14.0	7.0	4.0	3.0
Бежтинцы (капучины, хванал)	6198.0	2992.0	3206.0	62.0	39.0	23.0	6136.0	2953.0	3183.0
Ботлихцы	16.0	9.0	7.0	11.0	6.0	5.0	5.0	3.0	2.0
Гинухцы	531.0	244.0	287.0	15.0	4.0	11.0	516.0	240.0	276.0
Годоберинцы (гибдиди, ибдиди)	39.0	25.0	14.0	34.0	21.0	13.0	5.0	4.0	1.0
Гунзибцы (гунзал, нахада, хунзалис, хунзалы)	998.0	495.0	503.0	25.0	16.0	9.0	973.0	479.0	494.0
Дидойцы (цезы, цунтинцы)	15256.0	7490.0	7766.0	1640.0	850.0	790.0	13616.0	6640.0	6976.0
Каратинцы (кирди)	6052.0	2952.0	3100.0	463.0	253.0	210.0	5589.0	2699.0	2890.0
Тиндалы (идари, идери, тиндии, тиндинцы)	44.0	24.0	20.0	21.0	12.0	9.0	23.0	12.0	11.0
Хваршины (инхокваринцы, хваршал, хваршинцы, хуани)	128.0	70.0	58.0	11.0	7.0	4.0	117.0	63.0	54.0
Чамалалы (чамалинцы)	12.0	6.0	6.0	6.0	3.0	3.0	6.0	3.0	3.0
Агулы (агул шуй, агулар, агульцы)	28297.0	14262.0	14035.0	11065.0	5579.0	5486.0	17232.0	8683.0	8549.0
Адыгейцы (абадзехи, адыгэ с языком адыгейским, бесленеевцы с языком адыгейским, бжедуги, мамхеги, махмеги, махмеговцы)	128528.0	62791.0	65737.0	60053.0	28893.0	31160.0	68475.0	33898.0	34577.0
Азербайджанцы (азербайджанлы, азербайджанлылар, тюрк с языком азербайджанским)	621840.0	386776.0	235064.0	479517.0	307346.0	172171.0	142323.0	79430.0	62893.0
Алеуты (ангагинас, сасигнан, унан`ах, унанган)	540.0	262.0	278.0	172.0	79.0	93.0	368.0	183.0	185.0
Алтайцы (алтай-кижи, кыпчак с  языком алтайским, майминцы, найман с  языком алтайским)	67239.0	31650.0	35589.0	13897.0	6252.0	7645.0	53342.0	25398.0	27944.0
Американцы	1275.0	812.0	463.0	1230.0	780.0	450.0	45.0	32.0	13.0
Англичане	529.0	342.0	187.0	505.0	324.0	181.0	24.0	18.0	6.0
Арабы (алжирцы, арабы Объединенных Арабских Эмиратов, аравийцы, бахрейнцы, египтяне, иорданцы, иракцы, йеменцы, катарцы, кувейтцы, ливанцы, ливийцы, мавританцы, марокканцы, оманцы, палестинцы, саудовцы, сирийцы, суданцы, тунисцы)	10630.0	9036.0	1594.0	10231.0	8729.0	1502.0	399.0	307.0	92.0
Арабы среднеазиатские (араби)	181.0	103.0	78.0	137.0	87.0	50.0	44.0	16.0	28.0
Армяне (гай, донские армяне, крымские армяне, франк, хай, черкесогаи)	1130491.0	620178.0	510313.0	805621.0	446424.0	359197.0	324870.0	173754.0	151116.0
Ассирийцы (айсоры, арамеи, асори, ассурайя, атурая, сурайя, халдеи)	13649.0	6868.0	6781.0	10573.0	5249.0	5324.0	3076.0	1619.0	1457.0
Балкарцы (малкарцы, малкъарлыла, малкъарлы, таулу)	108426.0	52199.0	56227.0	51565.0	24470.0	27095.0	56861.0	27729.0	29132.0
Башкиры (башкорт, башкурт, казаки с языком башкирским, тептяри-башкиры, тептяри с языком башкирским)	1673389.0	793184.0	880205.0	794411.0	371028.0	423383.0	878978.0	422156.0	456822.0
Белорусы (беларусы, брещуки, литвины, литвяки)	807970.0	376093.0	431877.0	623098.0	291781.0	331317.0	184872.0	84312.0	100560.0
Бесермяне (бешермяне)	3122.0	1545.0	1577.0	766.0	366.0	400.0	2356.0	1179.0	1177.0
Болгары	31965.0	17281.0	14684.0	25362.0	13935.0	11427.0	6603.0	3346.0	3257.0
Буряты (агинцы, баряат, буряад, казаки с языком бурятским, сартулы, хамниганы, хонгодоры, хоринцы, цонголы)	445175.0	212150.0	233025.0	194562.0	90240.0	104322.0	250613.0	121910.0	128703.0
Венгры (мадьяр)	3768.0	2021.0	1747.0	2553.0	1382.0	1171.0	1215.0	639.0	576.0
Вепсы (бепся, вепся, людиникат, лююдилайне с языком вепсским, чудь, чухари)	8240.0	3339.0	4901.0	4624.0	1789.0	2835.0	3616.0	1550.0	2066.0
Водь (вадьякко)	73.0	34.0	39.0	56.0	26.0	30.0	17.0	8.0	9.0
Вьетнамцы (вьет ньгой)	26206.0	18297.0	7909.0	25623.0	17904.0	7719.0	583.0	393.0	190.0
Гагаузы	12210.0	6972.0	5238.0	9042.0	5101.0	3941.0	3168.0	1871.0	1297.0
Греки (греки-ромеи, греки-эллины, грекос, понтиос, ромеи, ромеос, ромеюс, рум, румей, эллинос)	97827.0	49615.0	48212.0	61550.0	31071.0	30479.0	36277.0	18544.0	17733.0
Греки-урумы (орум, урмей, урум)	54.0	34.0	20.0	40.0	25.0	15.0	14.0	9.0	5.0
Грузины (картвели)	197934.0	123062.0	74872.0	166877.0	103665.0	63212.0	31057.0	19397.0	11660.0
Аджарцы (аджарели)	252.0	154.0	98.0	153.0	102.0	51.0	99.0	52.0	47.0
Ингилойцы (ингилой)	63.0	35.0	28.0	57.0	33.0	24.0	6.0	2.0	4.0
Лазы	221.0	127.0	94.0	101.0	59.0	42.0	120.0	68.0	52.0
Мегрелы (маргали, мингрелы)	433.0	290.0	143.0	364.0	243.0	121.0	69.0	47.0	22.0
Сваны	41.0	33.0	8.0	35.0	28.0	7.0	6.0	5.0	1.0
Даргинцы (дарган, дарганти, урбуган)	510156.0	253936.0	256220.0	172421.0	87841.0	84580.0	337735.0	166095.0	171640.0
Кайтагцы	5.0	2.0	3.0	5.0	2.0	3.0	-	-	-
Кубачинцы (угбуган)	88.0	50.0	38.0	87.0	50.0	37.0	1.0	-	1.0
Долганы (долган, дулган, саха с языком долганским)	7261.0	3262.0	3999.0	1334.0	471.0	863.0	5927.0	2791.0	3136.0
Дунгане (лао хуйхуй, хуйцзу)	801.0	448.0	353.0	415.0	242.0	173.0	386.0	206.0	180.0
Евреи (ашкеназ, идн)	229938.0	118365.0	111573.0	224672.0	115427.0	109245.0	5266.0	2938.0	2328.0
Евреи горские (дагестанские евреи, даг-чуфут, джуфут, джухут, татские евреи, таты-иудаисты)	3394.0	2109.0	1285.0	3191.0	1966.0	1225.0	203.0	143.0	60.0
Евреи грузинские (эбраэли)	53.0	35.0	18.0	51.0	34.0	17.0	2.0	1.0	1.0
Евреи среднеазиатские (бани исроил, бухарские евреи, дживут бухари, джугут, иври, исроэл, яхуди, яхудои махали)	54.0	32.0	22.0	49.0	28.0	21.0	5.0	4.0	1.0
Езиды (езды, иезиды, йезиды, эзды)	31273.0	16646.0	14627.0	19120.0	10227.0	8893.0	12153.0	6419.0	5734.0
Ижорцы (ижора, изури, ингры, карьяляйн)	327.0	109.0	218.0	177.0	76.0	101.0	150.0	33.0	117.0
Ингуши (галга)	413016.0	198115.0	214901.0	186478.0	91497.0	94981.0	226538.0	106618.0	119920.0
Индийцы хиндиязычные (хинди, хиндустанцы)	4980.0	4264.0	716.0	4939.0	4233.0	706.0	41.0	31.0	10.0
Испанцы	1547.0	832.0	715.0	1476.0	788.0	688.0	71.0	44.0	27.0
Итальянцы	862.0	526.0	336.0	819.0	503.0	316.0	43.0	23.0	20.0
Ительмены (ительмень,  камчадалы с языком ительменским)	3180.0	1465.0	1715.0	1194.0	505.0	689.0	1986.0	960.0	1026.0
Кабардинцы (адыгэ с  языком кабардинским, кабардей)	519958.0	250455.0	269503.0	241062.0	114449.0	126613.0	278896.0	136006.0	142890.0
Казахи (адай, аргын, берш, жагайбайлы, жаппас, керей, кыпчак с  языком казахским, найман с языком казахским, ногай с языком казахским, степские казахи, табын, тама, торкара, туратинские казахи, уак)	653962.0	326397.0	327565.0	212741.0	106389.0	106352.0	441221.0	220008.0	221213.0
Калмыки (большие дэрбэты, дербеты, дэрбеты, дюрбеты, казаки с языком калмыцким, ойраты, торгоуты, торгуты, хальмг, хойты, элеты)	173996.0	84413.0	89583.0	85600.0	40100.0	45500.0	88396.0	44313.0	44083.0
Камчадалы 	2293.0	1114.0	1179.0	1297.0	601.0	696.0	996.0	513.0	483.0
Караимы (карай)	366.0	200.0	166.0	349.0	190.0	159.0	17.0	10.0	7.0
Каракалпаки (калпак, каролпак)	1609.0	900.0	709.0	1081.0	592.0	489.0	528.0	308.0	220.0
Карачаевцы (карачай, карачайлыла, карачайлы)	192182.0	93454.0	98728.0	73370.0	35507.0	37863.0	118812.0	57947.0	60865.0
Карелы (карьяла, карьялайзет, карьялани, лаппи, ливвикёй, ливвики, ливгиляйне, людики, лююдикёй, лююдилайне с языком карельским)	93344.0	39871.0	53473.0	52205.0	21350.0	30855.0	41139.0	18521.0	22618.0
Кереки	8.0	2.0	6.0	4.0	-	4.0	4.0	2.0	2.0
Кеты (денг, кето, остяки с языком кетским)	1494.0	712.0	782.0	406.0	155.0	251.0	1088.0	557.0	531.0
Юги (юген)	19.0	10.0	9.0	14.0	7.0	7.0	5.0	3.0	2.0
Киргизы (кыргыз)	31808.0	18132.0	13676.0	28575.0	16242.0	12333.0	3233.0	1890.0	1343.0
Китайцы (хань, ханьжэнь, чжунго жэнь)	34577.0	23894.0	10683.0	33279.0	23032.0	10247.0	1298.0	862.0	436.0
Коми (зыряне, коми войтыр, коми-зыряне, коми йоз, коми морт)	293406.0	129428.0	163978.0	139416.0	57291.0	82125.0	153990.0	72137.0	81853.0
Коми-ижемцы (ижемцы, изьватас)	15607.0	7353.0	8254.0	1516.0	540.0	976.0	14091.0	6813.0	7278.0
Коми-пермяки (коми с языком коми-пермяцким, коми морт с языком коми-пермяцким, коми отир, пермяки)	125235.0	55977.0	69258.0	48658.0	20269.0	28389.0	76577.0	35708.0	40869.0
Корейцы (корё сарам, хангук сарам, чосон сарам)	148556.0	75835.0	72721.0	119260.0	59916.0	59344.0	29296.0	15919.0	13377.0
Коряки (алюторцы, алутальу, апокваямыл`о, апукинцы, войкыпал`о, воямпольцы, каменцы, карагинцы, каран`ыныльо, нымыланы, олюторцы,  чавчувены, чавчыв)	8743.0	4191.0	4552.0	2765.0	1225.0	1540.0	5978.0	2966.0	3012.0
Крымчаки (евреи крымские)	157.0	96.0	61.0	145.0	90.0	55.0	12.0	6.0	6.0
Кубинцы	707.0	557.0	150.0	655.0	518.0	137.0	52.0	39.0	13.0
Кумандинцы (кубанды, куманды, орё куманды, тадар-кижи с языком кумандинским, тюбере куманды)	3114.0	1413.0	1701.0	1704.0	756.0	948.0	1410.0	657.0	753.0
Кумыки (кумук)	422409.0	205632.0	216777.0	198807.0	96486.0	102321.0	223602.0	109146.0	114456.0
Курды (курмандж)	19607.0	10520.0	9087.0	4505.0	2742.0	1763.0	15102.0	7778.0	7324.0
Лакцы (вулугуни, лак, лаки, лаккучу, тумал, яхолшу)	156545.0	75397.0	81148.0	109750.0	52831.0	56919.0	46795.0	22566.0	24229.0
Латыши (латвиетис, латвиеши)	28520.0	13518.0	15002.0	20660.0	9810.0	10850.0	7860.0	3708.0	4152.0
Латгальцы (латгалиетис)	1622.0	657.0	965.0	872.0	349.0	523.0	750.0	308.0	442.0
Лезгины (ахтинцы, кюрегу, кюринцы, лезги, лезгияр)	411535.0	208546.0	202989.0	192577.0	99144.0	93433.0	218958.0	109402.0	109556.0
Литовцы (аукштайты, жемайты, летувник, летувяй, литвины с языком литовским, литвяки с языком литовским)	45569.0	24392.0	21177.0	31279.0	16801.0	14478.0	14290.0	7591.0	6699.0
Манси (вогулы, меньдси, моансь, остяки с языком мансийским)	11432.0	5167.0	6265.0	5919.0	2562.0	3357.0	5513.0	2605.0	2908.0
Марийцы (мар, мари, марий, черемисы)	604298.0	278912.0	325386.0	256094.0	113570.0	142524.0	348204.0	165342.0	182862.0
Горные марийцы (курык марий)	18515.0	8517.0	9998.0	2445.0	1066.0	1379.0	16070.0	7451.0	8619.0
Лугово-восточные марийцы (ветлужские марийцы, восточные (уральские) марийцы, вутла мари, кожла марий, лесные марийцы,  луговые марийцы, олык марий)	56119.0	25610.0	30509.0	20643.0	8971.0	11672.0	35476.0	16639.0	18837.0
Молдаване (волохь, молдовень)	172330.0	98097.0	74233.0	128777.0	74388.0	54389.0	43553.0	23709.0	19844.0
Монголы (халха, халха-монголы, халхасцы)	2656.0	1364.0	1292.0	2367.0	1222.0	1145.0	289.0	142.0	147.0
Мордва (каратаи, мордвины, мордовцы)	843350.0	384458.0	458892.0	439063.0	198645.0	240418.0	404287.0	185813.0	218474.0
Мордва-мокша (мокша)	49624.0	23017.0	26607.0	21554.0	9800.0	11754.0	28070.0	13217.0	14853.0
Мордва-эрзя (терюхане, эрзя)	84407.0	38060.0	46347.0	22481.0	10106.0	12375.0	61926.0	27954.0	33972.0
Нагайбаки	9600.0	4391.0	5209.0	1889.0	830.0	1059.0	7711.0	3561.0	4150.0
Нанайцы (гольды, нанай, нани с языком нанайским)	12160.0	5636.0	6524.0	3702.0	1619.0	2083.0	8458.0	4017.0	4441.0
Нганасаны (ня, тавгийцы)	834.0	362.0	472.0	165.0	60.0	105.0	669.0	302.0	367.0
Негидальцы (амгун бэйенин, на бэйенин, негды, нясихагил, элькан дэйнин)	567.0	249.0	318.0	164.0	69.0	95.0	403.0	180.0	223.0
Немцы (голендры, дейч, дойч, меннонитен, меннониты, немцы-меннониты)	597212.0	290115.0	307097.0	339288.0	164015.0	175273.0	257924.0	126100.0	131824.0
Ненцы (не, ненач, ненэй ненэц, ненэйне, нещанг, пян хасова, хандеяры)	41302.0	19267.0	22035.0	7844.0	3180.0	4664.0	33458.0	16087.0	17371.0
Нивхи (гиляки, нибах, нивах, нивух, нивхгу, ньигвнгун)	5162.0	2379.0	2783.0	2483.0	1107.0	1376.0	2679.0	1272.0	1407.0
Ногайцы (караногайцы, карагаши, ногай-карагаш,  ногай)	90666.0	43917.0	46749.0	19327.0	9393.0	9934.0	71339.0	34524.0	36815.0
Орочи (нани с языком орочским, ороч с языком орочским, орочён с языком орочским, орочисэл)	686.0	322.0	364.0	338.0	151.0	187.0	348.0	171.0	177.0
Осетины (туалаг, туальцы)	514875.0	249874.0	265001.0	332629.0	160107.0	172522.0	182246.0	89767.0	92479.0
Осетины-дигорцы (дигор, дигорон, дигорцы)	607.0	297.0	310.0	321.0	154.0	167.0	286.0	143.0	143.0
Осетины-иронцы (ирон, иронцы, кудайраг, кударцы)	97.0	56.0	41.0	73.0	41.0	32.0	24.0	15.0	9.0
Персы (иранцы, мавры, парс, фарс)	3821.0	2304.0	1517.0	2982.0	1814.0	1168.0	839.0	490.0	349.0
Поляки (поляци)	73001.0	31761.0	41240.0	56050.0	24022.0	32028.0	16951.0	7739.0	9212.0
Пуштуны (афганцы, патаны, пахтуны)	9800.0	8245.0	1555.0	9544.0	8042.0	1502.0	256.0	203.0	53.0
Румыны (ромынь)	5308.0	2755.0	2553.0	3344.0	1832.0	1512.0	1964.0	923.0	1041.0
Русины (бойки, карпатороссы, лемки)	97.0	55.0	42.0	84.0	47.0	37.0	13.0	8.0	5.0
Русские (затундренные крестьяне, индигирщики, каменщики, карымы, кержаки, колымские, колымчане, ленские старожилы, мезенцы, обские старожилы, походчане, русско-устьинцы, семейские, якутяне, ямские)	115889107.0	53337496.0	62551611.0	88931060.0	40589298.0	48341762.0	26958047.0	12748198.0	14209849.0
Казаки 	140028.0	76720.0	63308.0	63987.0	35619.0	28368.0	76041.0	41101.0	34940.0
Поморы (канинские поморы)	6571.0	3406.0	3165.0	4779.0	2412.0	2367.0	1792.0	994.0	798.0
Рутульцы (мегьебор, мых абдыр, мюхадар, рутул, хинатбы, хновцы)	29929.0	15301.0	14628.0	10350.0	5390.0	4960.0	19579.0	9911.0	9668.0
Саамы (лопари, саами)	1991.0	882.0	1109.0	853.0	332.0	521.0	1138.0	550.0	588.0
Селькупы (остяки с языком селькупским, сёлькуп, суссе кум, чумыль-куп, шелькуп, шешкум)	4249.0	2028.0	2221.0	786.0	353.0	433.0	3463.0	1675.0	1788.0
Сербы	4156.0	3163.0	993.0	3777.0	2939.0	838.0	379.0	224.0	155.0
Словаки	568.0	332.0	236.0	481.0	284.0	197.0	87.0	48.0	39.0
Сойоты 	2769.0	1392.0	1377.0	252.0	112.0	140.0	2517.0	1280.0	1237.0
Табасараны (кабган, табасаран, табасаранцы)	131785.0	66555.0	65230.0	53610.0	27730.0	25880.0	78175.0	38825.0	39350.0
Таджики (тоджик)	120136.0	93824.0	26312.0	102937.0	81929.0	21008.0	17199.0	11895.0	5304.0
Тазы (удэ с языком китайским или русским)	276.0	131.0	145.0	110.0	53.0	57.0	166.0	78.0	88.0
Талыши (талышон)	2548.0	1766.0	782.0	2397.0	1661.0	736.0	151.0	105.0	46.0
Татары (казанлы, казанские татары, каринские (нукратские) татары, касимовские татары, мещеряки, мишари, мишэр, татар,  тептяри с языком татарским, тептяри-татары)	5554601.0	2605039.0	2949562.0	3795319.0	1759613.0	2035706.0	1759282.0	845426.0	913856.0
Астраханские татары (алабугатские татары, юртовские татары)	2003.0	974.0	1029.0	776.0	384.0	392.0	1227.0	590.0	637.0
Кряшены (крещеные, крещенцы, крещеные татары)	24668.0	11520.0	13148.0	12624.0	5857.0	6767.0	12044.0	5663.0	6381.0
Татары сибирские (бараба, барабинцы, бохарлы, бухарцы, заболотные татары, калмаки, курдакско-саргатские татары, параба, сибир татарлар, тарлик, тарские татары, тевризские татары, тоболик, тобольские татары, тураминцы, тюменско-тюринские татары, чаты, эуштинцы, ясколбинские татары)	9611.0	4573.0	5038.0	4271.0	1988.0	2283.0	5340.0	2585.0	2755.0
Татары крымские (кърым татарлар, ногаи крымские, нугай татар, тат с языком крымскотатарским)	4131.0	2112.0	2019.0	2217.0	1136.0	1081.0	1914.0	976.0	938.0
Таты (тат, таты-азербайджанцы)	2303.0	1191.0	1112.0	2171.0	1118.0	1053.0	132.0	73.0	59.0
Теленгиты (телесы)	2399.0	1151.0	1248.0	115.0	46.0	69.0	2284.0	1105.0	1179.0
Телеуты (тадар-кижи с языком телеутским)	2650.0	1210.0	1440.0	1142.0	529.0	613.0	1508.0	681.0	827.0
Тофалары (карагасы, тофа)	837.0	421.0	416.0	138.0	73.0	65.0	699.0	348.0	351.0
Тубалары (туба)	1565.0	786.0	779.0	150.0	65.0	85.0	1415.0	721.0	694.0
Тувинцы ( тува, тыва, тыва-кижи)	243442.0	116523.0	126919.0	107850.0	50898.0	56952.0	135592.0	65625.0	69967.0
Тувинцы-тоджинцы (тоджинцы, туга, туха)	4442.0	2154.0	2288.0	7.0	4.0	3.0	4435.0	2150.0	2285.0
Турки (османы, турки-батумцы, турки-османы, турки-сухумцы, тюрк с языком турецким)	92415.0	49680.0	42735.0	18217.0	12062.0	6155.0	74198.0	37618.0	36580.0
Турки-месхетинцы	3257.0	1772.0	1485.0	1529.0	835.0	694.0	1728.0	937.0	791.0
Туркмены (трухмены, тюрк с языком туркменским)	33053.0	18944.0	14109.0	14695.0	9350.0	5345.0	18358.0	9594.0	8764.0
Удины (уди, ути)	3721.0	1943.0	1778.0	2078.0	1114.0	964.0	1643.0	829.0	814.0
Удмурты (вотяки,  одморт, одмурт, удморт, укморт, урморт, уртморт)	636906.0	286517.0	350389.0	296976.0	129227.0	167749.0	339930.0	157290.0	182640.0
Удэгейцы (удэ, удэхе, удэхейцы)	1657.0	791.0	866.0	425.0	160.0	265.0	1232.0	631.0	601.0
Узбеки (озбак, тюрк с языком узбекским)	122916.0	80745.0	42171.0	98548.0	65182.0	33366.0	24368.0	15563.0	8805.0
Уйгуры (илийцы, кашгарцы, таранчи)	2867.0	1700.0	1167.0	2173.0	1284.0	889.0	694.0	416.0	278.0
Украинцы (буковинцы, верховинцы, гуцулы, казаки с языком украинским)	2942961.0	1410164.0	1532797.0	2251198.0	1088279.0	1162919.0	691763.0	321885.0	369878.0
Ульта (ороки) (ороч с языком ульта, орочён с языком ульта, уйльта, ульта, ульча с языком ульта)	346.0	168.0	178.0	201.0	95.0	106.0	145.0	73.0	72.0
Ульчи (мангуны, нани, ульча с языком ульчским)	2913.0	1366.0	1547.0	564.0	239.0	325.0	2349.0	1127.0	1222.0
Финны (суомалайсет, суоми)	34050.0	14755.0	19295.0	23484.0	10031.0	13453.0	10566.0	4724.0	5842.0
Финны-ингерманландцы (ингерманландцы, инкерилайнен)	314.0	150.0	164.0	274.0	131.0	143.0	40.0	19.0	21.0
Французы	819.0	509.0	310.0	780.0	486.0	294.0	39.0	23.0	16.0
Хакасы (качинцы, койбалы, кызыл, кызыльцы, сагай, сагайцы, тадар, тадар-кижи с языком хакасским, хаас, хааш, хойбал, хызыл)	75622.0	35569.0	40053.0	32743.0	15037.0	17706.0	42879.0	20532.0	22347.0
Ханты (кантага ях, остяки с языком хантыйским, хандэ, ханти, хантых, хантэ)	28678.0	13033.0	15645.0	9924.0	4152.0	5772.0	18754.0	8881.0	9873.0
Хемшилы (хамшены, хамшецы, хемшины)	1542.0	802.0	740.0	115.0	68.0	47.0	1427.0	734.0	693.0
Цахуры (йыхбы)	10366.0	5426.0	4940.0	3678.0	2077.0	1601.0	6688.0	3349.0	3339.0
Цыгане (дом, ром, рома, сэрвы)	182766.0	89366.0	93400.0	113852.0	55368.0	58484.0	68914.0	33998.0	34916.0
Цыгане среднеазиатские (гурбат, джуги, люли,  мугат, мультони, тавоктарош)	486.0	259.0	227.0	246.0	130.0	116.0	240.0	129.0	111.0
Челканцы (чалканцы)	855.0	376.0	479.0	135.0	65.0	70.0	720.0	311.0	409.0
Черкесы (адыгэ с языком черкесским, бесленеевцы с языком кабардино-черкесским, бесленеи)	60517.0	29488.0	31029.0	22585.0	10828.0	11757.0	37932.0	18660.0	19272.0
Чехи (мораване)	2904.0	1390.0	1514.0	2060.0	977.0	1083.0	844.0	413.0	431.0
Чеченцы (нохчий, чаан)	1360253.0	649801.0	710452.0	502362.0	239881.0	262481.0	857891.0	409920.0	447971.0
Чеченцы-аккинцы (аккинцы, ауховцы)	218.0	125.0	93.0	80.0	54.0	26.0	138.0	71.0	67.0
Чуванцы (атали, марковцы, этели)	1087.0	483.0	604.0	366.0	146.0	220.0	721.0	337.0	384.0
Чуваши (вирьял, мижерь, чаваш)	1637094.0	761472.0	875622.0	839848.0	384208.0	455640.0	797246.0	377264.0	419982.0
Чукчи (анкалын, анкальын, луораветлан,  лыгъоравэтлят, чаучу)	15767.0	7443.0	8324.0	3402.0	1508.0	1894.0	12365.0	5935.0	6430.0
Чулымцы (карагасы томские, чулымские татары, чулымские тюрки)	656.0	318.0	338.0	54.0	29.0	25.0	602.0	289.0	313.0
