3. НАСЕЛЕНИЕ ПО НАЦИОНАЛЬНОСТИ И ВЛАДЕНИЮ РУССКИМ ЯЗЫКОМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ		
		
		
	Численность лиц соответствующей национальности	из них владеют русским языком
Центральный федеральный округ		
Белгородская область	1511620.0	1503895.0
Абазины 	2.0	2.0
Абхазы 	55.0	55.0
Аварцы 	350.0	350.0
Каратинцы 	3.0	3.0
Тиндалы 	1.0	1.0
Агулы 	43.0	43.0
Адыгейцы 	17.0	16.0
Азербайджанцы 	4531.0	4408.0
Алтайцы 	3.0	3.0
Англичане	4.0	3.0
Арабы 	39.0	39.0
Армяне 	7824.0	7741.0
Ассирийцы 	11.0	11.0
Балкарцы 	8.0	8.0
Башкиры 	314.0	314.0
Белорусы 	4912.0	4906.0
Болгары	755.0	754.0
Буряты 	21.0	21.0
Венгры 	113.0	113.0
Вепсы 	4.0	4.0
Вьетнамцы 	9.0	9.0
Гагаузы	192.0	189.0
Греки 	598.0	597.0
Грузины 	1054.0	1049.0
Аджарцы 	1.0	1.0
Мегрелы 	2.0	2.0
Даргинцы 	244.0	243.0
Долганы 	1.0	1.0
Дунгане 	8.0	8.0
Евреи 	554.0	554.0
Евреи горские 	9.0	9.0
Евреи грузинские 	1.0	1.0
Езиды 	210.0	205.0
Ижорцы 	1.0	1.0
Ингуши 	113.0	111.0
Индийцы хиндиязычные 	3.0	3.0
Испанцы	65.0	12.0
Итальянцы	12.0	10.0
Ительмены 	13.0	13.0
Кабардинцы 	27.0	27.0
Казахи 	302.0	302.0
Калмыки 	20.0	20.0
Камчадалы 	1.0	1.0
Караимы 	2.0	2.0
Каракалпаки 	4.0	4.0
Карачаевцы 	33.0	33.0
Карелы 	36.0	36.0
Кеты 	2.0	2.0
Киргизы 	52.0	49.0
Китайцы 	71.0	29.0
Коми 	148.0	148.0
Коми-пермяки	111.0	111.0
Корейцы 	405.0	405.0
Коряки 	5.0	5.0
Крымчаки 	6.0	6.0
Кубинцы	7.0	7.0
Кумыки 	78.0	78.0
Курды 	132.0	132.0
Лакцы 	87.0	87.0
Латыши 	120.0	120.0
Латгальцы 	3.0	3.0
Лезгины 	440.0	437.0
Литовцы 	183.0	183.0
Марийцы 	208.0	207.0
Горные марийцы 	6.0	6.0
Лугово-восточные марийцы 	6.0	6.0
Молдаване 	1962.0	1943.0
Монголы 	3.0	3.0
Мордва 	583.0	583.0
Мордва-мокша 	8.0	8.0
Мордва-эрзя	1.0	1.0
Нагайбаки 	2.0	2.0
Нанайцы 	1.0	1.0
Немцы 	2183.0	2180.0
Ненцы 	2.0	2.0
Ногайцы	21.0	21.0
Осетины 	385.0	385.0
Персы 	22.0	22.0
Поляки 	635.0	633.0
Пуштуны	30.0	30.0
