6. ВЛАДЕНИЕ ЯЗЫКАМИ (КРОМЕ РУССКОГО) НАСЕЛЕНИЕМ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО РЕСПУБЛИКАМ, АВТОНОМНОЙ ОБЛАСТИ И АВТОНОМНЫМ ОКРУГАМ РОССИЙСКОЙ ФЕДЕРАЦИИ							
							
Республика Адыгея							
	Численность лиц, владеющих соответствую-щим языком	в том числе					
		адыгейцы	русские	армяне	украинцы	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:							
абхазским	282.0	16.0	16.0	5.0	1.0	244.0	-
адыгейским	108005.0	104956.0	1683.0	145.0	38.0	1182.0	1.0
азербайджанским	3449.0	35.0	281.0	900.0	7.0	2226.0	-
албанским	118.0	113.0	1.0	-	-	4.0	-
английским	14024.0	3254.0	9155.0	513.0	284.0	818.0	-
арабским	412.0	260.0	66.0	2.0	2.0	82.0	-
армянским	14020.0	48.0	423.0	12097.0	18.0	1434.0	-
ассирийским	134.0	1.0	4.0	5.0	-	124.0	-
башкирским	135.0	1.0	8.0	-	-	126.0	-
белорусским	907.0	2.0	98.0	-	34.0	773.0	-
болгарским	113.0	5.0	35.0	2.0	5.0	66.0	-
греческим	958.0	9.0	76.0	32.0	4.0	837.0	-
грузинским	1792.0	34.0	441.0	397.0	23.0	897.0	-
ингушским	164.0	6.0	2.0	-	-	156.0	-
испанским	120.0	22.0	85.0	2.0	2.0	9.0	-
кабардино-черкесским	758.0	183.0	8.0	-	-	567.0	-
казахским	223.0	4.0	82.0	3.0	11.0	123.0	-
корейским	489.0	-	5.0	-	-	484.0	-
курдским	3635.0	-	11.0	13.0	-	3611.0	-
лезгинским	178.0	1.0	-	-	1.0	176.0	-
молдавским	262.0	4.0	46.0	3.0	23.0	186.0	-
мордовским, мокша-мордовским, эрзя-мордовским	187.0	-	23.0	-	-	164.0	-
немецким	8183.0	2498.0	4537.0	201.0	204.0	743.0	-
осетинским	292.0	14.0	21.0	3.0	-	254.0	-
польским	240.0	5.0	93.0	3.0	68.0	71.0	-
табасаранским	128.0	-	-	-	-	128.0	-
таджикским	173.0	2.0	41.0	4.0	3.0	123.0	-
татарским	2197.0	45.0	95.0	5.0	2.0	2050.0	-
турецким	1182.0	175.0	84.0	73.0	1.0	849.0	-
туркменским	138.0	1.0	38.0	7.0	-	92.0	-
удмуртским	164.0	-	10.0	-	-	154.0	-
узбекским	395.0	3.0	143.0	13.0	7.0	229.0	-
украинским	6200.0	39.0	1620.0	14.0	4368.0	159.0	-
французским	1472.0	458.0	837.0	57.0	29.0	91.0	-
цыганским	1759.0	4.0	53.0	4.0	7.0	1691.0	-
чеченским	1086.0	17.0	20.0	2.0	-	1046.0	1.0
чувашским	192.0	-	10.0	-	-	182.0	-
другими языками (не перечисленными выше)	1912.0	204.0	484.0	11.0	32.0	1181.0	-
