Республика Алтай											
	Численность лиц, владеющих соответствую-щим языком	в том числе									
		алтайцы	русские	казахи	теленгиты	тубалары	кумандинцы	челканцы	шорцы	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:											
азербайджанским	264.0	14.0	10.0	40.0	-	-	-	-	-	200.0	-
алтайским	62635.0	55473.0	1223.0	2765.0	2314.0	270.0	107.0	148.0	7.0	322.0	6.0
английским	4535.0	1271.0	2694.0	292.0	38.0	11.0	13.0	13.0	1.0	200.0	2.0
армянским	439.0	9.0	12.0	2.0	-	-	-	1.0	-	415.0	-
белорусским	126.0	-	23.0	1.0	-	-	-	-	-	102.0	-
грузинским	142.0	3.0	12.0	-	-	-	-	-	-	127.0	-
казахским	13765.0	1878.0	190.0	11421.0	106.0	3.0	5.0	1.0	-	160.0	1.0
киргизским	248.0	57.0	23.0	15.0	2.0	-	-	-	-	150.0	1.0
кумандинским	327.0	6.0	3.0	-	-	1.0	315.0	-	-	2.0	-
молдавским	126.0	-	16.0	-	-	-	-	-	-	110.0	-
немецким	2912.0	573.0	1834.0	91.0	15.0	16.0	16.0	8.0	-	359.0	-
таджикским	124.0	10.0	25.0	2.0	-	-	-	-	-	87.0	-
татарским	232.0	9.0	12.0	10.0	-	-	-	-	-	201.0	-
тубаларским	418.0	3.0	3.0	-	-	408.0	3.0	1.0	-	-	-
турецким	125.0	77.0	10.0	5.0	2.0	-	-	-	-	31.0	-
узбекским	273.0	30.0	62.0	13.0	-	-	1.0	-	-	166.0	1.0
украинским	891.0	7.0	251.0	2.0	-	1.0	1.0	-	-	629.0	-
французским	234.0	83.0	114.0	11.0	3.0	4.0	1.0	1.0	-	17.0	-
челканским	513.0	21.0	12.0	-	-	4.0	-	466.0	-	10.0	-
шорским	58.0	3.0	4.0	-	-	-	-	-	50.0	1.0	-
другими языками (не перечисленными выше)	1169.0	171.0	194.0	100.0	11.0	2.0	-	-	1.0	690.0	-
