Республика Коми												
	Численность лиц, владеющих соответствую-щим языком	в том числе										
		коми	русские	украинцы	татары	белорусы	немцы	чуваши	ненцы	ханты	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:												
аварским	293.0	2.0	3.0	2.0	1.0	-	-	-	-	-	285.0	-
азербайджанским	5591.0	49.0	177.0	14.0	22.0	2.0	2.0	2.0	-	-	5323.0	-
английским	37840.0	5804.0	27110.0	2154.0	501.0	458.0	303.0	183.0	1.0	-	1309.0	17.0
армянским	1568.0	11.0	88.0	9.0	1.0	-	2.0	1.0	-	-	1455.0	1.0
башкирским	2032.0	3.0	59.0	8.0	240.0	4.0	1.0	32.0	-	-	1685.0	-
белорусским	5462.0	28.0	547.0	218.0	7.0	4539.0	1.0	6.0	-	-	114.0	2.0
болгарским	1096.0	185.0	329.0	72.0	6.0	9.0	5.0	2.0	-	-	488.0	-
венгерским	210.0	25.0	32.0	65.0	1.0	1.0	1.0	-	-	-	85.0	-
горномарийским	126.0	2.0	10.0	-	1.0	-	-	-	-	-	113.0	-
грузинским	952.0	16.0	129.0	17.0	1.0	1.0	1.0	1.0	-	-	786.0	-
даргинским	240.0	53.0	9.0	-	-	-	-	-	-	-	178.0	-
ингушским	126.0	1.0	7.0	-	-	-	-	-	-	-	118.0	-
испанским	204.0	20.0	139.0	17.0	5.0	3.0	-	1.0	-	-	18.0	1.0
итальянским	126.0	16.0	83.0	6.0	-	4.0	-	-	-	-	17.0	-
кабардино-черкесским	134.0	-	11.0	-	2.0	1.0	-	1.0	-	-	118.0	1.0
казахским	564.0	7.0	151.0	11.0	48.0	1.0	21.0	2.0	-	-	322.0	1.0
карельским	131.0	2.0	30.0	-	-	2.0	-	-	-	-	97.0	-
киргизским	771.0	3.0	36.0	5.0	32.0	-	1.0	1.0	-	-	692.0	1.0
коми	200269.0	184910.0	12221.0	892.0	116.0	307.0	506.0	111.0	205.0	5.0	941.0	55.0
коми-пермяцким	361.0	12.0	18.0	-	-	-	-	-	-	-	331.0	-
кумыкским	177.0	1.0	3.0	-	1.0	-	-	-	-	-	172.0	-
латышским	386.0	8.0	170.0	11.0	-	9.0	4.0	-	-	-	184.0	-
лезгинским	914.0	-	4.0	-	-	-	-	-	-	-	910.0	-
литовским	892.0	13.0	192.0	21.0	-	10.0	2.0	1.0	-	-	653.0	-
лугово-восточным марийским (марийским)	972.0	2.0	63.0	3.0	12.0	-	-	1.0	-	-	891.0	-
мансийским	4.0	-	-	-	-	-	-	-	-	-	4.0	-
молдавским	2833.0	27.0	294.0	221.0	-	9.0	1.0	-	-	-	2281.0	-
мордовским, мокша-мордовским, эрзя-мордовским	1220.0	-	114.0	3.0	4.0	1.0	-	13.0	-	-	1085.0	-
немецким	20019.0	3027.0	12141.0	1158.0	220.0	338.0	2366.0	148.0	6.0	1.0	607.0	7.0
ненецким	374.0	18.0	6.0	1.0	1.0	-	1.0	-	343.0	1.0	3.0	-
осетинским	250.0	1.0	20.0	2.0	-	-	-	-	-	-	227.0	-
польским	1159.0	20.0	247.0	433.0	1.0	133.0	6.0	1.0	-	-	317.0	1.0
румынским	418.0	4.0	45.0	54.0	1.0	3.0	-	-	-	-	311.0	-
таджикским	400.0	7.0	56.0	3.0	15.0	1.0	1.0	1.0	-	-	316.0	-
талышским	116.0	-	1.0	-	-	-	-	-	-	-	115.0	-
татарским	10846.0	14.0	364.0	23.0	9368.0	6.0	3.0	171.0	-	-	890.0	7.0
турецким	436.0	7.0	50.0	8.0	5.0	-	-	-	-	-	366.0	-
удмуртским	1103.0	18.0	60.0	2.0	11.0	-	-	-	-	-	1012.0	-
узбекским	879.0	13.0	132.0	8.0	136.0	2.0	3.0	3.0	-	-	581.0	1.0
украинским	38825.0	294.0	7217.0	30137.0	55.0	320.0	72.0	13.0	3.0	-	700.0	14.0
финским	267.0	124.0	74.0	1.0	-	1.0	-	-	-	-	66.0	1.0
французским	4635.0	967.0	3002.0	266.0	71.0	49.0	34.0	31.0	1.0	-	214.0	-
хантыйским	63.0	1.0	2.0	-	-	-	-	-	4.0	56.0	-	-
цыганским	453.0	6.0	52.0	2.0	2.0	-	-	-	-	-	391.0	-
чеченским	375.0	2.0	39.0	10.0	1.0	1.0	-	-	-	-	322.0	-
чувашским	4380.0	16.0	167.0	10.0	41.0	4.0	-	4116.0	-	-	25.0	1.0
эстонским	172.0	11.0	80.0	6.0	-	2.0	2.0	-	-	-	71.0	-
другими языками (не перечисленными выше)	2691.0	164.0	559.0	124.0	29.0	18.0	8.0	8.0	1.0	1.0	1778.0	1.0
