Республика Мордовия						
	Численность лиц, владеющих соответствую-щим языком	в том числе				
		мордва	русские	татары	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:						
азербайджанским	736.0	6.0	55.0	46.0	629.0	-
английским	16717.0	3248.0	11970.0	790.0	709.0	-
арабским	119.0	6.0	15.0	33.0	65.0	-
армянским	1243.0	15.0	67.0	-	1161.0	-
башкирским	125.0	1.0	2.0	16.0	106.0	-
белорусским	659.0	15.0	73.0	3.0	568.0	-
грузинским	513.0	9.0	58.0	2.0	444.0	-
казахским	210.0	18.0	70.0	22.0	100.0	-
лугово-восточным марийским (марийским)	123.0	2.0	5.0	1.0	115.0	-
молдавским	240.0	4.0	21.0	2.0	213.0	-
мордовским, мокша-мордовским, эрзя-мордовским	248899.0	240285.0	7881.0	352.0	380.0	1.0
немецким	10538.0	2745.0	6957.0	514.0	322.0	-
польским	197.0	23.0	90.0	2.0	82.0	-
таджикским	495.0	9.0	77.0	37.0	372.0	-
татарским	43825.0	237.0	601.0	42769.0	218.0	-
турецким	113.0	-	10.0	14.0	89.0	-
туркменским	103.0	6.0	33.0	6.0	58.0	-
узбекским	778.0	20.0	157.0	181.0	420.0	-
украинским	3546.0	106.0	821.0	30.0	2589.0	-
французским	1788.0	278.0	1324.0	78.0	108.0	-
цыганским	450.0	2.0	28.0	-	420.0	-
чеченским	125.0	1.0	8.0	1.0	115.0	-
чувашским	749.0	9.0	27.0	9.0	704.0	-
другими языками (не перечисленными выше)	2384.0	237.0	694.0	54.0	1399.0	-
