Республика Саха (Якутия)												
	Численность лиц, владеющих соответствую-щим языком	в том числе										
		якуты	русские	украинцы	эвенки	эвены	татары	буряты	долганы	юкагиры	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:												
аварским	218.0	1.0	3.0	4.0	-	-	1.0	-	-	-	209.0	-
азербайджанским	2071.0	21.0	87.0	4.0	-	-	9.0	-	-	-	1950.0	-
английским	43657.0	21311.0	17794.0	1519.0	376.0	292.0	380.0	414.0	22.0	58.0	1482.0	9.0
арабским	100.0	7.0	29.0	1.0	1.0	-	7.0	-	-	-	55.0	-
армянским	2521.0	11.0	61.0	10.0	-	-	3.0	1.0	-	-	2434.0	1.0
башкирским	1474.0	2.0	39.0	2.0	-	1.0	174.0	1.0	-	-	1254.0	1.0
белорусским	1736.0	3.0	258.0	100.0	-	1.0	2.0	-	-	-	1372.0	-
болгарским	249.0	12.0	43.0	13.0	-	-	-	-	-	-	181.0	-
бурятским	4251.0	42.0	107.0	1.0	1.0	1.0	18.0	4062.0	-	-	19.0	-
гагаузским	176.0	-	6.0	6.0	-	-	1.0	-	-	-	163.0	-
горномарийским	151.0	1.0	6.0	-	-	-	4.0	-	-	-	140.0	-
греческим	132.0	1.0	27.0	9.0	-	-	1.0	-	-	-	94.0	-
грузинским	580.0	3.0	52.0	9.0	-	-	-	-	-	1.0	515.0	-
долганским	47.0	5.0	-	-	-	-	-	-	41.0	-	1.0	-
ингушским	1011.0	133.0	3.0	1.0	6.0	3.0	-	-	-	-	865.0	-
испанским	239.0	80.0	124.0	12.0	1.0	2.0	3.0	1.0	1.0	-	15.0	-
итальянским	117.0	45.0	49.0	9.0	1.0	-	-	-	-	-	13.0	-
казахским	1217.0	38.0	212.0	12.0	-	-	65.0	3.0	-	-	887.0	-
киргизским	1500.0	31.0	99.0	9.0	-	-	46.0	-	-	-	1315.0	-
китайским	1084.0	117.0	72.0	4.0	2.0	1.0	-	6.0	-	2.0	880.0	-
корейским	712.0	111.0	42.0	1.0	3.0	2.0	1.0	2.0	-	-	549.0	1.0
кумыкским	200.0	9.0	-	-	-	-	1.0	-	-	-	190.0	-
латышским	123.0	7.0	62.0	2.0	-	-	1.0	-	-	-	51.0	-
лезгинским	241.0	1.0	3.0	-	-	-	1.0	-	-	-	236.0	-
литовским	222.0	4.0	61.0	4.0	1.0	1.0	1.0	-	-	-	150.0	-
лугово-восточным марийским (марийским)	128.0	-	8.0	-	-	-	3.0	-	-	-	117.0	-
молдавским	1933.0	62.0	180.0	150.0	1.0	1.0	1.0	-	1.0	-	1537.0	-
мордовским, мокша-мордовским, эрзя-мордовским	1260.0	3.0	73.0	3.0	-	-	5.0	-	-	-	1173.0	3.0
немецким	12182.0	4471.0	5584.0	651.0	81.0	62.0	137.0	125.0	3.0	18.0	1047.0	3.0
ногайским	338.0	-	6.0	-	-	-	6.0	-	2.0	-	324.0	-
осетинским	465.0	-	13.0	3.0	-	-	-	-	-	-	449.0	-
польским	501.0	6.0	151.0	191.0	-	-	3.0	-	-	-	150.0	-
румынским	261.0	5.0	34.0	13.0	-	-	-	-	-	-	209.0	-
таджикским	1064.0	12.0	52.0	2.0	-	2.0	17.0	-	-	-	979.0	-
татарским	5758.0	27.0	237.0	11.0	2.0	-	5026.0	2.0	-	-	452.0	1.0
тувинским	116.0	13.0	5.0	-	2.0	-	-	3.0	-	-	93.0	-
турецким	584.0	245.0	76.0	2.0	3.0	2.0	12.0	3.0	1.0	-	240.0	-
удмуртским	176.0	-	14.0	-	-	-	7.0	-	-	-	155.0	-
узбекским	1514.0	31.0	156.0	14.0	-	-	135.0	-	-	-	1178.0	-
уйгурским	135.0	109.0	4.0	-	1.0	1.0	-	-	-	-	20.0	-
украинским	24053.0	67.0	5448.0	17844.0	3.0	7.0	37.0	4.0	-	-	643.0	-
французским	5696.0	3853.0	1342.0	134.0	58.0	41.0	22.0	49.0	-	-	197.0	-
цыганским	220.0	8.0	48.0	4.0	-	-	1.0	-	-	-	159.0	-
чеченским	477.0	3.0	18.0	7.0	-	-	2.0	-	-	-	447.0	-
чувашским	882.0	-	39.0	-	-	-	4.0	-	-	-	839.0	-
чукотским	338.0	12.0	6.0	-	2.0	47.0	1.0	-	-	28.0	242.0	-
эвенкийским	1578.0	93.0	21.0	-	1384.0	70.0	1.0	2.0	-	3.0	4.0	-
эвенским	3778.0	231.0	27.0	-	107.0	3272.0	1.0	5.0	3.0	96.0	34.0	2.0
юкагирским	394.0	17.0	3.0	-	6.0	35.0	-	-	-	310.0	23.0	-
якутским	446704.0	407496.0	9662.0	275.0	15428.0	9302.0	471.0	391.0	1217.0	630.0	1786.0	46.0
японским	195.0	126.0	52.0	3.0	1.0	-	2.0	1.0	-	-	10.0	-
другими языками (не перечисленными выше)	2230.0	415.0	476.0	82.0	30.0	9.0	18.0	47.0	-	1.0	1152.0	-
