Республика Северная Осетия - Алания									
	Численность лиц, владеющих соответствую-щим языком	в том числе							
		осетины	русские	ингуши	армяне	кумыки	грузины	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:									
аварским	473.0	29.0	1.0	-	2.0	8.0	-	433.0	-
азербайджанским	2936.0	359.0	103.0	1.0	398.0	12.0	19.0	2044.0	-
английским	27591.0	16901.0	7707.0	175.0	939.0	82.0	400.0	1386.0	1.0
арабским	244.0	62.0	26.0	27.0	2.0	16.0	1.0	110.0	-
армянским	13021.0	714.0	174.0	-	11956.0	1.0	51.0	125.0	-
башкирским	295.0	3.0	5.0	-	10.0	-	-	277.0	-
белорусским	494.0	17.0	53.0	-	-	-	-	424.0	-
болгарским	236.0	21.0	33.0	-	6.0	-	-	176.0	-
греческим	1841.0	246.0	69.0	-	28.0	-	17.0	1481.0	-
грузинским	50315.0	40365.0	411.0	12.0	626.0	2.0	8471.0	428.0	-
даргинским	297.0	21.0	1.0	-	1.0	-	-	274.0	-
иврит, идиш	232.0	41.0	17.0	-	3.0	1.0	1.0	169.0	-
ингушским	21491.0	135.0	45.0	21151.0	3.0	31.0	12.0	114.0	-
испанским	342.0	225.0	76.0	1.0	13.0	1.0	5.0	21.0	-
итальянским	152.0	91.0	39.0	1.0	8.0	-	4.0	9.0	-
кабардино-черкесским	2547.0	322.0	60.0	2.0	5.0	29.0	3.0	2126.0	-
казахским	354.0	61.0	39.0	13.0	1.0	3.0	1.0	236.0	-
карачаево-балкарским	203.0	53.0	2.0	-	-	20.0	-	128.0	-
корейским	1021.0	9.0	12.0	-	1.0	-	-	999.0	-
кумыкским	12725.0	40.0	29.0	16.0	4.0	12220.0	2.0	411.0	3.0
лакским	439.0	8.0	3.0	-	-	1.0	-	427.0	-
лезгинским	637.0	5.0	3.0	-	1.0	2.0	-	626.0	-
молдавским	169.0	29.0	36.0	2.0	-	-	-	102.0	-
немецким	12520.0	7933.0	3044.0	95.0	281.0	23.0	167.0	977.0	-
ногайским	173.0	7.0	5.0	3.0	-	10.0	1.0	147.0	-
осетинским	445093.0	431032.0	6430.0	156.0	1443.0	105.0	2880.0	3028.0	19.0
польским	204.0	30.0	47.0	1.0	7.0	-	1.0	118.0	-
табасаранским	189.0	1.0	1.0	-	-	-	-	187.0	-
таджикским	807.0	433.0	33.0	-	8.0	1.0	7.0	325.0	-
татарским	1636.0	80.0	52.0	1.0	5.0	11.0	6.0	1481.0	-
турецким	3295.0	199.0	36.0	1.0	69.0	23.0	13.0	2954.0	-
туркменским	182.0	68.0	18.0	-	1.0	1.0	1.0	93.0	-
удмуртским	107.0	16.0	5.0	-	-	-	-	86.0	-
узбекским	1327.0	304.0	67.0	3.0	13.0	9.0	3.0	928.0	-
украинским	3914.0	218.0	848.0	-	21.0	8.0	5.0	2814.0	-
французским	3435.0	2321.0	747.0	20.0	106.0	13.0	61.0	167.0	-
цыганским	1531.0	6.0	15.0	-	-	1.0	2.0	1507.0	-
чеченским	3604.0	50.0	55.0	79.0	4.0	213.0	3.0	3200.0	-
чувашским	255.0	-	6.0	1.0	1.0	-	-	247.0	-
другими языками (не перечисленными выше)	1814.0	382.0	189.0	4.0	31.0	11.0	11.0	1186.0	-
