Республика Татарстан											
	Численность лиц, владеющих соответствую-щим языком	в том числе									
		татары	из них      кряшены	русские	чуваши	удмурты	украинцы	мордва	марийцы	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:											
аварским	171.0	5.0	-	3.0	-	-	-	-	-	163.0	-
азербайджанским	10497.0	1289.0	4.0	245.0	6.0	3.0	6.0	-	3.0	8945.0	-
английским	136480.0	70487.0	454.0	58959.0	1509.0	241.0	1142.0	238.0	344.0	3553.0	7.0
арабским	4480.0	3954.0	5.0	163.0	4.0	-	4.0	5.0	1.0	349.0	-
армянским	5491.0	142.0	-	147.0	8.0	4.0	5.0	1.0	9.0	5175.0	-
афганским	145.0	17.0	-	9.0	-	-	1.0	-	-	118.0	-
башкирским	11765.0	3961.0	31.0	107.0	76.0	15.0	4.0	1.0	32.0	7569.0	-
белорусским	3355.0	110.0	-	443.0	8.0	6.0	106.0	2.0	1.0	2679.0	-
болгарским	281.0	41.0	-	71.0	9.0	-	18.0	1.0	1.0	140.0	-
венгерским	103.0	29.0	-	32.0	1.0	-	18.0	1.0	-	22.0	-
вьетнамским	256.0	15.0	-	4.0	-	-	-	-	-	237.0	-
горномарийским	1226.0	76.0	-	34.0	4.0	1.0	1.0	3.0	1102.0	5.0	-
греческим	338.0	61.0	-	64.0	5.0	-	3.0	1.0	-	204.0	-
грузинским	2350.0	190.0	1.0	213.0	5.0	1.0	20.0	1.0	3.0	1917.0	-
даргинским	188.0	5.0	-	1.0	-	6.0	-	-	-	176.0	-
иврит, идиш	640.0	43.0	-	126.0	4.0	-	5.0	2.0	-	460.0	-
ингушским	132.0	3.0	-	5.0	-	-	-	-	-	124.0	-
испанским	802.0	299.0	1.0	438.0	4.0	-	12.0	-	1.0	48.0	-
итальянским	494.0	184.0	3.0	252.0	3.0	-	11.0	1.0	3.0	40.0	-
казахским	4308.0	2799.0	14.0	229.0	19.0	3.0	23.0	6.0	11.0	1218.0	-
калмыцким	123.0	2.0	-	2.0	-	-	1.0	-	-	118.0	-
каракалпакским	118.0	55.0	-	4.0	-	-	1.0	-	-	58.0	-
киргизским	1917.0	1337.0	-	50.0	3.0	1.0	4.0	-	1.0	521.0	-
китайским	200.0	63.0	-	57.0	2.0	1.0	-	-	-	77.0	-
коми	109.0	2.0	-	10.0	-	2.0	-	1.0	-	94.0	-
коми-пермяцким	248.0	4.0	1.0	18.0	-	-	-	-	-	226.0	-
корейским	258.0	25.0	-	9.0	-	1.0	-	-	-	223.0	-
кумыкским	124.0	18.0	-	2.0	1.0	-	-	-	-	103.0	-
латышским	234.0	48.0	-	98.0	2.0	-	4.0	1.0	1.0	80.0	-
лезгинским	589.0	12.0	1.0	3.0	-	-	-	-	-	574.0	-
литовским	344.0	51.0	-	139.0	2.0	-	5.0	1.0	-	146.0	-
лугово-восточным марийским (марийским)	15435.0	837.0	13.0	474.0	34.0	46.0	4.0	10.0	13990.0	40.0	-
молдавским	954.0	43.0	-	132.0	1.0	-	67.0	1.0	-	710.0	-
мордовским, мокша-мордовским, эрзя-мордовским	20797.0	297.0	6.0	1454.0	387.0	5.0	19.0	18540.0	34.0	61.0	-
немецким	45520.0	21153.0	211.0	20232.0	909.0	140.0	525.0	165.0	210.0	2183.0	3.0
осетинским	254.0	12.0	-	22.0	2.0	-	-	-	-	218.0	-
персидским	218.0	91.0	-	16.0	1.0	4.0	1.0	-	-	105.0	-
польским	1058.0	181.0	3.0	420.0	2.0	2.0	193.0	-	1.0	259.0	-
румынским	179.0	19.0	-	36.0	1.0	-	8.0	1.0	-	114.0	-
сербскохорватским	110.0	17.0	-	30.0	-	-	1.0	-	-	62.0	-
таджикским	5872.0	2134.0	4.0	224.0	10.0	5.0	10.0	2.0	3.0	3484.0	-
татарским	2014517.0	1884442.0	17412.0	64143.0	25369.0	9633.0	1064.0	1387.0	6563.0	21891.0	25.0
турецким	5744.0	4052.0	3.0	424.0	12.0	4.0	8.0	1.0	4.0	1239.0	-
туркменским	1398.0	764.0	4.0	77.0	7.0	-	7.0	-	1.0	542.0	-
удмуртским	23286.0	1073.0	27.0	780.0	85.0	21157.0	16.0	6.0	115.0	54.0	-
узбекским	19125.0	13727.0	32.0	620.0	84.0	16.0	29.0	6.0	17.0	4626.0	-
украинским	18710.0	1101.0	9.0	4315.0	67.0	5.0	12561.0	18.0	14.0	629.0	-
французским	10827.0	5068.0	34.0	5181.0	83.0	11.0	98.0	12.0	40.0	334.0	-
цыганским	802.0	17.0	-	37.0	3.0	-	-	2.0	-	743.0	-
чеченским	828.0	232.0	1.0	15.0	15.0	1.0	3.0	-	1.0	561.0	-
чешским	123.0	38.0	-	57.0	1.0	1.0	12.0	-	-	14.0	-
чувашским	119802.0	6602.0	57.0	3111.0	109492.0	154.0	72.0	212.0	27.0	132.0	-
эстонским	129.0	18.0	-	54.0	1.0	-	6.0	-	-	50.0	-
японским	103.0	49.0	-	48.0	1.0	-	-	-	-	5.0	-
другими языками (не перечисленными выше)	3448.0	1240.0	61.0	660.0	30.0	8.0	19.0	25.0	11.0	1455.0	-
