Республика Тыва							
	Численность лиц, владеющих соответствую-щим языком	в том числе					
		тувинцы	из них           тувинцы-тоджинцы	русские	украинцы	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:							
азербайджанским	268.0	52.0	-	7.0	-	209.0	-
английским	5540.0	3811.0	7.0	1449.0	32.0	248.0	-
армянским	453.0	7.0	-	4.0	2.0	440.0	-
белорусским	109.0	7.0	-	19.0	3.0	80.0	-
бурятским	302.0	97.0	-	3.0	-	202.0	-
грузинским	194.0	2.0	-	7.0	-	185.0	-
казахским	151.0	21.0	-	11.0	2.0	117.0	-
киргизским	560.0	43.0	-	5.0	-	512.0	-
коми	359.0	337.0	1.0	3.0	-	19.0	-
монгольским	3893.0	3789.0	226.0	9.0	-	95.0	-
немецким	1729.0	732.0	4.0	828.0	23.0	146.0	-
татарским	306.0	6.0	-	16.0	2.0	282.0	-
тувинским	235646.0	231775.0	4406.0	1073.0	12.0	2786.0	-
турецким	348.0	218.0	-	34.0	-	96.0	-
узбекским	200.0	12.0	-	12.0	2.0	174.0	-
украинским	543.0	10.0	1.0	127.0	382.0	24.0	-
французским	381.0	231.0	1.0	126.0	4.0	20.0	-
хакасским	538.0	36.0	-	14.0	-	488.0	-
другими языками (не перечисленными выше)	1359.0	452.0	5.0	106.0	7.0	794.0	-
