Удмуртская Республика									
	Численность лиц, владеющих соответствую-щим языком	в том числе							
		удмурты	русские	татары	украинцы	марийцы	бесермяне	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:									
аварским	103.0	9.0	3.0	1.0	-	7.0	-	83.0	-
азербайджанским	3666.0	34.0	111.0	63.0	2.0	8.0	-	3448.0	-
английским	52069.0	6839.0	39151.0	3970.0	606.0	129.0	49.0	1321.0	4.0
арабским	232.0	7.0	51.0	119.0	2.0	1.0	-	52.0	-
армянским	2975.0	34.0	87.0	9.0	7.0	3.0	-	2835.0	-
башкирским	2839.0	263.0	59.0	525.0	2.0	41.0	-	1949.0	-
белорусским	1388.0	18.0	211.0	9.0	38.0	-	-	1112.0	-
болгарским	105.0	7.0	29.0	-	6.0	-	-	63.0	-
горномарийским	257.0	11.0	12.0	7.0	-	227.0	-	-	-
греческим	114.0	11.0	32.0	-	3.0	-	-	68.0	-
грузинским	909.0	15.0	117.0	15.0	8.0	3.0	-	751.0	-
даргинским	248.0	85.0	10.0	2.0	-	-	1.0	150.0	-
иврит, идиш	154.0	8.0	47.0	3.0	-	-	-	96.0	-
ингушским	101.0	-	2.0	2.0	-	-	-	97.0	-
испанским	510.0	18.0	423.0	26.0	10.0	1.0	-	32.0	-
итальянским	256.0	11.0	207.0	21.0	4.0	-	-	13.0	-
казахским	554.0	31.0	154.0	142.0	13.0	3.0	-	211.0	-
киргизским	170.0	2.0	22.0	43.0	3.0	-	-	100.0	-
коми	131.0	10.0	7.0	2.0	1.0	-	-	111.0	-
коми-пермяцким	221.0	12.0	22.0	-	-	-	-	187.0	-
латышским	122.0	7.0	72.0	3.0	2.0	-	-	38.0	-
лезгинским	125.0	-	1.0	-	-	-	-	124.0	-
литовским	167.0	7.0	75.0	2.0	8.0	-	-	75.0	-
лугово-восточным марийским (марийским)	6981.0	126.0	191.0	83.0	8.0	6541.0	1.0	31.0	-
молдавским	821.0	33.0	100.0	5.0	51.0	1.0	-	631.0	-
мордовским, мокша-мордовским, эрзя-мордовским	557.0	3.0	48.0	4.0	4.0	1.0	-	497.0	-
немецким	22688.0	4011.0	15469.0	1675.0	290.0	106.0	25.0	1112.0	-
польским	399.0	16.0	164.0	6.0	83.0	1.0	-	129.0	-
румынским	122.0	3.0	25.0	1.0	9.0	-	-	84.0	-
таджикским	547.0	17.0	86.0	54.0	4.0	-	-	386.0	-
татарским	89689.0	3185.0	2422.0	80963.0	35.0	599.0	141.0	2343.0	1.0
турецким	431.0	24.0	67.0	36.0	1.0	1.0	1.0	301.0	-
туркменским	140.0	4.0	33.0	26.0	2.0	-	-	75.0	-
удмуртским	354824.0	330801.0	15600.0	4865.0	153.0	307.0	2573.0	524.0	1.0
узбекским	1467.0	52.0	226.0	418.0	10.0	2.0	-	759.0	-
украинским	7620.0	178.0	1940.0	71.0	5142.0	10.0	5.0	274.0	-
финским	102.0	58.0	29.0	-	1.0	-	-	14.0	-
французским	3677.0	356.0	2796.0	320.0	56.0	11.0	2.0	136.0	-
цыганским	726.0	8.0	58.0	6.0	3.0	-	-	651.0	-
чеченским	450.0	5.0	21.0	18.0	1.0	-	-	405.0	-
чувашским	1741.0	9.0	78.0	40.0	1.0	1.0	-	1612.0	-
другими языками (не перечисленными выше)	2224.0	298.0	712.0	169.0	36.0	14.0	254.0	741.0	-
