Республика Хакасия								
	Численность лиц, владеющих соответствую-щим языком	в том числе						
		хакасы	русские	немцы	украинцы	шорцы	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:								
азербайджанским	1513.0	11.0	52.0	-	4.0	-	1446.0	-
английским	15148.0	1695.0	12469.0	163.0	228.0	9.0	584.0	-
армянским	703.0	3.0	29.0	1.0	2.0	-	668.0	-
башкирским	194.0	1.0	14.0	2.0	1.0	1.0	175.0	-
белорусским	907.0	1.0	130.0	-	42.0	-	734.0	-
бурятским	107.0	3.0	20.0	1.0	-	-	83.0	-
грузинским	365.0	2.0	47.0	1.0	4.0	-	311.0	-
испанским	153.0	20.0	122.0	-	4.0	-	7.0	-
казахским	459.0	39.0	147.0	5.0	14.0	-	254.0	-
киргизским	687.0	36.0	53.0	1.0	4.0	1.0	592.0	-
китайским	225.0	6.0	47.0	1.0	-	-	171.0	-
корейским	185.0	1.0	3.0	-	-	-	181.0	-
латышским	201.0	7.0	54.0	1.0	3.0	-	136.0	-
литовским	168.0	9.0	42.0	1.0	-	-	116.0	-
лугово-восточным марийским (марийским)	159.0	-	2.0	-	-	-	157.0	-
молдавским	278.0	3.0	47.0	1.0	32.0	-	195.0	-
мордовским, мокша-мордовским, эрзя-мордовским	728.0	2.0	94.0	3.0	5.0	-	624.0	-
немецким	12261.0	888.0	7999.0	2822.0	179.0	16.0	356.0	1.0
польским	430.0	4.0	116.0	36.0	69.0	-	205.0	-
таджикским	361.0	16.0	46.0	1.0	1.0	-	297.0	-
татарским	1984.0	19.0	92.0	1.0	2.0	-	1870.0	-
тувинским	495.0	59.0	66.0	-	-	-	370.0	-
турецким	265.0	85.0	55.0	1.0	1.0	-	123.0	-
удмуртским	131.0	1.0	19.0	3.0	-	-	108.0	-
узбекским	798.0	35.0	117.0	2.0	12.0	2.0	630.0	-
украинским	4730.0	20.0	1107.0	21.0	3451.0	-	131.0	-
французским	1238.0	110.0	1042.0	9.0	22.0	5.0	50.0	-
хакасским	47980.0	46502.0	789.0	137.0	21.0	132.0	399.0	-
цыганским	562.0	-	84.0	-	-	-	478.0	-
чеченским	109.0	-	9.0	-	4.0	-	96.0	-
чувашским	968.0	11.0	49.0	-	-	1.0	907.0	-
шорским	518.0	18.0	7.0	1.0	1.0	487.0	4.0	-
эстонским	138.0	-	25.0	1.0	-	-	112.0	-
другими языками (не перечисленными выше)	2036.0	165.0	577.0	23.0	42.0	5.0	1224.0	-
