Чеченская Республика							
	Численность лиц, владеющих соответствую-щим языком	в том числе					
		чеченцы	русские	ногайцы	ингуши	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:							
аварским	3316.0	90.0	2.0	1.0	1.0	3221.0	1.0
азербайджанским	227.0	12.0	7.0	-	-	208.0	-
английским	6470.0	5606.0	668.0	3.0	42.0	148.0	3.0
арабским	1734.0	1699.0	4.0	1.0	3.0	26.0	1.0
армянским	317.0	8.0	8.0	-	-	301.0	-
башкирским	353.0	12.0	3.0	-	-	338.0	-
белорусским	122.0	35.0	8.0	-	-	79.0	-
грузинским	287.0	78.0	6.0	-	2.0	195.0	6.0
даргинским	680.0	12.0	3.0	-	-	665.0	-
ингушским	2985.0	402.0	4.0	-	2558.0	21.0	-
кабардино-черкесским	129.0	19.0	6.0	-	-	104.0	-
казахским	1784.0	1444.0	15.0	2.0	5.0	318.0	-
киргизским	227.0	208.0	4.0	-	1.0	14.0	-
кумыкским	9365.0	978.0	14.0	20.0	4.0	8348.0	1.0
лакским	150.0	5.0	-	-	-	145.0	-
лезгинским	129.0	2.0	-	-	-	127.0	-
немецким	2359.0	1871.0	338.0	3.0	14.0	133.0	-
ногайским	3549.0	45.0	17.0	3433.0	1.0	53.0	-
осетинским	175.0	9.0	7.0	-	6.0	153.0	-
татарским	1766.0	192.0	29.0	5.0	1.0	1539.0	-
тофаларским	113.0	111.0	-	-	-	2.0	-
тувинским	169.0	-	-	-	-	169.0	-
турецким	1693.0	62.0	2.0	1.0	-	1628.0	-
узбекским	427.0	125.0	14.0	-	-	288.0	-
украинским	618.0	129.0	104.0	-	-	385.0	-
французским	506.0	443.0	43.0	3.0	5.0	12.0	-
чеченским	1013176.0	1006028.0	1627.0	37.0	1428.0	3604.0	452.0
чувашским	209.0	55.0	4.0	-	-	150.0	-
другими языками (не перечисленными выше)	1368.0	299.0	85.0	4.0	3.0	974.0	3.0
