Еврейская автономная область						
	Численность лиц, владеющих соответствую-щим языком	в том числе				
		евреи	русские	украинцы	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:						
азербайджанским	510.0	1.0	20.0	-	489.0	-
английским	5689.0	167.0	5062.0	217.0	239.0	4.0
армянским	244.0	-	22.0	-	222.0	-
белорусским	340.0	3.0	58.0	13.0	266.0	-
иврит, идиш	481.0	265.0	203.0	5.0	8.0	-
казахским	127.0	-	59.0	9.0	59.0	-
китайским	254.0	5.0	141.0	5.0	103.0	-
корейским	139.0	1.0	19.0	-	119.0	-
молдавским	475.0	1.0	39.0	34.0	401.0	-
немецким	2564.0	59.0	2168.0	147.0	190.0	-
таджикским	136.0	-	20.0	1.0	115.0	-
татарским	478.0	-	33.0	2.0	442.0	1.0
узбекским	165.0	2.0	44.0	4.0	115.0	-
украинским	3415.0	41.0	691.0	2578.0	104.0	1.0
французским	388.0	16.0	340.0	10.0	22.0	-
цыганским	148.0	2.0	13.0	1.0	132.0	-
чувашским	107.0	-	9.0	-	98.0	-
другими языками (не перечисленными выше)	1519.0	12.0	354.0	69.0	1083.0	1.0
