Коми-Пермяцкий автономный округ					
	Численность лиц, владеющих соответствую-щим языком	в том числе			
		коми-пермяки	русские	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:					
английским	932.0	382.0	510.0	40.0	-
белорусским	183.0	5.0	12.0	166.0	-
коми-пермяцким	70174.0	66764.0	3135.0	271.0	4.0
немецким	743.0	296.0	346.0	101.0	-
татарским	642.0	6.0	17.0	619.0	-
украинским	436.0	34.0	94.0	308.0	-
французским	130.0	81.0	45.0	4.0	-
другими языками (не перечисленными выше)	762.0	70.0	79.0	612.0	1.0
