Корякский автономный округ										
	Численность лиц, владеющих соответствую-щим языком	в том числе								
		коряки	русские	чукчи	ительмены	украинцы	эвены	камчадалы	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:										
алюторским	2.0	2.0	-	-	-	-	-	-	-	-
английским	509.0	88.0	332.0	3.0	18.0	33.0	10.0	4.0	21.0	-
ительменским	73.0	1.0	8.0	-	63.0	-	1.0	-	-	-
корякским	2093.0	1979.0	16.0	59.0	9.0	-	27.0	2.0	1.0	-
немецким	108.0	8.0	75.0	1.0	2.0	10.0	3.0	-	9.0	-
татарским	103.0	-	3.0	-	2.0	-	-	-	98.0	-
украинским	737.0	1.0	172.0	-	2.0	550.0	1.0	-	11.0	-
чукотским	903.0	18.0	1.0	863.0	1.0	-	19.0	-	1.0	-
эвенским	350.0	8.0	5.0	18.0	-	-	319.0	-	-	-
другими языками (не перечисленными выше)	481.0	10.0	87.0	1.0	2.0	29.0	1.0	1.0	350.0	-
