Ненецкий автономный округ						
	Численность лиц, владеющих соответствую-щим языком	в том числе				
		ненцы	русские	коми	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:						
английским	1118.0	70.0	880.0	42.0	125.0	1.0
белорусским	191.0	-	18.0	-	173.0	-
коми	3375.0	1318.0	102.0	1942.0	12.0	1.0
немецким	476.0	47.0	342.0	31.0	56.0	-
ненецким	2565.0	2509.0	36.0	17.0	2.0	1.0
татарским	110.0	-	11.0	-	99.0	-
украинским	939.0	2.0	218.0	1.0	718.0	-
другими языками (не перечисленными выше)	569.0	15.0	129.0	11.0	413.0	1.0
