Таймырский (Долгано-Ненецкий) автономный округ									
	Численность лиц, владеющих соответствую-щим языком	в том числе							
		долганы	ненцы	русские	украинцы	нганасаны	энцы	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:									
азербайджанским	217.0	2.0	-	4.0	-	-	-	211.0	-
английским	1433.0	32.0	21.0	1158.0	98.0	3.0	1.0	120.0	-
белорусским	146.0	-	-	31.0	8.0	-	-	107.0	-
долганским	4520.0	4347.0	12.0	29.0	1.0	63.0	4.0	64.0	-
киргизским	166.0	1.0	-	6.0	1.0	-	-	158.0	-
молдавским	168.0	-	-	23.0	23.0	-	-	122.0	-
нганасанским	401.0	9.0	1.0	-	-	390.0	1.0	-	-
немецким	679.0	15.0	6.0	379.0	57.0	3.0	2.0	217.0	-
ненецким	2312.0	40.0	2187.0	10.0	-	3.0	62.0	10.0	-
татарским	233.0	-	-	5.0	1.0	-	-	227.0	-
украинским	2027.0	2.0	7.0	497.0	1488.0	-	-	33.0	-
эвенкийским	161.0	3.0	2.0	1.0	-	-	2.0	153.0	-
энецким	84.0	1.0	13.0	-	-	1.0	66.0	3.0	-
другими языками (не перечисленными выше)	1044.0	29.0	5.0	179.0	53.0	1.0	3.0	774.0	-
