Усть-Ордынский Бурятский автономный округ					
	Численность лиц, владеющих соответствую-щим языком	в том числе			
		буряты	русские	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:					
английским	1816.0	1123.0	613.0	80.0	-
армянским	319.0	2.0	5.0	312.0	-
белорусским	115.0	2.0	14.0	99.0	-
бурятским	46049.0	44668.0	695.0	686.0	-
немецким	795.0	442.0	294.0	59.0	-
польским	388.0	3.0	44.0	341.0	-
татарским	2822.0	54.0	108.0	2660.0	-
украинским	610.0	2.0	97.0	511.0	-
французским	219.0	168.0	40.0	11.0	-
другими языками (не перечисленными выше)	854.0	106.0	69.0	679.0	-
