Ханты-Мансийский автономный округ - Югра															
	Численность лиц, владеющих соответствую-щим языком	в том числе													
		ханты	манси	русские	украинцы	татары	башкиры	азербайджанцы	белорусы	чуваши	немцы	коми	ненцы	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:															
абазинским	214.0	-	-	3.0	1.0	2.0	-	5.0	-	-	-	-	-	203.0	-
аварским	1624.0	-	-	15.0	37.0	2.0	1.0	22.0	-	-	1.0	-	-	1546.0	-
агульским	115.0	-	-	-	-	-	-	-	-	-	1.0	-	-	114.0	-
адыгейским	124.0	-	-	6.0	-	-	-	-	-	-	-	-	-	118.0	-
азербайджанским	23461.0	2.0	2.0	436.0	40.0	132.0	20.0	21050.0	2.0	5.0	1.0	1.0	-	1765.0	5.0
английским	53451.0	185.0	109.0	38361.0	5058.0	3785.0	1161.0	438.0	766.0	371.0	237.0	49.0	7.0	2899.0	25.0
арабским	316.0	-	1.0	49.0	8.0	52.0	14.0	31.0	2.0	-	2.0	-	-	157.0	-
армянским	5368.0	-	5.0	136.0	15.0	9.0	8.0	102.0	5.0	2.0	1.0	-	-	5084.0	1.0
башкирским	25221.0	-	1.0	396.0	24.0	2517.0	21864.0	13.0	7.0	141.0	1.0	1.0	-	254.0	2.0
белорусским	9486.0	-	-	1056.0	349.0	20.0	9.0	3.0	7883.0	5.0	6.0	-	-	155.0	-
болгарским	1611.0	-	-	270.0	110.0	9.0	4.0	1.0	5.0	1.0	4.0	-	-	1207.0	-
бурятским	108.0	-	-	14.0	1.0	2.0	2.0	-	-	-	-	-	-	89.0	-
венгерским	176.0	5.0	2.0	34.0	67.0	3.0	-	-	1.0	2.0	-	-	-	62.0	-
гагаузским	1101.0	-	-	27.0	6.0	2.0	-	-	1.0	2.0	-	-	-	1058.0	5.0
горномарийским	560.0	-	-	12.0	-	8.0	1.0	-	-	1.0	-	-	-	538.0	-
греческим	373.0	-	-	51.0	17.0	1.0	-	4.0	3.0	-	-	-	-	297.0	-
грузинским	1477.0	-	-	160.0	14.0	34.0	2.0	87.0	3.0	3.0	1.0	-	-	1172.0	1.0
даргинским	1620.0	-	-	11.0	-	1.0	-	1.0	-	-	-	-	-	1603.0	4.0
иврит, идиш	131.0	1.0	-	36.0	13.0	1.0	-	4.0	-	1.0	-	-	-	75.0	-
ингушским	651.0	-	-	11.0	3.0	1.0	-	-	-	-	-	-	-	636.0	-
испанским	431.0	20.0	1.0	289.0	50.0	10.0	6.0	1.0	14.0	-	-	1.0	4.0	35.0	-
итальянским	230.0	-	3.0	146.0	15.0	7.0	1.0	-	4.0	1.0	-	1.0	-	52.0	-
кабардино-черкесским	449.0	1.0	1.0	9.0	-	2.0	-	-	-	-	-	-	-	436.0	-
казахским	3848.0	-	-	688.0	74.0	282.0	63.0	42.0	6.0	7.0	22.0	-	-	2663.0	1.0
калмыцким	132.0	-	-	2.0	1.0	3.0	-	5.0	-	-	-	-	-	121.0	-
киргизским	2434.0	-	-	263.0	21.0	199.0	20.0	7.0	-	2.0	3.0	-	-	1918.0	1.0
коми	688.0	13.0	30.0	39.0	2.0	-	-	-	-	-	-	508.0	53.0	42.0	1.0
коми-пермяцким	1344.0	-	-	74.0	1.0	-	-	-	2.0	-	-	13.0	1.0	1253.0	-
корейским	247.0	-	-	4.0	2.0	2.0	-	-	-	-	-	-	-	239.0	-
кумыкским	8943.0	-	-	25.0	5.0	52.0	5.0	20.0	-	1.0	-	-	-	8832.0	3.0
курдским	121.0	-	3.0	2.0	-	-	-	-	-	-	-	-	-	116.0	-
лакским	708.0	-	-	-	-	1.0	-	-	-	-	-	-	-	707.0	-
латышским	280.0	2.0	-	128.0	16.0	6.0	-	2.0	15.0	1.0	-	-	-	109.0	1.0
лезгинским	6846.0	-	-	10.0	-	1.0	-	60.0	-	-	-	-	-	6774.0	1.0
литовским	484.0	-	-	132.0	24.0	6.0	-	2.0	10.0	-	1.0	-	-	309.0	-
лугово-восточным марийским (марийским)	2885.0	2.0	1.0	83.0	1.0	43.0	8.0	-	-	7.0	1.0	-	-	2738.0	1.0
мансийским	2229.0	50.0	2007.0	47.0	1.0	3.0	-	-	-	-	-	71.0	31.0	19.0	-
молдавским	9557.0	2.0	-	847.0	649.0	13.0	3.0	9.0	12.0	1.0	7.0	-	-	8013.0	1.0
мордовским, мокша-мордовским, эрзя-мордовским	3138.0	-	1.0	288.0	35.0	12.0	3.0	3.0	2.0	23.0	1.0	-	-	2770.0	-
немецким	25114.0	137.0	61.0	16252.0	2217.0	1659.0	532.0	110.0	464.0	270.0	2041.0	18.0	8.0	1341.0	4.0
ненецким	446.0	75.0	4.0	12.0	1.0	2.0	1.0	-	-	-	3.0	7.0	337.0	4.0	-
ногайским	1957.0	-	-	17.0	28.0	13.0	2.0	4.0	-	-	-	-	-	1893.0	-
осетинским	611.0	-	-	26.0	1.0	2.0	-	5.0	1.0	-	-	-	-	576.0	-
персидским	121.0	-	-	8.0	2.0	5.0	-	45.0	-	-	-	-	-	61.0	-
польским	1537.0	-	1.0	346.0	663.0	4.0	-	1.0	126.0	1.0	1.0	1.0	-	392.0	1.0
румынским	1075.0	-	1.0	130.0	93.0	6.0	16.0	1.0	-	-	2.0	-	-	825.0	1.0
рутульским	146.0	-	-	-	-	-	-	-	-	-	-	-	-	146.0	-
сербскохорватским	343.0	-	-	19.0	6.0	1.0	2.0	1.0	-	1.0	-	-	-	313.0	-
табасаранским	384.0	-	-	4.0	-	-	-	-	-	-	-	-	-	379.0	1.0
таджикским	5965.0	1.0	1.0	220.0	11.0	131.0	15.0	20.0	4.0	1.0	5.0	1.0	-	5553.0	2.0
талышским	338.0	-	-	1.0	1.0	-	4.0	238.0	-	-	-	-	-	94.0	-
татарским	79892.0	6.0	5.0	1569.0	86.0	70007.0	5920.0	95.0	24.0	567.0	11.0	1.0	-	1588.0	13.0
турецким	2082.0	-	1.0	83.0	17.0	76.0	15.0	676.0	2.0	2.0	-	-	-	1208.0	2.0
туркменским	226.0	-	-	40.0	1.0	24.0	8.0	23.0	-	-	1.0	-	-	129.0	-
удмуртским	1689.0	-	1.0	80.0	5.0	20.0	4.0	-	-	3.0	-	1.0	-	1575.0	-
узбекским	7243.0	-	-	552.0	32.0	979.0	143.0	97.0	5.0	10.0	8.0	-	-	5416.0	1.0
украинским	89517.0	16.0	4.0	16258.0	70499.0	230.0	38.0	65.0	501.0	16.0	59.0	9.0	1.0	1795.0	26.0
французским	4441.0	10.0	3.0	2904.0	456.0	269.0	91.0	59.0	66.0	23.0	16.0	4.0	1.0	538.0	1.0
хантыйским	6338.0	5908.0	53.0	122.0	7.0	8.0	-	1.0	2.0	1.0	3.0	53.0	156.0	23.0	1.0
цахурским	123.0	-	-	-	2.0	-	-	18.0	-	-	-	-	-	103.0	-
цыганским	103.0	-	-	16.0	3.0	1.0	1.0	-	-	-	-	-	-	82.0	-
чеченским	6298.0	-	1.0	110.0	51.0	24.0	2.0	4.0	3.0	3.0	-	-	-	6100.0	-
чувашским	8482.0	-	1.0	276.0	8.0	142.0	30.0	-	2.0	7969.0	2.0	-	-	51.0	1.0
эстонским	133.0	-	-	55.0	5.0	-	-	1.0	4.0	2.0	-	-	-	66.0	-
другими языками (не перечисленными выше)	4145.0	42.0	74.0	743.0	136.0	93.0	24.0	116.0	24.0	10.0	8.0	790.0	138.0	1937.0	10.0
