Чукотский автономный округ										
	Численность лиц, владеющих соответствую-щим языком	в том числе								
		чукчи	русские	украинцы	эскимосы	эвены	чуванцы	коряки	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:										
азербайджанским	112.0	-	22.0	-	-	-	-	-	90.0	-
английским	2532.0	197.0	1792.0	260.0	57.0	11.0	31.0	1.0	179.0	4.0
белорусским	228.0	-	45.0	16.0	-	1.0	-	-	165.0	1.0
инуитским, сиреникским, юитским	265.0	12.0	1.0	1.0	236.0	13.0	-	-	1.0	1.0
керекским	2.0	-	-	-	-	-	-	-	2.0	-
корякским	21.0	5.0	-	-	-	2.0	10.0	2.0	1.0	1.0
молдавским	124.0	-	22.0	19.0	-	-	-	-	83.0	-
немецким	629.0	4.0	446.0	96.0	1.0	-	2.0	-	80.0	-
татарским	315.0	-	21.0	1.0	-	-	-	-	293.0	-
украинским	3692.0	11.0	1025.0	2576.0	2.0	2.0	2.0	-	74.0	-
чукотским	5908.0	5555.0	51.0	7.0	99.0	62.0	88.0	12.0	26.0	8.0
эвенским	627.0	45.0	6.0	1.0	14.0	511.0	4.0	3.0	43.0	-
другими языками (не перечисленными выше)	1540.0	27.0	303.0	80.0	313.0	21.0	7.0	3.0	784.0	2.0
