Республика Бурятия									
	Численность лиц, владеющих соответствую-щим языком	в том числе							
		буряты	русские	украинцы	татары	сойоты	эвенки	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:									
азербайджанским	1551.0	10.0	92.0	1.0	4.0	-	1.0	1443.0	-
английским	37092.0	14526.0	21035.0	381.0	164.0	48.0	42.0	893.0	3.0
армянским	1748.0	6.0	60.0	1.0	-	-	-	1681.0	-
башкирским	341.0	1.0	21.0	1.0	42.0	-	1.0	275.0	-
белорусским	984.0	10.0	157.0	26.0	3.0	-	1.0	787.0	-
бурятским	231424.0	222107.0	4743.0	35.0	833.0	2623.0	457.0	620.0	6.0
грузинским	505.0	4.0	48.0	3.0	-	-	-	450.0	-
иврит, идиш	121.0	4.0	73.0	1.0	-	-	-	43.0	-
испанским	183.0	64.0	107.0	4.0	-	-	-	8.0	-
казахским	610.0	38.0	110.0	13.0	28.0	-	-	421.0	-
киргизским	567.0	9.0	32.0	3.0	4.0	-	-	519.0	-
китайским	1641.0	750.0	327.0	4.0	1.0	1.0	1.0	557.0	-
корейским	348.0	34.0	26.0	-	-	-	-	288.0	-
лезгинским	148.0	-	1.0	-	-	-	-	147.0	-
литовским	175.0	7.0	50.0	5.0	1.0	-	-	112.0	-
молдавским	366.0	2.0	41.0	50.0	-	-	-	273.0	-
монгольским	2290.0	1745.0	219.0	-	7.0	17.0	-	302.0	-
мордовским, мокша-мордовским, эрзя-мордовским	242.0	2.0	32.0	-	-	-	-	205.0	3.0
немецким	11982.0	3918.0	7051.0	213.0	63.0	7.0	25.0	705.0	-
польским	304.0	23.0	113.0	70.0	-	-	-	98.0	-
таджикским	270.0	3.0	43.0	2.0	5.0	-	1.0	216.0	-
татарским	4246.0	60.0	176.0	2.0	3837.0	-	1.0	170.0	-
тувинским	367.0	36.0	7.0	-	-	10.0	-	314.0	-
турецким	412.0	121.0	98.0	2.0	4.0	-	2.0	185.0	-
удмуртским	138.0	3.0	14.0	-	6.0	-	-	115.0	-
узбекским	754.0	17.0	116.0	5.0	38.0	-	-	577.0	1.0
украинским	6376.0	26.0	1533.0	4622.0	7.0	-	1.0	186.0	1.0
французским	3637.0	1548.0	1942.0	28.0	19.0	22.0	-	78.0	-
цыганским	260.0	6.0	58.0	2.0	1.0	-	-	193.0	-
чеченским	143.0	-	8.0	-	-	-	-	135.0	-
чувашским	408.0	-	21.0	-	3.0	-	-	384.0	-
эвенкийским	793.0	21.0	12.0	-	-	-	757.0	3.0	-
якутским	259.0	52.0	27.0	1.0	4.0	-	11.0	164.0	-
японским	169.0	103.0	51.0	1.0	1.0	-	-	13.0	-
другими языками (не перечисленными выше)	2236.0	389.0	537.0	33.0	6.0	3.0	8.0	1260.0	-
