Ямало-Ненецкий автономный округ											
	Численность лиц, владеющих соответствую-щим языком	в том числе									
		ненцы	русские	украинцы	татары	белорусы	ханты	коми	селькупы	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:											
абазинским	100.0	-	1.0	-	-	-	-	-	-	99.0	-
аварским	441.0	-	5.0	-	-	-	1.0	-	-	435.0	-
азербайджанским	7889.0	2.0	177.0	10.0	31.0	3.0	-	1.0	-	7660.0	5.0
английским	17147.0	84.0	11623.0	2652.0	931.0	318.0	31.0	47.0	9.0	1445.0	7.0
армянским	1215.0	-	70.0	13.0	-	3.0	1.0	-	-	1127.0	1.0
башкирским	5615.0	1.0	91.0	6.0	697.0	2.0	-	-	2.0	4813.0	3.0
белорусским	4529.0	3.0	540.0	186.0	6.0	3696.0	-	1.0	1.0	95.0	1.0
болгарским	886.0	-	81.0	73.0	2.0	2.0	-	1.0	-	727.0	-
венгерским	102.0	-	14.0	55.0	1.0	-	-	-	-	32.0	-
гагаузским	640.0	-	14.0	9.0	2.0	2.0	-	-	-	613.0	-
греческим	155.0	-	25.0	14.0	1.0	-	-	-	-	115.0	-
грузинским	761.0	4.0	90.0	8.0	1.0	-	-	-	-	658.0	-
даргинским	416.0	-	3.0	-	-	-	-	-	-	413.0	-
ингушским	297.0	-	4.0	1.0	2.0	-	-	-	-	290.0	-
испанским	197.0	-	138.0	34.0	2.0	10.0	-	1.0	-	12.0	-
кабардино-черкесским	213.0	-	10.0	-	-	-	-	-	-	203.0	-
казахским	1321.0	-	269.0	21.0	107.0	4.0	1.0	-	-	919.0	-
киргизским	687.0	-	101.0	6.0	35.0	-	-	-	-	545.0	-
коми	2505.0	277.0	42.0	3.0	6.0	1.0	109.0	2051.0	-	15.0	1.0
кумыкским	2308.0	-	8.0	-	12.0	-	-	1.0	-	2287.0	-
лакским	174.0	-	-	-	-	-	-	-	1.0	173.0	-
латышским	189.0	1.0	95.0	9.0	-	11.0	-	-	-	72.0	1.0
лезгинским	955.0	-	6.0	-	-	-	-	-	-	949.0	-
литовским	191.0	-	73.0	15.0	3.0	4.0	-	-	-	96.0	-
лугово-восточным марийским (марийским)	721.0	-	35.0	3.0	12.0	-	1.0	-	-	670.0	-
молдавским	5018.0	3.0	479.0	379.0	5.0	15.0	-	1.0	-	4133.0	3.0
мордовским, мокша-мордовским, эрзя-мордовским	880.0	-	95.0	3.0	3.0	-	-	-	-	778.0	1.0
немецким	8916.0	109.0	5343.0	1185.0	489.0	252.0	63.0	60.0	10.0	1403.0	2.0
ненецким	23411.0	22601.0	96.0	16.0	22.0	-	374.0	128.0	121.0	46.0	7.0
ногайским	1404.0	-	13.0	1.0	19.0	1.0	-	-	-	1369.0	1.0
осетинским	368.0	-	17.0	1.0	3.0	-	-	-	-	347.0	-
польским	917.0	-	188.0	458.0	5.0	88.0	-	2.0	-	175.0	1.0
румынским	649.0	-	77.0	40.0	1.0	1.0	-	-	-	530.0	-
селькупским	1246.0	12.0	20.0	1.0	-	-	35.0	5.0	1127.0	46.0	-
табасаранским	131.0	-	-	-	-	-	-	-	-	131.0	-
таджикским	723.0	1.0	66.0	5.0	56.0	1.0	-	-	-	594.0	-
талышским	432.0	-	4.0	-	1.0	-	-	-	-	427.0	-
татарским	20460.0	14.0	483.0	33.0	17767.0	5.0	2.0	3.0	2.0	2148.0	3.0
турецким	854.0	-	55.0	12.0	19.0	1.0	-	-	-	767.0	-
туркменским	117.0	-	26.0	-	12.0	1.0	-	-	-	78.0	-
удмуртским	359.0	1.0	24.0	1.0	8.0	1.0	-	-	-	324.0	-
узбекским	1468.0	2.0	211.0	12.0	292.0	3.0	-	-	-	948.0	-
украинским	51790.0	14.0	10071.0	40171.0	93.0	344.0	11.0	16.0	2.0	1055.0	13.0
французским	1584.0	8.0	888.0	305.0	59.0	38.0	1.0	-	-	285.0	-
хантыйским	6555.0	250.0	42.0	8.0	7.0	-	6010.0	220.0	5.0	13.0	-
чеченским	1897.0	-	50.0	16.0	9.0	-	-	1.0	-	1820.0	1.0
чувашским	2141.0	-	90.0	4.0	42.0	1.0	-	2.0	-	2002.0	-
другими языками (не перечисленными выше)	3556.0	69.0	433.0	121.0	61.0	10.0	36.0	919.0	5.0	1899.0	3.0
