Республика Ингушетия										
	Численность лиц, владеющих соответствую-щим языком	в том числе								
		ингуши	чеченцы	русские	украинцы	кумыки	аварцы	армяне	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:										
азербайджанским	128.0	19.0	7.0	1.0	-	-	-	-	101.0	-
английским	11229.0	9123.0	1846.0	140.0	4.0	2.0	1.0	1.0	111.0	1.0
арабским	2574.0	2117.0	399.0	4.0	-	1.0	2.0	1.0	50.0	-
армянским	124.0	71.0	4.0	3.0	-	-	-	42.0	4.0	-
грузинским	402.0	89.0	30.0	3.0	-	-	-	-	280.0	-
дунганским	669.0	639.0	5.0	2.0	-	2.0	-	-	21.0	-
ингушским	358466.0	350241.0	5242.0	505.0	26.0	46.0	35.0	23.0	2299.0	49.0
испанским	152.0	136.0	12.0	4.0	-	-	-	-	-	-
ительменским	149.0	145.0	1.0	1.0	-	-	-	-	2.0	-
казахским	1016.0	705.0	244.0	14.0	1.0	-	-	-	52.0	-
коми	115.0	112.0	1.0	-	-	-	-	-	2.0	-
кумыкским	195.0	73.0	23.0	1.0	-	93.0	1.0	-	4.0	-
молдавским	211.0	187.0	8.0	3.0	1.0	-	-	-	12.0	-
немецким	4061.0	3308.0	561.0	85.0	4.0	1.0	1.0	-	101.0	-
осетинским	537.0	423.0	8.0	8.0	-	-	1.0	-	97.0	-
татарским	233.0	55.0	54.0	7.0	-	-	-	-	117.0	-
турецким	1006.0	75.0	33.0	5.0	-	-	-	-	893.0	-
узбекским	102.0	21.0	7.0	1.0	-	-	-	-	73.0	-
украинским	259.0	55.0	79.0	12.0	109.0	-	-	-	4.0	-
французским	1144.0	966.0	154.0	12.0	-	-	-	2.0	10.0	-
чеченским	96361.0	3703.0	91956.0	93.0	42.0	39.0	13.0	6.0	497.0	12.0
другими языками (не перечисленными выше)	1766.0	970.0	258.0	25.0	2.0	3.0	66.0	-	440.0	2.0
