Республика Калмыкия										
	Численность лиц, владеющих соответствую-щим языком	в том числе								
		калмыки	русские	даргинцы	чеченцы	казахи	украинцы	немцы	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:										
аварским	1979.0	3.0	2.0	17.0	8.0	-	-	-	1949.0	-
азербайджанским	966.0	23.0	34.0	6.0	-	2.0	-	-	901.0	-
английским	13519.0	9799.0	2970.0	38.0	115.0	125.0	72.0	37.0	362.0	1.0
андийским	338.0	-	1.0	-	-	-	-	-	337.0	-
армянским	773.0	7.0	19.0	-	-	-	2.0	-	745.0	-
белорусским	390.0	3.0	24.0	-	-	-	8.0	-	355.0	-
грузинским	539.0	10.0	36.0	-	-	1.0	2.0	1.0	489.0	-
даргинским	7188.0	23.0	6.0	7100.0	10.0	-	-	-	49.0	-
ингушским	144.0	1.0	2.0	-	26.0	1.0	-	-	114.0	-
кабардино-черкесским	148.0	47.0	4.0	1.0	2.0	-	1.0	-	93.0	-
казахским	4600.0	156.0	26.0	-	38.0	4207.0	3.0	4.0	166.0	-
калмыцким	143102.0	141565.0	814.0	37.0	44.0	212.0	28.0	17.0	380.0	5.0
карачаево-балкарским	116.0	1.0	1.0	-	1.0	2.0	1.0	-	110.0	-
корейским	539.0	7.0	3.0	-	-	-	-	-	529.0	-
кумыкским	688.0	15.0	6.0	34.0	15.0	1.0	-	1.0	616.0	-
курдским	191.0	2.0	2.0	-	-	-	-	-	187.0	-
лезгинским	454.0	11.0	1.0	2.0	1.0	-	-	-	439.0	-
молдавским	122.0	13.0	12.0	-	-	-	9.0	-	88.0	-
монгольским	130.0	92.0	2.0	-	-	1.0	-	-	35.0	-
немецким	5983.0	3543.0	1570.0	9.0	57.0	48.0	47.0	554.0	155.0	-
осетинским	166.0	2.0	4.0	-	-	-	1.0	1.0	158.0	-
рутульским	618.0	-	-	1.0	-	-	-	-	617.0	-
татарским	806.0	35.0	13.0	-	3.0	17.0	2.0	1.0	735.0	-
турецким	3339.0	4.0	8.0	1.0	3.0	1.0	-	1.0	3321.0	-
узбекским	1115.0	13.0	45.0	-	-	2.0	2.0	-	1053.0	-
украинским	1608.0	33.0	263.0	-	-	1.0	1256.0	4.0	51.0	-
французским	442.0	263.0	125.0	3.0	10.0	3.0	6.0	1.0	31.0	-
цахурским	115.0	-	-	-	-	-	-	-	115.0	-
цыганским	331.0	1.0	6.0	-	-	-	-	-	324.0	-
чеченским	5823.0	16.0	27.0	5.0	5689.0	-	4.0	1.0	81.0	-
чувашским	107.0	1.0	3.0	-	2.0	-	-	-	101.0	-
другими языками (не перечисленными выше)	1937.0	447.0	195.0	20.0	44.0	16.0	29.0	1.0	1185.0	-
