Карачаево-Черкесская Республика									
	Численность лиц, владеющих соответствую-щим языком	в том числе							
		карачаевцы	черкесы	русские	абазины	ногайцы	украинцы	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:									
абазинским	33678.0	330.0	2111.0	119.0	30610.0	97.0	10.0	401.0	-
абхазским	411.0	4.0	12.0	1.0	74.0	-	-	320.0	-
аварским	105.0	1.0	3.0	1.0	1.0	2.0	1.0	96.0	-
адыгейским	345.0	7.0	71.0	3.0	25.0	-	1.0	238.0	-
азербайджанским	1313.0	66.0	12.0	100.0	12.0	18.0	2.0	1103.0	-
английским	11253.0	4930.0	945.0	3730.0	658.0	257.0	96.0	637.0	-
арабским	336.0	217.0	30.0	9.0	23.0	20.0	-	37.0	-
армянским	2694.0	16.0	8.0	58.0	12.0	1.0	5.0	2594.0	-
башкирским	103.0	5.0	-	4.0	1.0	-	-	93.0	-
белорусским	402.0	4.0	-	53.0	1.0	2.0	4.0	338.0	-
греческим	1228.0	36.0	14.0	71.0	9.0	6.0	6.0	1086.0	-
грузинским	721.0	16.0	18.0	92.0	14.0	2.0	10.0	569.0	-
даргинским	172.0	7.0	-	-	-	-	-	165.0	-
ингушским	189.0	2.0	1.0	3.0	-	2.0	-	181.0	-
испанским	218.0	77.0	18.0	92.0	15.0	2.0	1.0	13.0	-
кабардино-черкесским	58829.0	435.0	47882.0	293.0	8450.0	438.0	21.0	1310.0	-
казахским	907.0	653.0	6.0	31.0	4.0	22.0	2.0	189.0	-
карачаево-балкарским	171536.0	165882.0	551.0	950.0	709.0	749.0	35.0	2660.0	-
киргизским	307.0	280.0	1.0	7.0	-	5.0	-	14.0	-
кумыкским	229.0	25.0	-	5.0	-	11.0	-	188.0	-
лакским	191.0	3.0	-	-	-	2.0	-	186.0	-
лезгинским	386.0	4.0	-	2.0	-	1.0	-	379.0	-
молдавским	105.0	1.0	1.0	11.0	-	-	5.0	87.0	-
немецким	4929.0	2081.0	397.0	1555.0	269.0	106.0	60.0	461.0	-
ногайским	15593.0	322.0	374.0	123.0	111.0	14226.0	3.0	434.0	-
осетинским	3253.0	79.0	32.0	62.0	19.0	3.0	3.0	3055.0	-
польским	114.0	8.0	1.0	33.0	-	1.0	20.0	51.0	-
таджикским	219.0	11.0	10.0	13.0	19.0	1.0	1.0	164.0	-
татарским	1726.0	130.0	11.0	22.0	6.0	48.0	3.0	1506.0	-
турецким	1043.0	259.0	27.0	30.0	29.0	33.0	1.0	664.0	-
туркменским	159.0	6.0	-	7.0	4.0	6.0	-	136.0	-
узбекским	545.0	205.0	16.0	35.0	13.0	6.0	-	270.0	-
украинским	2725.0	39.0	16.0	599.0	10.0	2.0	1983.0	76.0	-
французским	948.0	368.0	117.0	311.0	57.0	24.0	7.0	64.0	-
цыганским	757.0	2.0	-	12.0	-	1.0	1.0	741.0	-
чеченским	1743.0	34.0	12.0	12.0	7.0	6.0	3.0	1669.0	-
другими языками (не перечисленными выше)	1198.0	208.0	30.0	167.0	31.0	14.0	12.0	736.0	-
