Республика Карелия									
	Численность лиц, владеющих соответствую-щим языком	в том числе							
		карелы	русские	белорусы	украинцы	финны	вепсы	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:									
азербайджанским	1788.0	3.0	87.0	1.0	5.0	-	-	1691.0	1.0
английским	49078.0	3202.0	40851.0	1028.0	1210.0	1161.0	335.0	1279.0	12.0
армянским	1342.0	-	62.0	1.0	2.0	1.0	-	1276.0	-
башкирским	200.0	-	7.0	1.0	-	-	-	192.0	-
белорусским	8553.0	22.0	637.0	7468.0	117.0	1.0	-	308.0	-
болгарским	119.0	-	42.0	1.0	8.0	-	2.0	66.0	-
вепсским	2295.0	46.0	359.0	5.0	3.0	21.0	1849.0	12.0	-
грузинским	674.0	2.0	88.0	1.0	7.0	-	-	576.0	-
даргинским	154.0	-	2.0	-	-	-	-	152.0	-
испанским	186.0	6.0	148.0	5.0	12.0	4.0	-	11.0	-
итальянским	133.0	6.0	108.0	4.0	2.0	2.0	2.0	9.0	-
казахским	201.0	-	72.0	2.0	6.0	2.0	-	119.0	-
карельским	35086.0	31794.0	2470.0	177.0	105.0	404.0	58.0	72.0	6.0
коми	133.0	-	15.0	1.0	2.0	2.0	-	113.0	-
латышским	304.0	3.0	171.0	12.0	4.0	3.0	-	111.0	-
лезгинским	108.0	-	1.0	-	-	-	-	107.0	-
литовским	629.0	9.0	191.0	23.0	9.0	-	-	397.0	-
лугово-восточным марийским (марийским)	116.0	1.0	4.0	-	-	-	-	111.0	-
молдавским	520.0	4.0	78.0	2.0	66.0	-	-	369.0	1.0
мордовским, мокша-мордовским, эрзя-мордовским	306.0	-	33.0	2.0	-	-	-	271.0	-
немецким	12306.0	465.0	9969.0	517.0	441.0	232.0	69.0	611.0	2.0
польским	1351.0	16.0	241.0	421.0	151.0	4.0	-	518.0	-
румынским	129.0	-	19.0	-	14.0	-	-	95.0	1.0
таджикским	228.0	-	28.0	-	-	-	-	200.0	-
талышским	115.0	-	1.0	-	-	1.0	-	113.0	-
татарским	1251.0	6.0	62.0	5.0	2.0	1.0	1.0	1174.0	-
турецким	178.0	2.0	26.0	-	-	-	-	150.0	-
узбекским	386.0	2.0	97.0	-	8.0	1.0	-	278.0	-
украинским	11361.0	63.0	2667.0	349.0	7981.0	10.0	6.0	281.0	4.0
финским	22813.0	9197.0	6958.0	252.0	173.0	5770.0	227.0	228.0	8.0
французским	2361.0	84.0	1962.0	71.0	96.0	38.0	13.0	97.0	-
цыганским	926.0	7.0	93.0	3.0	3.0	1.0	1.0	818.0	-
чеченским	362.0	1.0	12.0	-	1.0	-	-	348.0	-
чувашским	618.0	2.0	28.0	-	-	1.0	-	587.0	-
шведским	384.0	26.0	291.0	5.0	4.0	41.0	4.0	12.0	1.0
эстонским	564.0	54.0	131.0	7.0	1.0	292.0	1.0	77.0	1.0
другими языками (не перечисленными выше)	1675.0	36.0	501.0	18.0	51.0	20.0	10.0	1038.0	1.0
