8. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И СОСТОЯНИЮ В БРАКЕ																
																
																
	Мужчины	в том числе							Женщины	в том числе						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошед-шиеся	не указавшие состояние в браке		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошед-шиеся	не указавшие состояние в браке
			в зарегистри-рованном браке	в незарегистри-рованном браке							в зарегистри-рованном браке	в незарегистри-рованном браке				
Все население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке																
Русские	42873508.0	26716300.0	24098961.0	2617339.0	10919032.0	1576370.0	3486915.0	174891.0	52524396.0	27332456.0	24655869.0	2676587.0	9187295.0	9726966.0	6105052.0	172627.0
в том числе в возрасте, лет:																
до 16	795.0	651.0	432.0	219.0		63.0	81.0		2139.0	1924.0	648.0	1276.0		98.0	117.0	
16-17	2055785.0	8092.0	3559.0	4533.0	2015392.0	376.0	889.0	31036.0	2002502.0	43228.0	20116.0	23112.0	1931408.0	476.0	1421.0	25969.0
18-19	2145185.0	56913.0	35958.0	20955.0	2073528.0	396.0	2059.0	12289.0	2071951.0	259325.0	174813.0	84512.0	1793036.0	991.0	8458.0	10141.0
20-24	4668428.0	1148555.0	899213.0	249342.0	3434020.0	1878.0	61769.0	22206.0	4614762.0	1975049.0	1599585.0	375464.0	2432885.0	14117.0	174910.0	17801.0
25-29	4251665.0	2485729.0	2098215.0	387514.0	1463538.0	5717.0	279080.0	17601.0	4279988.0	2802273.0	2400503.0	401770.0	936400.0	45325.0	481973.0	14017.0
30-34	3789012.0	2681789.0	2330181.0	351608.0	632635.0	12607.0	445257.0	16724.0	3859698.0	2705172.0	2377669.0	327503.0	421331.0	82476.0	637844.0	12875.0
35-39	3748352.0	2834453.0	2523872.0	310581.0	375813.0	24008.0	500730.0	13348.0	3969378.0	2844165.0	2574175.0	269990.0	271668.0	142448.0	700201.0	10896.0
40-44	4660267.0	3642292.0	3303134.0	339158.0	334502.0	53408.0	615469.0	14596.0	5069533.0	3625543.0	3331248.0	294295.0	258684.0	279209.0	893731.0	12366.0
45-49	4361967.0	3472226.0	3181438.0	290788.0	240869.0	80271.0	557050.0	11551.0	4962783.0	3445759.0	3179218.0	266541.0	225353.0	423378.0	856684.0	11609.0
50-54	3776550.0	3050148.0	2822119.0	228029.0	156050.0	118639.0	441966.0	9747.0	4512366.0	2952544.0	2736450.0	216094.0	193395.0	610176.0	745123.0	11128.0
55-59	1931397.0	1571541.0	1465002.0	106539.0	60882.0	93397.0	199772.0	5805.0	2494919.0	1491217.0	1392393.0	98824.0	99220.0	507251.0	390243.0	6988.0
60-64	2619697.0	2119191.0	1981702.0	137489.0	65080.0	230358.0	199229.0	5839.0	3942131.0	2039963.0	1912818.0	127145.0	128935.0	1280946.0	483491.0	8796.0
