9. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ПОЛУ И СОСТОЯНИЮ В БРАКЕ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																
																
																
	Мужчины в возрасте 16 лет и более, включая мужчин до 16 лет, указавших состояние в браке	в том числе							Женщины в возрасте 16 лет и более, включая женщин до 16 лет, указавших состояние в браке	в том числе						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошед-шиеся	не указавшие состояние в браке		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошед-шиеся	не указавшие состояние в браке
			в зарегистри-рованном браке	в незарегистри-рованном браке							в зарегистри-рованном браке	в незарегистри-рованном браке				
Центральный федеральный округ																
Белгородская область																
Все население	558388.0	372379.0	350028.0	22351.0	120533.0	20476.0	41399.0	3601.0	688347.0	374285.0	351942.0	22343.0	110154.0	129600.0	70573.0	3735.0
Русские	515149.0	340823.0	320952.0	19871.0	114472.0	19048.0	38785.0	2021.0	637570.0	342780.0	322861.0	19919.0	105240.0	121813.0	65826.0	1911.0
Украинцы	22854.0	17788.0	16586.0	1202.0	2448.0	935.0	1619.0	64.0	31122.0	19878.0	18452.0	1426.0	2394.0	5586.0	3206.0	58.0
Городское население	365644.0	240403.0	227817.0	12586.0	83538.0	11243.0	27627.0	2833.0	448466.0	242598.0	230056.0	12542.0	79471.0	68821.0	54499.0	3077.0
Русские	337917.0	220341.0	208971.0	11370.0	79979.0	10322.0	25923.0	1352.0	417054.0	224237.0	212654.0	11583.0	76361.0	63990.0	51126.0	1340.0
Украинцы	14620.0	11545.0	11003.0	542.0	1386.0	614.0	1049.0	26.0	19066.0	11791.0	11242.0	549.0	1483.0	3466.0	2293.0	33.0
Сельское население	192744.0	131976.0	122211.0	9765.0	36995.0	9233.0	13772.0	768.0	239881.0	131687.0	121886.0	9801.0	30683.0	60779.0	16074.0	658.0
Русские	177232.0	120482.0	111981.0	8501.0	34493.0	8726.0	12862.0	669.0	220516.0	118543.0	110207.0	8336.0	28879.0	57823.0	14700.0	571.0
Украинцы	8234.0	6243.0	5583.0	660.0	1062.0	321.0	570.0	38.0	12056.0	8087.0	7210.0	877.0	911.0	2120.0	913.0	25.0
Брянская область																
Все население	502858.0	323637.0	300988.0	22649.0	114652.0	19804.0	43441.0	1324.0	629016.0	325371.0	302787.0	22584.0	101435.0	134038.0	66857.0	1315.0
Русские	481481.0	307734.0	286727.0	21007.0	111755.0	18937.0	42140.0	915.0	606154.0	311360.0	290057.0	21303.0	99302.0	129938.0	64737.0	817.0
Украинцы	8677.0	6964.0	6445.0	519.0	718.0	439.0	539.0	17.0	10411.0	6598.0	6151.0	447.0	673.0	2122.0	1003.0	15.0
Белорусы	3066.0	2437.0	2267.0	170.0	279.0	138.0	212.0	-	4330.0	2657.0	2492.0	165.0	297.0	945.0	427.0	4.0
