10. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И УРОВНЮ ОБРАЗОВАНИЯ												
												
												
	Численность населения соответ-ствующей националь-ности	в том числе имеют образование								Не имеют начального общего образования	из них негра-мотные	Не указавшие уровень образования
		профессиональное					общее					
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
Все население в возрасте 15 лет и более												
Русские	97439372.0	302502.0	15892936.0	3082408.0	27448660.0	12422860.0	16435250.0	13381962.0	7383969.0	823799.0	422874.0	265026.0
в том числе в возрасте, лет:												
15-17	6130506.0	-	-	9075.0	65005.0	107914.0	1340225.0	4074792.0	477487.0	23007.0	14494.0	33001.0
18-19	4217136.0	-	1889.0	320944.0	614251.0	427792.0	2165486.0	611064.0	53852.0	12604.0	9237.0	9254.0
20-24	9283190.0	16433.0	1118119.0	1214127.0	2642296.0	1306857.0	1999721.0	831121.0	106601.0	26252.0	19387.0	21663.0
25-29	8531653.0	38181.0	1873333.0	369308.0	2810149.0	1291127.0	1356782.0	680753.0	67925.0	21991.0	16141.0	22104.0
30-34	7648710.0	30260.0	1699537.0	254318.0	2971597.0	1179821.0	1086228.0	345047.0	41420.0	17712.0	13071.0	22770.0
35-39	7717730.0	27995.0	1784039.0	192264.0	3011068.0	1206653.0	1152901.0	266520.0	37670.0	17254.0	12795.0	21366.0
40-44	9729800.0	34150.0	2116129.0	184287.0	3657323.0	1601252.0	1658996.0	375698.0	56291.0	19570.0	14187.0	26104.0
45-49	9324750.0	33515.0	1933165.0	143185.0	3340429.0	1581083.0	1611881.0	549168.0	89893.0	18380.0	12884.0	24051.0
50-54	8288916.0	31649.0	1684796.0	120106.0	2855460.0	1269506.0	1417838.0	736073.0	135680.0	16124.0	10810.0	21684.0
55-59	4426316.0	21776.0	993899.0	70522.0	1353079.0	595923.0	666426.0	519433.0	181749.0	10217.0	6239.0	13292.0
60-64	6561828.0	26055.0	1081014.0	69966.0	1617117.0	725036.0	849941.0	1313928.0	833739.0	30081.0	15368.0	14951.0
65-69	5181943.0	18511.0	724030.0	44759.0	1096979.0	480807.0	460690.0	1054860.0	1223544.0	66436.0	30010.0	11327.0
70 и более	10396894.0	23977.0	882986.0	89547.0	1413907.0	649089.0	668135.0	2023505.0	4078118.0	544171.0	248251.0	23459.0
Возраст не указан	27817.0	81.0	2822.0	620.0	3958.0	1258.0	3075.0	1618.0	1064.0	389.0	129.0	12932.0
Татары	4625799.0	9452.0	579921.0	125919.0	1232685.0	676523.0	852220.0	684356.0	404349.0	56582.0	38505.0	3792.0
в том числе в возрасте, лет:												
15-17	304234.0	-	-	144.0	3375.0	4917.0	66012.0	208654.0	19853.0	849.0	641.0	430.0
18-19	190135.0	-	32.0	14499.0	28886.0	20277.0	101623.0	22902.0	1309.0	485.0	387.0	122.0
20-24	396004.0	565.0	45203.0	51877.0	119785.0	62154.0	84708.0	27616.0	2723.0	1073.0	870.0	300.0
25-29	363865.0	1364.0	71281.0	15400.0	123221.0	64607.0	60955.0	23712.0	2133.0	895.0	753.0	297.0
30-34	364903.0	1025.0	64204.0	9792.0	142726.0	70164.0	59317.0	14515.0	1863.0	978.0	827.0	319.0
35-39	461417.0	1038.0	76449.0	8760.0	180079.0	90398.0	85736.0	15329.0	2128.0	1148.0	982.0	352.0
40-44	566468.0	1233.0	90071.0	7941.0	208125.0	111457.0	120010.0	22723.0	3174.0	1268.0	1050.0	466.0
45-49	470606.0	1119.0	75587.0	5552.0	160626.0	91771.0	98023.0	31928.0	4558.0	1061.0	859.0	381.0
50-54	347197.0	947.0	55966.0	3857.0	107629.0	60191.0	69074.0	41234.0	7201.0	812.0	632.0	286.0
55-59	171214.0	521.0	28141.0	1938.0	44098.0	25862.0	28255.0	30753.0	10894.0	597.0	430.0	155.0
60-64	292101.0	694.0	31117.0	2084.0	49429.0	32913.0	35635.0	83431.0	54240.0	2391.0	1446.0	167.0
65-69	246030.0	425.0	20059.0	1327.0	30387.0	20595.0	20325.0	66076.0	80969.0	5700.0	3476.0	167.0
70 и более	451625.0	521.0	21811.0	2748.0	34319.0	21217.0	22547.0	95483.0	213304.0	39325.0	26152.0	350.0
Возраст не указан	857.0	3.0	88.0	18.0	135.0	67.0	125.0	85.0	66.0	20.0	11.0	250.0
Украинцы	2776098.0	11845.0	543477.0	67665.0	855426.0	345852.0	421032.0	291830.0	209768.0	23388.0	10469.0	5815.0
в том числе в возрасте, лет:												
15-17	62077.0	-	-	84.0	680.0	970.0	13500.0	41313.0	4963.0	249.0	158.0	318.0
18-19	42420.0	-	21.0	3535.0	5463.0	3755.0	22995.0	5891.0	531.0	132.0	92.0	97.0
20-24	134074.0	254.0	16480.0	16113.0	35697.0	17119.0	33664.0	12606.0	1436.0	331.0	234.0	374.0
25-29	183954.0	772.0	38293.0	8315.0	62160.0	25742.0	33799.0	12955.0	1097.0	307.0	201.0	514.0
30-34	231346.0	1064.0	52187.0	7862.0	94267.0	31892.0	33802.0	8469.0	875.0	310.0	196.0	618.0
35-39	270424.0	1185.0	67661.0	6797.0	111040.0	36896.0	38277.0	6839.0	876.0	261.0	148.0	592.0
40-44	323729.0	1417.0	76986.0	6325.0	128311.0	48568.0	50953.0	8980.0	1183.0	329.0	198.0	677.0
45-49	291765.0	1245.0	66826.0	4585.0	110343.0	46598.0	47253.0	12306.0	1792.0	250.0	129.0	567.0
50-54	280131.0	1312.0	62167.0	4116.0	100185.0	42456.0	46720.0	19194.0	3228.0	243.0	146.0	510.0
55-59	177698.0	1074.0	40991.0	2456.0	53451.0	24063.0	27769.0	20487.0	6812.0	249.0	122.0	346.0
60-64	252493.0	1383.0	50601.0	2664.0	62878.0	29118.0	32608.0	45639.0	26333.0	886.0	372.0	383.0
65-69	176379.0	959.0	32019.0	1488.0	38960.0	16820.0	15718.0	31386.0	36281.0	2460.0	1086.0	288.0
70 и более	349608.0	1180.0	39245.0	3325.0	51991.0	21855.0	23974.0	65765.0	124361.0	17381.0	7387.0	531.0
Возраст не указан	548.0	3.0	73.0	16.0	140.0	59.0	107.0	35.0	27.0	8.0	3.0	80.0
Башкиры	1330273.0	2056.0	124249.0	28647.0	328913.0	274831.0	214166.0	205741.0	132717.0	18569.0	13140.0	384.0
в том числе в возрасте, лет:												
15-17	104576.0	-	-	19.0	1170.0	1991.0	18734.0	73215.0	9079.0	328.0	265.0	40.0
18-19	60885.0	-	2.0	2759.0	8992.0	9325.0	29540.0	9562.0	489.0	207.0	184.0	9.0
20-24	123405.0	111.0	9956.0	11982.0	36966.0	27667.0	24727.0	10479.0	1112.0	371.0	334.0	34.0
25-29	109192.0	297.0	16102.0	3755.0	35125.0	28031.0	16809.0	7860.0	871.0	313.0	274.0	29.0
30-34	114875.0	249.0	14901.0	2423.0	42201.0	31771.0	17135.0	5164.0	641.0	344.0	308.0	46.0
35-39	144478.0	258.0	17373.0	2101.0	52960.0	40864.0	24177.0	5517.0	788.0	400.0	354.0	40.0
40-44	165145.0	306.0	19426.0	1785.0	56317.0	47739.0	29875.0	7949.0	1251.0	448.0	382.0	49.0
45-49	123567.0	221.0	15293.0	1133.0	38373.0	35381.0	21288.0	9794.0	1726.0	324.0	270.0	34.0
50-54	86715.0	178.0	11806.0	834.0	24271.0	21588.0	13577.0	11453.0	2707.0	262.0	201.0	39.0
55-59	40277.0	114.0	5431.0	426.0	9252.0	8219.0	4834.0	7957.0	3863.0	168.0	121.0	13.0
60-64	73955.0	143.0	6282.0	440.0	10383.0	10356.0	5905.0	20089.0	19540.0	803.0	455.0	14.0
65-69	66359.0	86.0	3843.0	292.0	6321.0	6369.0	3627.0	15944.0	27807.0	2056.0	1267.0	14.0
70 и более	116844.0	93.0	3834.0	698.0	6582.0	5530.0	3938.0	20758.0	62843.0	12545.0	8725.0	23.0
Возраст не указан	207.0	-	23.0	5.0	39.0	21.0	23.0	19.0	22.0	3.0	3.0	52.0
Чуваши	1384764.0	1709.0	137130.0	26919.0	345217.0	248369.0	256047.0	216872.0	135441.0	16417.0	9543.0	643.0
в том числе в возрасте, лет:												
15-17	81161.0	-	-	8.0	590.0	1158.0	17389.0	56186.0	5551.0	240.0	202.0	39.0
18-19	48516.0	-	3.0	2668.0	6983.0	6495.0	25671.0	6209.0	342.0	135.0	119.0	10.0
20-24	107227.0	90.0	10104.0	11186.0	30264.0	21751.0	23779.0	8806.0	832.0	359.0	307.0	56.0
25-29	109756.0	210.0	16129.0	3379.0	33848.0	25385.0	21283.0	8278.0	796.0	407.0	344.0	41.0
30-34	117794.0	193.0	15183.0	2138.0	42768.0	28828.0	21718.0	5888.0	647.0	359.0	315.0	72.0
35-39	148489.0	192.0	18953.0	1892.0	54604.0	35007.0	30723.0	5959.0	691.0	390.0	342.0	78.0
40-44	168843.0	241.0	20950.0	1683.0	57696.0	39912.0	38361.0	8590.0	945.0	367.0	311.0	98.0
