12. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
																			
	Численность населения соответст-вующей националь-ности	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения данной национальности указали			
			доход от трудовой деятельнос-ти (кроме работы в личном подсобном хозяйстве)	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государ-ственного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию		один источник средств к существо-ванию	два источника	три источника	четыре источника и более
Все население																			
Русские	115889107.0	148356868.0	51176584.0	13159869.0	2697258.0	26499011.0	3830605.0	12316018.0	757745.0	1652235.0	267920.0	178197.0	34173832.0	1647594.0	239251.0	84669239.0	29302853.0	1631385.0	46379.0
в том числе в возрасте, лет:																			
до 15	18421918.0	28187315.0	2348.0	181446.0	10964.0	353971.0	193392.0	9407764.0	-	286603.0	3050.0	11462.0	17687086.0	49229.0	41563.0	8967673.0	9027547.0	376109.0	9026.0
15-19	10347642.0	14333850.0	1434903.0	428877.0	1919787.0	268785.0	149288.0	1561010.0	39064.0	242059.0	6151.0	5233.0	8200673.0	78020.0	18768.0	6683560.0	3300884.0	329695.0	14735.0
20-29	17814843.0	20911609.0	12276277.0	1512914.0	757409.0	57269.0	301276.0	743961.0	181849.0	469196.0	43447.0	16471.0	4198268.0	353272.0	39241.0	14819196.0	2783304.0	167022.0	6080.0
30-49	34420990.0	40534928.0	27552194.0	5310410.0	8677.0	738426.0	1231018.0	481737.0	419498.0	413750.0	129007.0	67866.0	3301256.0	881089.0	75055.0	28396098.0	5717127.0	226816.0	5894.0
50-54	8288916.0	10351017.0	5933272.0	1387456.0	-	1448015.0	598240.0	37760.0	102455.0	55518.0	28367.0	16350.0	562167.0	181417.0	17466.0	6331060.0	1804092.0	133568.0	2730.0
55-59	4426316.0	6048347.0	2157981.0	681342.0	-	2684144.0	296492.0	12743.0	14773.0	25231.0	11423.0	8288.0	98929.0	57001.0	9034.0	2919355.0	1367006.0	128795.0	2126.0
60-64	6561828.0	8863425.0	1165072.0	1181526.0	-	6115783.0	266738.0	17925.0	-	37290.0	13138.0	15514.0	27531.0	22908.0	8651.0	4391276.0	2016418.0	142755.0	2728.0
65 и более	15578837.0	19106097.0	645115.0	2475000.0	-	14829591.0	793624.0	52552.0	-	122123.0	33279.0	36953.0	94248.0	23612.0	19388.0	12145593.0	3284344.0	126496.0	3016.0
возраст не указан	27817.0	20280.0	9422.0	898.0	421.0	3027.0	537.0	566.0	106.0	465.0	58.0	60.0	3674.0	1046.0	10085.0	15428.0	2131.0	129.0	44.0
Татары	5554601.0	7193116.0	2476262.0	947416.0	118348.0	1164303.0	171433.0	480199.0	30502.0	61094.0	11404.0	4594.0	1657715.0	69846.0	3301.0	3994254.0	1474376.0	80657.0	2013.0
в том числе в возрасте, лет:																			
до 15	927945.0	1297320.0	36.0	16169.0	392.0	16380.0	9447.0	352909.0	-	8239.0	115.0	658.0	891149.0	1826.0	429.0	577194.0	331279.0	18606.0	437.0
15-19	494369.0	666445.0	60047.0	30399.0	89200.0	12217.0	6637.0	61531.0	1232.0	7571.0	241.0	191.0	394056.0	3123.0	243.0	339545.0	137511.0	16431.0	639.0
20-29	759869.0	911496.0	522593.0	98680.0	28435.0	2388.0	12359.0	34533.0	5738.0	17869.0	1658.0	487.0	172849.0	13907.0	537.0	615450.0	135870.0	7751.0	261.0
30-49	1863394.0	2294761.0	1506298.0	406582.0	299.0	30379.0	66906.0	27689.0	19137.0	19615.0	6343.0	1922.0	168214.0	41377.0	1261.0	1444228.0	403540.0	14037.0	328.0
50-54	347197.0	449521.0	251809.0	80055.0	-	55088.0	25805.0	1216.0	3877.0	2086.0	1097.0	345.0	21692.0	6451.0	241.0	250630.0	90182.0	6056.0	88.0
55-59	171214.0	241257.0	78752.0	41258.0	-	101612.0	12083.0	365.0	517.0	873.0	396.0	159.0	3505.0	1737.0	101.0	106590.0	58971.0	5485.0	67.0
60-64	292101.0	411594.0	38176.0	83320.0	-	274580.0	10899.0	523.0	-	1350.0	510.0	274.0	1278.0	684.0	97.0	179396.0	105722.0	6791.0	95.0
65 и более	697655.0	919905.0	18190.0	190890.0	-	671520.0	27275.0	1410.0	-	3479.0	1041.0	558.0	4821.0	721.0	235.0	480630.0	211200.0	5492.0	98.0
возраст не указан	857.0	817.0	361.0	63.0	22.0	139.0	22.0	23.0	1.0	12.0	3.0	-	151.0	20.0	157.0	591.0	101.0	8.0	-
Украинцы	2942961.0	3632279.0	1521028.0	357929.0	25812.0	965738.0	96873.0	109594.0	19668.0	30094.0	10038.0	5876.0	438257.0	51372.0	4797.0	2281918.0	619315.0	36068.0	863.0
в том числе в возрасте, лет:																			
до 15	166315.0	236875.0	40.0	1311.0	92.0	2498.0	1628.0	67940.0	-	1901.0	15.0	105.0	160942.0	403.0	402.0	97679.0	65560.0	2621.0	53.0
15-19	104497.0	138643.0	14339.0	3606.0	16678.0	2030.0	1269.0	13163.0	438.0	2667.0	95.0	45.0	83115.0	1198.0	195.0	72767.0	28851.0	2574.0	110.0
20-29	318028.0	363094.0	224671.0	23652.0	8756.0	797.0	3848.0	11203.0	3218.0	7859.0	1314.0	337.0	66686.0	10753.0	762.0	273929.0	40924.0	2338.0	75.0
30-49	1117264.0	1295425.0	908617.0	142757.0	280.0	41581.0	28315.0	13863.0	12430.0	11073.0	5183.0	2290.0	99506.0	29530.0	2078.0	942365.0	165609.0	7034.0	178.0
50-54	280131.0	357251.0	199814.0	43232.0	-	67516.0	16253.0	1016.0	3054.0	1306.0	1098.0	624.0	17840.0	5498.0	402.0	207130.0	67786.0	4713.0	100.0
55-59	177698.0	247236.0	86299.0	27094.0	-	115657.0	9986.0	433.0	525.0	690.0	545.0	379.0	3605.0	2023.0	229.0	113064.0	59129.0	5193.0	83.0
60-64	252493.0	348219.0	56538.0	42449.0	-	235167.0	8900.0	589.0	-	975.0	613.0	622.0	1395.0	971.0	239.0	163125.0	82434.0	6558.0	137.0
65 и более	525987.0	644967.0	30426.0	73802.0	-	500397.0	26663.0	1374.0	-	3613.0	1175.0	1472.0	5090.0	955.0	446.0	411415.0	108964.0	5037.0	125.0
возраст не указан	548.0	569.0	284.0	26.0	6.0	95.0	11.0	13.0	3.0	10.0	-	2.0	78.0	41.0	44.0	444.0	58.0	-	2.0
Башкиры	1673389.0	2453339.0	674056.0	471479.0	44253.0	317844.0	43157.0	261625.0	9854.0	19498.0	2984.0	1502.0	585698.0	21389.0	364.0	943693.0	680140.0	47440.0	1752.0
в том числе в возрасте, лет:																			
до 15	342909.0	555590.0	6.0	12186.0	175.0	10538.0	3732.0	202434.0	-	4353.0	21.0	337.0	321174.0	634.0	47.0	146835.0	179960.0	15441.0	626.0
15-19	165461.0	253429.0	18613.0	17945.0	35921.0	6898.0	2296.0	33253.0	509.0	2597.0	63.0	96.0	134256.0	982.0	20.0	90361.0	62845.0	11577.0	658.0
20-29	232597.0	302501.0	151088.0	52717.0	8055.0	1103.0	4200.0	13039.0	1963.0	4048.0	449.0	150.0	61349.0	4340.0	62.0	167140.0	60973.0	4275.0	147.0
30-49	548065.0	756893.0	419778.0	210870.0	98.0	9056.0	18332.0	11636.0	6207.0	6148.0	1596.0	553.0	59808.0	12811.0	150.0	346934.0	193190.0	7595.0	196.0
50-54	86715.0	126234.0	58714.0	35485.0	-	15895.0	5584.0	452.0	1033.0	671.0	253.0	97.0	6230.0	1820.0	30.0	49827.0	34213.0	2600.0	45.0
55-59	40277.0	62573.0	16261.0	16982.0	-	24862.0	2334.0	155.0	141.0	268.0	85.0	39.0	977.0	469.0	9.0	19817.0	18625.0	1799.0	27.0
60-64	73955.0	116872.0	6568.0	36248.0	-	70734.0	2057.0	195.0	-	394.0	135.0	75.0	308.0	158.0	8.0	33183.0	38636.0	2096.0	32.0
65 и более	183203.0	279026.0	2929.0	89021.0	-	178726.0	4619.0	450.0	-	1017.0	382.0	155.0	1555.0	172.0	13.0	89451.0	91663.0	2055.0	21.0
возраст не указан	207.0	221.0	99.0	25.0	4.0	32.0	3.0	11.0	1.0	2.0	-	-	41.0	3.0	25.0	145.0	35.0	2.0	-
Чуваши	1637094.0	2454928.0	751202.0	511106.0	33022.0	362697.0	52973.0	249848.0	10867.0	18131.0	3802.0	1524.0	442863.0	16893.0	562.0	871151.0	713917.0	49968.0	1496.0
в том числе в возрасте, лет:																			
до 15	252195.0	458302.0	3.0	12491.0	104.0	5170.0	2764.0	191081.0	-	2672.0	29.0	216.0	243493.0	279.0	50.0	62124.0	174297.0	15315.0	409.0
15-19	129677.0	211499.0	16735.0	19872.0	26362.0	3966.0	1905.0	35170.0	587.0	2176.0	71.0	74.0	104025.0	556.0	40.0	61582.0	54942.0	12445.0	668.0
20-29	216983.0	289354.0	150930.0	57521.0	6478.0	776.0	4290.0	12823.0	2579.0	4620.0	526.0	130.0	45189.0	3492.0	96.0	148644.0	64129.0	4007.0	107.0
30-49	572534.0	783613.0	467835.0	208381.0	69.0	9429.0	20906.0	9411.0	6255.0	5809.0	1933.0	582.0	42770.0	10233.0	245.0	367736.0	197930.0	6490.0	133.0
50-54	108752.0	157967.0	78368.0	42529.0	-	18928.0	8447.0	414.0	1285.0	699.0	309.0	130.0	5285.0	1573.0	41.0	62810.0	42589.0	3272.0	40.0
55-59	52030.0	81384.0	22783.0	21466.0	-	31198.0	3756.0	127.0	161.0	264.0	140.0	74.0	1003.0	412.0	15.0	25408.0	23884.0	2685.0	38.0
60-64	89562.0	141767.0	9962.0	42060.0	-	85273.0	3107.0	217.0	-	383.0	236.0	110.0	261.0	158.0	18.0	40572.0	45784.0	3127.0	61.0
65 и более	215226.0	330892.0	4529.0	106767.0	-	207932.0	7794.0	598.0	-	1505.0	558.0	208.0	812.0	189.0	40.0	102188.0	110332.0	2626.0	40.0
возраст не указан	135.0	150.0	57.0	19.0	9.0	25.0	4.0	7.0	-	3.0	-	-	25.0	1.0	17.0	87.0	30.0	1.0	-
Чеченцы	1360253.0	1656804.0	164090.0	118267.0	22819.0	119122.0	32279.0	450368.0	132914.0	16850.0	2936.0	1571.0	537683.0	57905.0	20827.0	1030230.0	301310.0	7654.0	232.0
в том числе в возрасте, лет:																			
до 15	460904.0	637667.0	19.0	488.0	30.0	6651.0	2909.0	378040.0	-	3095.0	32.0	303.0	245252.0	848.0	4008.0	278885.0	175273.0	2716.0	22.0
15-19	147582.0	182644.0	3255.0	4987.0	11253.0	2188.0	1571.0	52085.0	14487.0	1631.0	57.0	67.0	88408.0	2655.0	2370.0	109000.0	35048.0	1121.0	43.0
20-29	223718.0	246281.0	36006.0	25056.0	11160.0	993.0	3002.0	7175.0	45888.0	4015.0	501.0	219.0	98315.0	13951.0	5191.0	191697.0	25952.0	839.0	39.0
30-49	368116.0	407931.0	104711.0	67429.0	375.0	6938.0	14475.0	11280.0	66594.0	6858.0	1885.0	786.0	91759.0	34841.0	7727.0	314920.0	43511.0	1872.0	86.0
50-54	48917.0	55173.0	13365.0	9064.0	-	9588.0	4179.0	806.0	5249.0	725.0	277.0	100.0	7738.0	4082.0	864.0	41316.0	6377.0	345.0	15.0
55-59	18060.0	20617.0	3504.0	2603.0	-	8985.0	1607.0	231.0	634.0	198.0	76.0	41.0	1834.0	904.0	194.0	15255.0	2473.0	136.0	2.0
