14. НАСЕЛЕНИЕ ПО ГРАЖДАНСТВУ И ВОЗРАСТНЫМ ГРУППАМ					 								
													
													
 	Всего	в том числе в возрасте, лет								Возраст не указан	Из общей численности - население в возрасте		
		0-9	10-19	20-29	30-39	40-49	50-59	60-69	70 и более		моложе трудоспособного	трудоспособном	старше трудоспособного
Российская Федерация													
Все население	145166731.0	13340224.0	23207005.0	22079380.0	20052758.0	24152362.0	15418597.0	14327638.0	12468872.0	119895.0	26327283.0	88941569.0	29777984.0
в том числе:													
граждане России	142442404.0	13127253.0	22854919.0	21524599.0	19501683.0	23710335.0	15182036.0	14161092.0	12338451.0	42036.0	25917856.0	87043315.0	29439197.0
из них имеющие два гражданства	43648.0	3601.0	4876.0	9067.0	9745.0	7321.0	3700.0	2973.0	2349.0	16.0	6123.0	31544.0	5965.0
иностранные граждане	1025413.0	80221.0	124843.0	280301.0	261664.0	160014.0	57340.0	33896.0	26405.0	729.0	143822.0	812913.0	67949.0
из них имеющие гражданство:													
стран СНГ	906314.0	75508.0	114781.0	240260.0	224297.0	141727.0	51740.0	32174.0	25289.0	538.0	136552.0	704565.0	64659.0
Азербайджана	154911.0	20636.0	19025.0	35349.0	48142.0	23750.0	5205.0	1828.0	856.0	120.0	34338.0	117432.0	3021.0
Армении	136841.0	15943.0	22155.0	29496.0	31263.0	23179.0	8591.0	4234.0	1906.0	74.0	30978.0	98625.0	7164.0
Белоруссии	40330.0	1714.0	3755.0	9686.0	9099.0	7181.0	3198.0	2939.0	2735.0	23.0	3141.0	30932.0	6234.0
Грузии	52918.0	4006.0	6349.0	12233.0	13650.0	9674.0	3686.0	2022.0	1261.0	37.0	7708.0	41434.0	3739.0
Казахстана	69472.0	5613.0	16964.0	17839.0	10181.0	7793.0	4073.0	3852.0	3144.0	13.0	11003.0	50702.0	7754.0
Киргизии	28843.0	3316.0	4090.0	8867.0	6791.0	3324.0	1131.0	707.0	609.0	8.0	5256.0	22107.0	1472.0
Молдавии	50988.0	2374.0	4802.0	18488.0	13383.0	8209.0	2339.0	778.0	580.0	35.0	4187.0	45152.0	1614.0
Таджикистана	64165.0	4142.0	6375.0	27276.0	17042.0	6973.0	1626.0	443.0	228.0	60.0	6544.0	56784.0	777.0
Туркмении	6417.0	368.0	1564.0	1714.0	1101.0	753.0	422.0	314.0	173.0	8.0	771.0	5072.0	566.0
Узбекистана	70871.0	6013.0	9132.0	19579.0	16273.0	10716.0	4730.0	2851.0	1548.0	29.0	10681.0	54916.0	5245.0
Украины	230558.0	11383.0	20570.0	59733.0	57372.0	40175.0	16739.0	12206.0	12249.0	131.0	21945.0	181409.0	27073.0
других стран мира	119099.0	4713.0	10062.0	40041.0	37367.0	18287.0	5600.0	1722.0	1116.0	191.0	7270.0	108348.0	3290.0
Афганистана	8221.0	379.0	524.0	2631.0	2868.0	1296.0	436.0	54.0	17.0	16.0	673.0	7450.0	82.0
Болгарии	2262.0	106.0	254.0	236.0	426.0	606.0	471.0	120.0	43.0	-	248.0	1838.0	176.0
Вьетнама	22545.0	713.0	1163.0	6812.0	9792.0	3523.0	444.0	44.0	16.0	38.0	886.0	21541.0	80.0
Германии	1329.0	150.0	108.0	265.0	240.0	226.0	173.0	94.0	70.0	3.0	205.0	922.0	199.0
Греции	612.0	72.0	55.0	259.0	86.0	57.0	32.0	20.0	30.0	1.0	85.0	471.0	55.0
Израиля	1016.0	106.0	110.0	258.0	218.0	143.0	76.0	58.0	46.0	1.0	153.0	744.0	118.0
Индии	5351.0	87.0	775.0	2657.0	1140.0	509.0	157.0	14.0	7.0	5.0	104.0	5218.0	24.0
