15. НАСЕЛЕНИЕ ПО ГРАЖДАНСТВУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
 	Всего	в том числе в возрасте, лет								Возраст не указан	Из общей численности - население в возрасте		
		0-9	10-19	20-29	30-39	40-49	50-59	60-69	70 и более		моложе трудо-способного	трудоспособном	старше трудо-способного
Центральный федеральный округ													
Белгородская область													
Все население	1511620.0	131077.0	237904.0	210161.0	203357.0	251150.0	154910.0	164918.0	157619.0	524.0	264963.0	895232.0	350901.0
в том числе:													
граждане России	1486210.0	128414.0	233711.0	205434.0	199180.0	247358.0	152745.0	162946.0	156144.0	278.0	259901.0	878960.0	347071.0
из них имеющие два гражданства	587.0	30.0	79.0	128.0	107.0	97.0	64.0	47.0	35.0	-	58.0	436.0	93.0
иностранные граждане	12736.0	1176.0	2019.0	2695.0	2221.0	1886.0	1007.0	984.0	746.0	2.0	2246.0	8573.0	1915.0
из них имеющие гражданство:													
стран СНГ	12327.0	1161.0	1939.0	2553.0	2168.0	1828.0	969.0	967.0	740.0	2.0	2210.0	8224.0	1891.0
Азербайджана	624.0	107.0	121.0	100.0	163.0	93.0	14.0	13.0	13.0	-	193.0	405.0	26.0
Армении	1225.0	176.0	244.0	222.0	255.0	192.0	68.0	45.0	23.0	-	346.0	801.0	78.0
Белоруссии	214.0	21.0	27.0	29.0	36.0	31.0	13.0	31.0	26.0	-	31.0	124.0	59.0
Грузии	328.0	32.0	54.0	79.0	71.0	42.0	19.0	15.0	16.0	-	64.0	232.0	32.0
Казахстана	914.0	102.0	163.0	194.0	137.0	108.0	73.0	78.0	59.0	-	189.0	567.0	158.0
Киргизии	300.0	42.0	60.0	53.0	59.0	35.0	25.0	15.0	11.0	-	83.0	184.0	33.0
Молдавии	695.0	82.0	113.0	177.0	123.0	100.0	55.0	26.0	19.0	-	148.0	493.0	54.0
Таджикистана	165.0	7.0	26.0	58.0	24.0	26.0	12.0	5.0	7.0	-	19.0	133.0	13.0
Туркмении	203.0	6.0	105.0	56.0	8.0	9.0	5.0	8.0	6.0	-	10.0	179.0	14.0
Узбекистана	803.0	80.0	124.0	197.0	128.0	113.0	71.0	56.0	34.0	-	156.0	545.0	102.0
Украины	6856.0	506.0	902.0	1388.0	1164.0	1079.0	614.0	675.0	526.0	2.0	971.0	4561.0	1322.0
других стран мира	409.0	15.0	80.0	142.0	53.0	58.0	38.0	17.0	6.0	-	36.0	349.0	24.0
Афганистана	8.0	1.0	1.0	3.0	3.0	-	-	-	-	-	2.0	6.0	-
Болгарии	100.0	5.0	19.0	6.0	16.0	22.0	25.0	6.0	1.0	-	16.0	77.0	7.0
Вьетнама	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Германии	6.0	1.0	-	-	2.0	1.0	-	1.0	1.0	-	1.0	3.0	2.0
Греции	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Израиля	4.0	-	-	-	-	3.0	1.0	-	-	-	-	3.0	1.0
Индии	2.0	-	-	1.0	1.0	-	-	-	-	-	-	2.0	-
Китая	56.0	1.0	13.0	40.0	2.0	-	-	-	-	-	1.0	55.0	-
Латвии	14.0	1.0	4.0	3.0	3.0	2.0	-	1.0	-	-	5.0	8.0	1.0
Литвы	20.0	1.0	-	2.0	4.0	5.0	5.0	3.0	-	-	1.0	16.0	3.0
Сирии	3.0	-	-	3.0	-	-	-	-	-	-	-	3.0	-
США	1.0	1.0	-	-	-	-	-	-	-	-	1.0	-	-
Турции	4.0	-	1.0	-	2.0	1.0	-	-	-	-	1.0	3.0	-
Эстонии	2.0	-	-	-	1.0	-	-	-	1.0	-	-	1.0	1.0
без гражданства	6441.0	814.0	1300.0	1117.0	1018.0	881.0	515.0	442.0	351.0	3.0	1606.0	3943.0	889.0
гражданство не указано	6233.0	673.0	874.0	915.0	938.0	1025.0	643.0	546.0	378.0	241.0	1210.0	3756.0	1026.0
Брянская область													
Все население	1378941.0	122888.0	212636.0	189062.0	186921.0	223896.0	141987.0	145320.0	156111.0	120.0	247088.0	803692.0	328041.0
в том числе:													
граждане России	1367467.0	121541.0	210631.0	187134.0	184761.0	222181.0	141153.0	144530.0	155500.0	36.0	244474.0	796472.0	326485.0
из них имеющие два гражданства	230.0	15.0	31.0	39.0	36.0	41.0	30.0	19.0	19.0	-	34.0	149.0	47.0
иностранные граждане	5809.0	598.0	919.0	1102.0	1228.0	878.0	387.0	379.0	318.0	-	1155.0	3881.0	773.0
из них имеющие гражданство:													
стран СНГ	5658.0	579.0	899.0	1087.0	1184.0	849.0	376.0	372.0	312.0	-	1124.0	3775.0	759.0
Азербайджана	937.0	191.0	144.0	185.0	274.0	116.0	15.0	10.0	2.0	-	312.0	613.0	12.0
Армении	873.0	110.0	173.0	172.0	183.0	148.0	51.0	20.0	16.0	-	238.0	595.0	40.0
Белоруссии	738.0	43.0	153.0	123.0	107.0	110.0	69.0	72.0	61.0	-	91.0	497.0	150.0
Грузии	188.0	18.0	36.0	18.0	48.0	41.0	13.0	7.0	7.0	-	37.0	134.0	17.0
Казахстана	159.0	13.0	39.0	23.0	23.0	21.0	11.0	17.0	12.0	-	36.0	93.0	30.0
Киргизии	33.0	1.0	5.0	10.0	4.0	5.0	3.0	3.0	2.0	-	3.0	24.0	6.0
Молдавии	326.0	39.0	53.0	74.0	72.0	53.0	19.0	9.0	7.0	-	71.0	237.0	18.0
Таджикистана	85.0	5.0	10.0	27.0	29.0	10.0	-	3.0	1.0	-	11.0	70.0	4.0
Туркмении	31.0	2.0	6.0	7.0	7.0	2.0	2.0	4.0	1.0	-	7.0	19.0	5.0
Узбекистана	179.0	23.0	32.0	34.0	41.0	28.0	8.0	11.0	2.0	-	44.0	120.0	15.0
Украины	2109.0	134.0	248.0	414.0	396.0	315.0	185.0	216.0	201.0	-	274.0	1373.0	462.0
других стран мира	151.0	19.0	20.0	15.0	44.0	29.0	11.0	7.0	6.0	-	31.0	106.0	14.0
Афганистана	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Болгарии	5.0	1.0	1.0	-	-	3.0	-	-	-	-	2.0	3.0	-
Вьетнама	12.0	2.0	-	1.0	6.0	3.0	-	-	-	-	2.0	10.0	-
Германии	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Израиля	11.0	1.0	1.0	1.0	2.0	3.0	2.0	1.0	-	-	1.0	8.0	2.0
Китая	2.0	-	-	-	1.0	-	-	1.0	-	-	-	1.0	1.0
Латвии	26.0	2.0	5.0	2.0	8.0	3.0	3.0	1.0	2.0	-	5.0	18.0	3.0
Литвы	44.0	2.0	9.0	5.0	10.0	10.0	2.0	4.0	2.0	-	8.0	30.0	6.0
США	3.0	2.0	-	-	1.0	-	-	-	-	-	2.0	1.0	-
Турции	5.0	1.0	-	1.0	2.0	1.0	-	-	-	-	1.0	4.0	-
Эстонии	7.0	-	1.0	-	3.0	2.0	1.0	-	-	-	-	7.0	-
без гражданства	3123.0	427.0	708.0	470.0	565.0	446.0	203.0	181.0	123.0	-	901.0	1886.0	336.0
гражданство не указано	2542.0	322.0	378.0	356.0	367.0	391.0	244.0	230.0	170.0	84.0	558.0	1453.0	447.0
Владимирская область													
Все население	1523990.0	119399.0	225648.0	214417.0	199824.0	257744.0	170813.0	176943.0	157984.0	1218.0	244578.0	909176.0	369018.0
в том числе:													
граждане России	1499960.0	117233.0	222040.0	210211.0	195960.0	253910.0	168463.0	175055.0	156649.0	439.0	240295.0	893906.0	365320.0
из них имеющие два гражданства	355.0	19.0	44.0	67.0	91.0	64.0	34.0	20.0	16.0	-	45.0	271.0	39.0
иностранные граждане	5268.0	588.0	819.0	1175.0	1143.0	690.0	332.0	278.0	243.0	-	1076.0	3602.0	590.0
из них имеющие гражданство:													
стран СНГ	4907.0	565.0	785.0	1018.0	1065.0	653.0	316.0	273.0	232.0	-	1042.0	3293.0	572.0
Азербайджана	868.0	184.0	125.0	160.0	254.0	102.0	20.0	14.0	9.0	-	291.0	552.0	25.0
Армении	787.0	116.0	158.0	128.0	177.0	118.0	43.0	30.0	17.0	-	231.0	503.0	53.0
Белоруссии	257.0	17.0	21.0	49.0	36.0	49.0	29.0	30.0	26.0	-	27.0	162.0	68.0
Грузии	250.0	16.0	40.0	45.0	67.0	52.0	12.0	13.0	5.0	-	37.0	191.0	22.0
Казахстана	398.0	28.0	85.0	86.0	74.0	40.0	29.0	32.0	24.0	-	73.0	262.0	63.0
