3. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ТИПАМ, РАЗМЕРУ И ЧИСЛУ ДЕТЕЙ МОЛОЖЕ 18 ЛЕТ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Число частных домохозяйств	В них чис-ленность членов домохозяйств	Из общего числа домохозяйств – домохозяйства, состоящие из					Средний размер домохозяйства, человек
			2  человек	3 человек	4 человек	5 человек	6 и более человек	
								
Центральный федеральный округ								
Все домохозяйства	10783808.0	33829802.0	4046449.0	3355818.0	2240677.0	725533.0	415331.0	3.13709238889
из них домохозяйства, имеющие детей моложе 18 лет	5080552.0	18897872.0	546968.0	1851583.0	1712608.0	633592.0	335801.0	3.71964936094
в том числе домохозяйства:								
с 1 ребенком	3622108.0	12262357.0	540827.0	1725356.0	923479.0	331882.0	100564.0	3.38542003717
с 2 детьми	1266445.0	5494770.0	6141.0	123567.0	772855.0	221013.0	142869.0	4.33873559452
с 3 и более детьми	191999.0	1140745.0		2660.0	16274.0	80697.0	92368.0	5.94141115318
в них детей		642955.0		7980.0	49994.0	245120.0	339861.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	6987162.0	22386019.0	2012938.0	2442732.0	1872082.0	495661.0	163749.0	3.20387862769
из них домохозяйства, имеющие детей моложе 18 лет	3365378.0	12987774.0		1295206.0	1473494.0	444578.0	152100.0	3.85923186043
в том числе домохозяйства:								
с 1 ребенком	2301129.0	8167073.0		1295206.0	788657.0	184931.0	32335.0	3.54915913015
с 2 детьми	936010.0	4069119.0			684837.0	192418.0	58755.0	4.34730291343
с 3 и более детьми	128239.0	751582.0				67229.0	61010.0	5.86079117897
в них детей		424375.0				201687.0	222688.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	341615.0	1873676.0			47841.0	146278.0	147496.0	5.4847591587
из них домохозяйства, имеющие детей моложе 18 лет	261670.0	1511139.0				122192.0	139478.0	5.77497993656
в том числе домохозяйства:								
с 1 ребенком	178131.0	956566.0				122192.0	55939.0	5.37001420303
с 2 детьми	70545.0	448879.0					70545.0	6.36301651428
с 3 и более детьми	12994.0	105694.0					12994.0	8.13406187471
в них детей		43648.0					43648.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	8704.0	72991.0					8704.0	8.38591452206
из них домохозяйства, имеющие детей моложе 18 лет	7301.0	62832.0					7301.0	8.60594439118
в том числе домохозяйства:								
с 1 ребенком	2521.0	18964.0					2521.0	7.52241174137
с 2 детьми	2917.0	24384.0					2917.0	8.35927322592
с 3 и более детьми	1863.0	19484.0					1863.0	10.4584004294
в них детей		6959.0					6959.0	
Домохозяйства, состоящие из матери с детьми	1530264.0	3432364.0	1211045.0	278617.0	32498.0	5573.0	2531.0	2.24298813799
из них домохозяйства, имеющие детей моложе 18 лет	650143.0	1574439.0	423140.0	191303.0	28067.0	5178.0	2455.0	2.42168107632
в том числе домохозяйства:								
с 1 ребенком	518264.0	1140266.0	423140.0	87313.0	7156.0	534.0	121.0	2.20016439498
с 2 детьми	114636.0	356433.0		103990.0	9130.0	1230.0	286.0	3.10925887156
с 3 и более детьми	17243.0	77740.0			11781.0	3414.0	2048.0	4.50849620136
в них детей		56920.0			35343.0	12225.0	9352.0	
Домохозяйства, состоящие из отца с детьми	212198.0	465376.0	176681.0	31196.0	3537.0	549.0	235.0	2.19312151858
из них домохозяйства, имеющие детей моложе 18 лет	86831.0	201079.0	64031.0	19234.0	2849.0	498.0	219.0	2.31575128698
