8. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ, СОСТОЯЩИХ ИЗ ОДНОГО ЧЕЛОВЕКА, ПО ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ И ВОЗРАСТНЫМ ГРУППАМ				
				
	Всего	в том числе в возрасте		
		моложе трудоспособного	трудоспособном	старше трудоспособного
Городские и сельские населенные пункты				
Население частных домохозяйств, состоящих из одного человека	11741449.0	37991.0	4986788.0	6694359.0
из них указали один источник средств к существованию	9149612.0	18457.0	4035876.0	5092133.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	2941572.0	252.0	2860432.0	79225.0
личное подсобное хозяйство	110151.0	11.0	105991.0	4121.0
стипендию	30461.0	1053.0	29378.0	-
пенсию (кроме пенсии по инвалидности)	4960881.0	478.0	157991.0	4801635.0
пенсию по инвалидности	378442.0	97.0	180786.0	197459.0
пособие (кроме пособия по безработице)	10261.0	547.0	8213.0	1493.0
пособие по безработице	53054.0	-	53045.0	-
другой вид государственного обеспечения	6088.0	552.0	4761.0	765.0
сбережения	25744.0	9.0	25376.0	346.0
доход от сдачи внаем или в аренду имущества	4576.0	11.0	4382.0	178.0
на иждивении отдельных лиц	426378.0	15249.0	407618.0	3268.0
иной источник	202004.0	198.0	197903.0	3643.0
Указавшие два источника средств к существованию	2240140.0	14792.0	744368.0	1480594.0
Указавшие три и более источника средств к существованию	116677.0	2072.0	51281.0	63269.0
Городские населенные пункты				
Население частных домохозяйств, состоящих из одного человека	8768570.0	33555.0	4117213.0	4596658.0
из них указали один источник средств к существованию	7170796.0	16945.0	3401076.0	3750011.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	2578490.0	223.0	2504418.0	72332.0
личное подсобное хозяйство	23059.0	8.0	21815.0	1222.0
стипендию	27948.0	796.0	27124.0	-
пенсию (кроме пенсии по инвалидности)	3641239.0	385.0	131264.0	3508977.0
пенсию по инвалидности	290990.0	71.0	131072.0	159765.0
пособие (кроме пособия по безработице)	8353.0	416.0	6836.0	1093.0
пособие по безработице	41654.0	-	41645.0	-
другой вид государственного обеспечения	5161.0	487.0	4007.0	658.0
сбережения	23030.0	9.0	22709.0	300.0
доход от сдачи внаем или в аренду имущества	3742.0	10.0	3581.0	146.0
на иждивении отдельных лиц	390318.0	14363.0	372998.0	2723.0
иной источник	136812.0	177.0	133607.0	2795.0
Указавшие два источника средств к существованию	1290522.0	12491.0	524502.0	753249.0
Указавшие три и более источника средств к существованию	78319.0	1484.0	40121.0	36668.0
Сельские населенные пункты				
Население частных домохозяйств, состоящих из одного человека	2972879.0	4436.0	869575.0	2097701.0
из них указали один источник средств к существованию	1978816.0	1512.0	634800.0	1342122.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	363082.0	29.0	356014.0	6893.0
личное подсобное хозяйство	87092.0	3.0	84176.0	2899.0
стипендию	2513.0	257.0	2254.0	-
пенсию (кроме пенсии по инвалидности)	1319642.0	93.0	26727.0	1292658.0
пенсию по инвалидности	87452.0	26.0	49714.0	37694.0
пособие (кроме пособия по безработице)	1908.0	131.0	1377.0	400.0
пособие по безработице	11400.0	-	11400.0	-
другой вид государственного обеспечения	927.0	65.0	754.0	107.0
сбережения	2714.0	-	2667.0	46.0
доход от сдачи внаем или в аренду имущества	834.0	1.0	801.0	32.0
на иждивении отдельных лиц	36060.0	886.0	34620.0	545.0
иной источник	65192.0	21.0	64296.0	848.0
Указавшие два источника средств к существованию	949618.0	2301.0	219866.0	727345.0
Указавшие три и более источника средств к существованию	38358.0	588.0	11160.0	26601.0
