9. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ, СОСТОЯЩИХ ИЗ ОДНОГО ЧЕЛОВЕКА, ПО ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ				
				
	Всего	в том числе в возрасте		
		моложе трудоспособного	трудоспособном	старше трудоспособного
Центральный федеральный округ				
Население частных домохозяйств, состоящих из одного человека	3667179.0	11827.0	1520437.0	2126954.0
из них указали один источник средств к существованию	2919236.0	6100.0	1259131.0	1652782.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	982098.0	120.0	948891.0	32450.0
личное подсобное хозяйство	23862.0	4.0	22923.0	926.0
стипендию	9134.0	190.0	8926.0	-
пенсию (кроме пенсии по инвалидности)	1579685.0	205.0	41241.0	1537922.0
пенсию по инвалидности	131657.0	31.0	53543.0	78048.0
пособие (кроме пособия по безработице)	2942.0	225.0	2321.0	393.0
пособие по безработице	10916.0	-	10912.0	-
другой вид государственного обеспечения	1874.0	157.0	1441.0	271.0
сбережения	7420.0	6.0	7283.0	125.0
доход от сдачи внаем или в аренду имущества	1355.0	4.0	1300.0	51.0
на иждивении отдельных лиц	103599.0	5070.0	97488.0	979.0
иной источник	64694.0	88.0	62862.0	1617.0
Указавшие два источника средств к существованию	597970.0	3646.0	168981.0	425167.0
Указавшие три и более источника средств к существованию	29673.0	467.0	11869.0	17304.0
Белгородская область				
Население частных домохозяйств, состоящих из одного человека	130698.0	901.0	50918.0	78790.0
из них указали один источник средств к существованию	95318.0	338.0	39004.0	55949.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	21836.0	-	21335.0	486.0
личное подсобное хозяйство	1437.0	1.0	1392.0	44.0
стипендию	207.0	7.0	200.0	-
пенсию (кроме пенсии по инвалидности)	54169.0	8.0	1430.0	52722.0
пенсию по инвалидности	4872.0	2.0	2243.0	2625.0
пособие (кроме пособия по безработице)	113.0	4.0	89.0	20.0
пособие по безработице	270.0	-	269.0	-
другой вид государственного обеспечения	41.0	4.0	32.0	5.0
сбережения	266.0	-	266.0	-
доход от сдачи внаем или в аренду имущества	35.0	-	34.0	1.0
на иждивении отдельных лиц	10765.0	312.0	10428.0	25.0
иной источник	1307.0	-	1286.0	21.0
Указавшие два источника средств к существованию	33067.0	482.0	10650.0	21931.0
Указавшие три и более источника средств к существованию	1285.0	77.0	550.0	658.0
Брянская область				
Население частных домохозяйств, состоящих из одного человека	127797.0	247.0	44971.0	82569.0
из них указали один источник средств к существованию	95541.0	78.0	35398.0	60064.0
в том числе:				
