12. НАСЕЛЕНИЕ КОЛЛЕКТИВНЫХ ДОМОХОЗЯЙСТВ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ					
					
	Население, проживающее в коллективных домохозяйствах	в том числе проживающие в			
		стационарных учреждениях социального обслуживания	больницах для лиц, страдающих хроническими заболеваниями	детских домах, домах ребенка, школах-интернатах для детей-сирот и детей, оставшихся без попечения родителей	других учреждениях
					
Городское и сельское население	2270074.0	235940.0	86073.0	209303.0	1738758.0
в том числе в возрасте, лет:					
  0 – 3	26762.0	949.0	1913.0	20003.0	3897.0
  4 – 5	13975.0	1505.0	314.0	9807.0	2349.0
  6 – 9	41781.0	4853.0	618.0	30893.0	5417.0
10 – 14 	126872.0	12624.0	1247.0	98492.0	14509.0
15 – 17 	97665.0	7208.0	890.0	40786.0	48781.0
18 – 24	1035831.0	14943.0	5796.0	5469.0	1009623.0
25 – 34 	383190.0	18616.0	11109.0	855.0	352610.0
35 – 44 	222635.0	20811.0	15290.0	599.0	185935.0
45 – 54	134152.0	28764.0	19217.0	650.0	85521.0
55 – 64	64649.0	32715.0	12614.0	513.0	18807.0
65 и более	120508.0	92748.0	16589.0	1084.0	10087.0
возраст не указан	2054.0	204.0	476.0	152.0	1222.0
Мужчины	1936400.0	117415.0	51943.0	120304.0	1646738.0
в том числе в возрасте, лет:					
  0 – 3	14967.0	541.0	1066.0	11375.0	1985.0
  4 – 5	8039.0	847.0	168.0	5806.0	1218.0
  6 – 9	23922.0	2832.0	341.0	17842.0	2907.0
10 – 14 	75897.0	7647.0	775.0	57712.0	9763.0
15 – 17 	72559.0	4319.0	614.0	22665.0	44961.0
18 – 24	1007090.0	8833.0	3919.0	2994.0	991344.0
25 – 34 	347381.0	10967.0	7716.0	463.0	328235.0
35 – 44 	192154.0	12339.0	10716.0	323.0	168776.0
45 – 54	106186.0	17193.0	12994.0	373.0	75626.0
55 – 64	42824.0	19543.0	7577.0	291.0	15413.0
65 и более	43892.0	32261.0	5740.0	362.0	5529.0
возраст не указан	1489.0	93.0	317.0	98.0	981.0
Женщины	333674.0	118525.0	34130.0	88999.0	92020.0
в том числе в возрасте, лет:					
