13. НАСЕЛЕНИЕ КОЛЛЕКТИВНЫХ ДОМОХОЗЯЙСТВ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ					
					
	Население, проживающее в коллективных домохозяйствах	в том числе проживающие в			
		стационарных учреждениях социального обслуживания	больницах для лиц, страдающих хроническими заболеваниями	детских домах, домах ребенка, школах-интернатах для детей-сирот и детей, оставшихся без попечения родителей	других учреждениях
					
Центральный федеральный округ					
Все население	472634.0	60002.0	25874.0	40110.0	346648.0
в том числе в возрасте, лет:					
  0 – 3	6051.0	292.0	311.0	4123.0	1325.0
  4 – 5	3116.0	351.0	64.0	1918.0	783.0
  6 – 9	8762.0	1005.0	143.0	6035.0	1579.0
10 – 14 	24784.0	2462.0	310.0	18407.0	3605.0
15 – 17 	22865.0	1494.0	218.0	7946.0	13207.0
18 – 24	221790.0	3828.0	1772.0	767.0	215423.0
25 – 34 	61260.0	4617.0	3112.0	176.0	53355.0
35 – 44 	41175.0	4911.0	4258.0	231.0	31775.0
45 – 54	29996.0	7452.0	5420.0	195.0	16929.0
55 – 64	18044.0	9099.0	4029.0	100.0	4816.0
65 и более	33998.0	24395.0	6162.0	154.0	3287.0
возраст не указан	793.0	96.0	75.0	58.0	564.0
Белгородская область					
Все население	13777.0	2950.0	791.0	1534.0	8502.0
в том числе в возрасте, лет:					
  0 – 3	195.0	5.0	6.0	174.0	10.0
  4 – 5	127.0	20.0	1.0	89.0	17.0
  6 – 9	352.0	93.0	-	205.0	54.0
10 – 14 	1141.0	259.0	6.0	708.0	168.0
15 – 17 	1186.0	152.0	4.0	295.0	735.0
18 – 24	3796.0	141.0	38.0	59.0	3558.0
25 – 34 	2466.0	168.0	98.0	1.0	2199.0
35 – 44 	1546.0	263.0	160.0	1.0	1122.0
45 – 54	976.0	294.0	207.0	-	475.0
55 – 64	550.0	324.0	118.0	1.0	107.0
65 и более	1435.0	1229.0	152.0	-	54.0
возраст не указан	7.0	2.0	1.0	1.0	3.0
Брянская область					
Все население	13955.0	2177.0	1259.0	2056.0	8463.0
в том числе в возрасте, лет:					
  0 – 3	146.0	-	-	135.0	11.0
