2. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ											
											
	Всего	Имеющие образование									
		профессиональное					общее			Не имеющие начального общего образования	Не указавшие уровень образования
		послевузовское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
Городское и сельское население	99767435.0	314270.0	17012743.0	3505840.0	29575718.0	13669417.0	19125961.0	12507058.0	2644950.0	253749.0	1157729.0
Экономически активные	67063623.0	270218.0	14472914.0	2127015.0	23520530.0	10368757.0	11465708.0	4116387.0	594645.0	35310.0	92139.0
в том числе:											
занятые в экономике	59652437.0	258506.0	13713686.0	1814728.0	21440489.0	9104707.0	9595371.0	3179476.0	444741.0	26076.0	74657.0
из них:											
учащиеся	2545328.0	13383.0	192183.0	684740.0	688242.0	185036.0	700651.0	76450.0	3756.0	129.0	758.0
безработные	7411186.0	11712.0	759228.0	312287.0	2080041.0	1264050.0	1870337.0	936911.0	149904.0	9234.0	17482.0
из них:											
учащиеся	811295.0	1239.0	17322.0	183213.0	88685.0	34213.0	343959.0	130878.0	11125.0	99.0	562.0
Экономически неактивные	30915443.0	41278.0	2441042.0	1328567.0	5892274.0	3239589.0	7470656.0	8167213.0	1990533.0	209637.0	134654.0
Мужчины	47209958.0	169413.0	7513377.0	1606894.0	12471622.0	7756637.0	9312126.0	6359239.0	1323087.0	124573.0	572990.0
Экономически активные	33943557.0	150327.0	6652077.0	1038327.0	10596780.0	6222028.0	6277956.0	2535281.0	399037.0	20695.0	51049.0
в том числе:											
занятые в экономике	30203284.0	144310.0	6304521.0	890414.0	9687872.0	5485880.0	5331748.0	1994161.0	307433.0	15845.0	41100.0
из них:											
учащиеся	1078719.0	6860.0	88173.0	284476.0	250869.0	91874.0	309353.0	44399.0	2218.0	67.0	430.0
безработные	3740273.0	6017.0	347556.0	147913.0	908908.0	736148.0	946208.0	541120.0	91604.0	4850.0	9949.0
из них:											
учащиеся	366565.0	647.0	7464.0	82159.0	31687.0	15755.0	152140.0	70260.0	6089.0	62.0	302.0
Экономически неактивные	12451761.0	17860.0	826781.0	547254.0	1820548.0	1506147.0	2953378.0	3719509.0	896887.0	99450.0	63947.0
Женщины	52557477.0	144857.0	9499366.0	1898946.0	17104096.0	5912780.0	9813835.0	6147819.0	1321863.0	129176.0	584739.0
Экономически активные	33120066.0	119891.0	7820837.0	1088688.0	12923750.0	4146729.0	5187752.0	1581106.0	195608.0	14615.0	41090.0
в том числе:											
занятые в экономике	29449153.0	114196.0	7409165.0	924314.0	11752617.0	3618827.0	4263623.0	1185315.0	137308.0	10231.0	33557.0
из них:											
