3. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ 										
(на 1000 человек соответствующей группы населения по экономической активности)										
										
										
	Имеющие образование								Не имеющие начального общего образования	Не указавшие уровень образования
	профессиональное					общее				
	послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
Городское и сельское  население	3.0	171.0	35.0	296.0	137.0	192.0	125.0	26.0	3.0	12.0
Экономически активные	4.0	216.0	32.0	351.0	155.0	171.0	61.0	9.0	0.0	1.0
в том числе:										
занятые в экономике	4.0	230.0	30.0	359.0	153.0	161.0	53.0	8.0	1.0	1.0
из них:										
учащиеся	5.0	76.0	269.0	270.0	73.0	275.0	30.0	2.0	0.0	0.0
безработные	2.0	103.0	42.0	281.0	171.0	252.0	126.0	20.0	1.0	2.0
из них:										
учащиеся	2.0	21.0	226.0	109.0	42.0	424.0	161.0	14.0	0.0	1.0
Экономически неактивные	1.0	79.0	43.0	191.0	105.0	242.0	264.0	64.0	7.0	4.0
Мужчины	4.0	159.0	34.0	264.0	164.0	197.0	135.0	28.0	3.0	12.0
Экономически активные	4.0	196.0	31.0	312.0	183.0	185.0	75.0	12.0	1.0	1.0
в том числе:										
занятые в экономике	5.0	209.0	29.0	321.0	182.0	177.0	66.0	10.0	0.0	1.0
из них:										
учащиеся	6.0	82.0	264.0	233.0	85.0	287.0	41.0	2.0	0.0	0.0
безработные	2.0	93.0	39.0	243.0	197.0	253.0	145.0	24.0	1.0	3.0
из них:										
учащиеся	2.0	20.0	224.0	86.0	43.0	415.0	192.0	17.0	0.0	1.0
Экономически неактивные	2.0	66.0	44.0	146.0	121.0	237.0	299.0	72.0	8.0	5.0
Женщины	3.0	181.0	36.0	325.0	113.0	187.0	117.0	25.0	2.0	11.0
Экономически активные	4.0	236.0	33.0	390.0	125.0	157.0	48.0	6.0	0.0	1.0
в том числе:										
занятые в экономике	4.0	252.0	31.0	399.0	123.0	145.0	40.0	5.0	0.0	1.0
из них:										
учащиеся	4.0	71.0	273.0	298.0	64.0	267.0	22.0	1.0	0.0	0.0
безработные	1.0	112.0	45.0	319.0	144.0	252.0	108.0	16.0	1.0	2.0
из них:										
учащиеся	2.0	22.0	227.0	128.0	42.0	431.0	136.0	11.0	0.0	1.0
Экономически неактивные	1.0	87.0	42.0	221.0	94.0	245.0	241.0	59.0	6.0	4.0
Городское население	4.0	199.0	41.0	312.0	120.0	187.0	103.0	17.0	2.0	15.0
Экономически активные	5.0	245.0	36.0	364.0	136.0	160.0	46.0	6.0	0.0	2.0
в том числе:										
занятые в экономике	5.0	258.0	34.0	370.0	134.0	152.0	40.0	5.0	0.0	2.0
из них:										
учащиеся	6.0	79.0	276.0	263.0	71.0	275.0	29.0	1.0	0.0	0.0
безработные	2.0	128.0	54.0	306.0	152.0	240.0	101.0	13.0	1.0	3.0
из них:										
учащиеся	2.0	23.0	238.0	108.0	41.0	435.0	142.0	10.0	0.0	1.0
Экономически неактивные	2.0	97.0	55.0	206.0	90.0	257.0	241.0	42.0	4.0	6.0
Мужчины	4.0	188.0	41.0	285.0	141.0	192.0	113.0	18.0	2.0	16.0
Экономически активные	5.0	227.0	36.0	334.0	158.0	173.0	57.0	7.0	1.0	2.0
в том числе:										
занятые в экономике	6.0	239.0	34.0	340.0	156.0	166.0	51.0	6.0	0.0	2.0
из них:										
учащиеся	7.0	84.0	271.0	231.0	83.0	283.0	39.0	2.0	0.0	0.0
безработные	2.0	115.0	52.0	270.0	176.0	244.0	120.0	16.0	1.0	4.0
из них:										
учащиеся	2.0	21.0	237.0	87.0	42.0	427.0	170.0	13.0	0.0	1.0
Экономически неактивные	2.0	80.0	57.0	157.0	100.0	257.0	286.0	49.0	5.0	7.0
Женщины	3.0	208.0	42.0	336.0	102.0	182.0	95.0	16.0	2.0	14.0
Экономически активные	4.0	264.0	37.0	394.0	113.0	147.0	35.0	4.0	0.0	2.0
в том числе:										
занятые в экономике	5.0	277.0	34.0	400.0	112.0	138.0	30.0	3.0	0.0	1.0
из них:										
учащиеся	5.0	75.0	280.0	286.0	62.0	269.0	22.0	1.0	0.0	0.0
безработные	2.0	140.0	57.0	342.0	129.0	236.0	81.0	9.0	1.0	3.0
из них:										
учащиеся	1.0	24.0	240.0	125.0	40.0	441.0	119.0	9.0	0.0	1.0
Экономически неактивные	2.0	108.0	53.0	237.0	84.0	257.0	212.0	38.0	4.0	5.0
Сельское  население	1.0	84.0	16.0	247.0	189.0	207.0	193.0	57.0	5.0	1.0
Экономически активные	1.0	113.0	16.0	305.0	221.0	209.0	114.0	20.0	1.0	0.0
в том числе:										
занятые в экономике	1.0	125.0	16.0	320.0	223.0	196.0	101.0	17.0	1.0	0.0
из них:										
учащиеся	2.0	49.0	216.0	328.0	87.0	279.0	37.0	2.0	0.0	0.0
безработные	1.0	49.0	17.0	226.0	209.0	279.0	181.0	36.0	2.0	0.0
из них:										
учащиеся	0.0	13.0	140.0	119.0	52.0	350.0	291.0	35.0	0.0	0.0
Экономически неактивные	0.0	37.0	15.0	155.0	139.0	206.0	318.0	116.0	13.0	1.0
Мужчины	1.0	76.0	14.0	203.0	231.0	214.0	196.0	58.0	6.0	1.0
Экономически активные	1.0	96.0	14.0	244.0	264.0	223.0	131.0	26.0	1.0	0.0
в том числе:										
занятые в экономике	1.0	104.0	14.0	254.0	269.0	214.0	120.0	23.0	1.0	0.0
из них:										
учащиеся	3.0	60.0	200.0	247.0	108.0	319.0	59.0	4.0	0.0	0.0
безработные	1.0	50.0	15.0	189.0	238.0	271.0	193.0	41.0	2.0	0.0
из них:										
учащиеся	1.0	13.0	135.0	82.0	52.0	329.0	345.0	42.0	0.0	1.0
Экономически неактивные	0.0	37.0	15.0	123.0	166.0	196.0	326.0	122.0	14.0	1.0
Женщины	1.0	92.0	17.0	290.0	147.0	201.0	189.0	56.0	6.0	1.0
Экономически активные	1.0	134.0	19.0	376.0	170.0	192.0	94.0	13.0	1.0	0.0
в том числе:										
занятые в экономике	1.0	150.0	19.0	397.0	168.0	174.0	80.0	10.0	1.0	0.0
из них:										
учащиеся	2.0	42.0	226.0	377.0	74.0	254.0	24.0	1.0	0.0	0.0
безработные	1.0	48.0	18.0	267.0	178.0	288.0	168.0	30.0	2.0	0.0
из них:										
учащиеся	0.0	13.0	143.0	149.0	52.0	366.0	248.0	29.0	0.0	0.0
Экономически неактивные	0.0	37.0	15.0	179.0	118.0	214.0	312.0	112.0	12.0	1.0
