3. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ												
(на 1000 человек соответствующей возрастной группы)												
												
												
	Всего	В возрасте, лет										В трудоспо-собном возрасте
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64	
Городское и сельское население в возрасте 15-64 лет, занятое в экономике	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:												
сельское хозяйство, охота и лесное хозяйство	83.0	104.0	66.0	67.0	75.0	89.0	96.0	95.0	89.0	77.0	46.0	85.0
рыболовство, рыбоводство	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0
добыча полезных ископаемых	22.0	9.0	18.0	21.0	21.0	22.0	25.0	25.0	23.0	19.0	14.0	22.0
обрабатывающие производства	188.0	189.0	188.0	174.0	160.0	168.0	184.0	205.0	222.0	224.0	221.0	188.0
производство и распределение электроэнергии, газа и воды	24.0	8.0	15.0	19.0	21.0	22.0	26.0	29.0	31.0	33.0	30.0	24.0
строительство	71.0	73.0	71.0	68.0	65.0	69.0	74.0	75.0	73.0	71.0	59.0	72.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	133.0	227.0	180.0	166.0	161.0	145.0	124.0	105.0	86.0	64.0	53.0	136.0
гостиницы и рестораны	22.0	54.0	30.0	22.0	21.0	21.0	21.0	21.0	19.0	15.0	13.0	22.0
транспорт и связь	96.0	57.0	79.0	89.0	99.0	101.0	104.0	103.0	100.0	94.0	76.0	97.0
финансовая деятельность	14.0	8.0	15.0	18.0	18.0	15.0	13.0	13.0	12.0	9.0	6.0	14.0
операции с недвижимым имуществом, аренда и предоставление услуг	48.0	42.0	51.0	47.0	44.0	43.0	44.0	48.0	53.0	64.0	80.0	47.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	66.0	45.0	83.0	86.0	82.0	73.0	62.0	50.0	45.0	46.0	42.0	67.0
образование	89.0	62.0	77.0	86.0	92.0	90.0	87.0	87.0	93.0	117.0	146.0	86.0
здравоохранение и предоставление социальных услуг	73.0	40.0	61.0	72.0	75.0	74.0	72.0	74.0	79.0	82.0	114.0	71.0
предоставление прочих коммунальных, социальных и персональных услуг	46.0	56.0	42.0	41.0	43.0	43.0	44.0	47.0	50.0	56.0	68.0	45.0
предоставление услуг по ведению домашнего хозяйства	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0
деятельность экстерриториальных организаций	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	22.0	23.0	21.0	21.0	21.0	21.0	21.0	21.0	22.0	26.0	30.0	21.0
Мужчины в возрасте 15-64 лет, занятые в экономике 	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:												
сельское хозяйство, охота и лесное хозяйство	111.0	160.0	90.0	88.0	99.0	119.0	129.0	129.0	121.0	111.0	62.0	113.0
рыболовство, рыбоводство	4.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	4.0
добыча полезных ископаемых	33.0	14.0	27.0	31.0	31.0	34.0	39.0	39.0	35.0	26.0	20.0	33.0
обрабатывающие производства	208.0	228.0	221.0	200.0	176.0	177.0	193.0	220.0	245.0	256.0	286.0	206.0
производство и распределение электроэнергии, газа и воды	33.0	13.0	22.0	27.0	28.0	30.0	34.0	39.0	43.0	43.0	42.0	32.0
строительство	111.0	124.0	112.0	107.0	104.0	111.0	118.0	118.0	113.0	99.0	84.0	112.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	100.0	153.0	127.0	128.0	131.0	113.0	90.0	73.0	60.0	52.0	41.0	101.0
гостиницы и рестораны	9.0	28.0	16.0	11.0	10.0	8.0	7.0	6.0	6.0	6.0	5.0	9.0
транспорт и связь	133.0	76.0	109.0	125.0	142.0	144.0	148.0	144.0	134.0	123.0	100.0	134.0
финансовая деятельность	8.0	3.0	9.0	11.0	11.0	9.0	7.0	6.0	6.0	6.0	5.0	8.0
операции с недвижимым имуществом, аренда и предоставление услуг	54.0	48.0	59.0	55.0	51.0	48.0	48.0	51.0	57.0	67.0	86.0	53.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	78.0	41.0	105.0	111.0	107.0	91.0	69.0	49.0	40.0	42.0	42.0	79.0
