4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудо-способном возрасте	Средний возраст
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64		
Центральный федеральный округ													
Все население в возрасте 15-64 лет, занятое в экономике	16396856.0	330896.0	1632780.0	2026551.0	2028798.0	2145207.0	2662041.0	2410450.0	1943134.0	761484.0	455515.0	15606314.0	39.4
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	992140.0	23033.0	71804.0	93692.0	109008.0	140069.0	190602.0	173571.0	132843.0	41873.0	15645.0	966483.0	40.4
рыболовство, рыбоводство	6761.0	123.0	560.0	676.0	855.0	915.0	1241.0	1109.0	848.0	277.0	157.0	6530.0	40.1
добыча полезных ископаемых	104832.0	1066.0	7855.0	11296.0	11177.0	12920.0	18252.0	18761.0	14884.0	5661.0	2960.0	100367.0	41.1
обрабатывающие производства	3211000.0	67702.0	316494.0	362871.0	331094.0	377035.0	516967.0	520353.0	445311.0	171261.0	101912.0	3045873.0	40.3
производство и распределение электроэнергии, газа и воды	303803.0	1983.0	18386.0	28833.0	30386.0	37288.0	52800.0	55284.0	48996.0	19120.0	10727.0	287818.0	42.3
строительство	1224586.0	20609.0	115636.0	142367.0	143401.0	162560.0	217049.0	194991.0	148297.0	54488.0	25188.0	1188395.0	39.7
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	2315212.0	74974.0	312838.0	367959.0	357748.0	334923.0	349764.0	264399.0	177800.0	51616.0	23191.0	2264116.0	36.2
гостиницы и рестораны	363530.0	19590.0	51752.0	45077.0	42914.0	44212.0	55961.0	48526.0	38147.0	11400.0	5951.0	349042.0	37.2
транспорт и связь	1575620.0	19258.0	134337.0	186063.0	206269.0	216283.0	275677.0	244341.0	187661.0	71679.0	34052.0	1522216.0	39.8
финансовая деятельность	312714.0	4416.0	35559.0	52984.0	49299.0	43160.0	46480.0	39507.0	29064.0	8975.0	3270.0	304342.0	37.3
операции с недвижимым имуществом, аренда и предоставление услуг	1005642.0	16749.0	104742.0	123311.0	112949.0	116313.0	147160.0	144911.0	129220.0	63354.0	46933.0	933077.0	40.3
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	967833.0	15527.0	116527.0	146048.0	141895.0	141543.0	153298.0	116212.0	84410.0	34196.0	18177.0	934078.0	37.6
образование	1232573.0	17099.0	98338.0	139281.0	152469.0	160881.0	193997.0	180552.0	156293.0	77302.0	56361.0	1121065.0	40.8
здравоохранение и предоставление социальных услуг	1123800.0	12426.0	91043.0	133083.0	140455.0	147774.0	178407.0	165809.0	143997.0	60069.0	50737.0	1027358.0	40.6
предоставление прочих коммунальных, социальных и персональных услуг	849973.0	19029.0	74648.0	93701.0	98857.0	105023.0	136460.0	128724.0	111380.0	48813.0	33338.0	793372.0	40.5
предоставление услуг по ведению домашнего хозяйства	13319.0	335.0	1172.0	1337.0	1488.0	1676.0	2375.0	2161.0	1721.0	698.0	356.0	12581.0	40.3
деятельность экстерриториальных организаций	7142.0	158.0	817.0	871.0	938.0	835.0	1027.0	1015.0	819.0	383.0	279.0	6708.0	39.4
не распределенные по видам деятельности и неточно указавшие вид деятельности	786376.0	16819.0	80272.0	97101.0	97596.0	101797.0	124524.0	110224.0	91443.0	40319.0	26281.0	742893.0	39.5
Белгородская область													
Все население в возрасте 15-64 лет, занятое в экономике	596817.0	10301.0	59950.0	76488.0	74558.0	83835.0	104079.0	89726.0	69042.0	19688.0	9150.0	580368.0	38.9
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	86352.0	1934.0	7197.0	9099.0	10239.0	12853.0	16583.0	13650.0	10750.0	2979.0	1068.0	84758.0	39.6
рыболовство, рыбоводство	585.0	9.0	38.0	80.0	66.0	95.0	130.0	83.0	63.0	21.0	-	581.0	39.1
добыча полезных ископаемых	23322.0	106.0	1616.0	2931.0	2668.0	3260.0	4482.0	4213.0	3059.0	760.0	227.0	22982.0	40.2
обрабатывающие производства	109545.0	1705.0	11103.0	13361.0	12155.0	14204.0	19897.0	18295.0	13967.0	3532.0	1326.0	107353.0	39.3
производство и распределение электроэнергии, газа и воды	12700.0	81.0	844.0	1392.0	1372.0	1603.0	2395.0	2263.0	1852.0	578.0	320.0	12253.0	41.2
строительство	43914.0	880.0	4425.0	5195.0	4554.0	5605.0	7739.0	7412.0	5933.0	1556.0	615.0	43015.0	39.5
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	70057.0	2223.0	10071.0	11343.0	10551.0	10597.0	10883.0	7785.0	5026.0	1048.0	530.0	68935.0	35.8
