5. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ 										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образова-ния	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузов-ское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
Городское и сельское население, занятое в экономике	59652437.0	13972192.0	1814728.0	21440489.0	9104707.0	9595371.0	3179476.0	444741.0	26076.0	74657.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	4945328.0	358791.0	47922.0	1228660.0	1314627.0	1089127.0	752404.0	145631.0	6705.0	1461.0
рыболовство, рыбоводство	134539.0	18696.0	2631.0	54204.0	23768.0	23031.0	10088.0	1905.0	76.0	140.0
добыча полезных ископаемых	1297585.0	222202.0	32795.0	507311.0	250147.0	224198.0	53351.0	6635.0	138.0	808.0
обрабатывающие производства	11223994.0	2068763.0	281054.0	4153931.0	1977366.0	2055673.0	606169.0	70209.0	2538.0	8291.0
производство и распределение электроэнергии, газа и воды	1424395.0	291690.0	34420.0	561931.0	238053.0	227136.0	61997.0	8282.0	190.0	696.0
строительство	4212120.0	716374.0	113354.0	1497818.0	833450.0	735405.0	273433.0	35493.0	1350.0	5443.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	7958197.0	1551787.0	314435.0	3166887.0	1105298.0	1406396.0	355721.0	40772.0	6320.0	10581.0
гостиницы и рестораны	1315783.0	135958.0	41480.0	543415.0	263647.0	245373.0	76171.0	7874.0	478.0	1387.0
транспорт и связь	5710580.0	874313.0	161194.0	2242093.0	1005628.0	1092351.0	293675.0	33557.0	1546.0	6223.0
финансовая деятельность	842163.0	451201.0	45479.0	238327.0	39283.0	59576.0	6534.0	617.0	67.0	1079.0
операции с недвижимым имуществом, аренда и предоставление услуг	2884252.0	994930.0	119058.0	877382.0	342101.0	407415.0	121447.0	17728.0	873.0	3318.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	3937611.0	1582080.0	169886.0	1291631.0	337246.0	475658.0	70212.0	7988.0	479.0	2431.0
образование	5335918.0	2586941.0	192853.0	1534473.0	400560.0	456199.0	142859.0	17455.0	816.0	3762.0
здравоохранение и предоставление социальных услуг	4378346.0	1116672.0	94587.0	2119661.0	446955.0	427482.0	149430.0	19170.0	938.0	3451.0
предоставление прочих коммунальных, социальных и персональных услуг	2724751.0	592424.0	102559.0	988693.0	396286.0	465628.0	152070.0	22579.0	1124.0	3388.0
предоставление услуг по ведению домашнего хозяйства	31726.0	6586.0	1463.0	11484.0	4111.0	5688.0	1934.0	373.0	24.0	63.0
деятельность экстерриториальных организаций	9937.0	4159.0	535.0	2825.0	689.0	1375.0	258.0	27.0	47.0	22.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	1285212.0	398625.0	59023.0	419763.0	125492.0	197660.0	51723.0	8446.0	2367.0	22113.0
Мужчины, занятые в экономике 	30203284.0	6448831.0	890414.0	9687872.0	5485880.0	5331748.0	1994161.0	307433.0	15845.0	41100.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	3359861.0	226811.0	30450.0	719670.0	1000474.0	741259.0	522012.0	113104.0	5016.0	1065.0
рыболовство, рыбоводство	114326.0	15099.0	2101.0	46442.0	20980.0	19335.0	8546.0	1636.0	67.0	120.0
добыча полезных ископаемых	988424.0	150795.0	23777.0	379003.0	208007.0	176376.0	44403.0	5379.0	111.0	573.0
обрабатывающие производства	6292942.0	1173051.0	165821.0	2188933.0	1193734.0	1127250.0	388902.0	49120.0	1596.0	4535.0
производство и распределение электроэнергии, газа и воды	978303.0	188512.0	23455.0	370285.0	182712.0	157831.0	48264.0	6676.0	127.0	441.0
строительство	3357040.0	506274.0	87942.0	1169230.0	697002.0	619885.0	240113.0	31288.0	1071.0	4235.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	3016741.0	690587.0	135873.0	978856.0	425458.0	568978.0	184453.0	23678.0	3353.0	5505.0
гостиницы и рестораны	273490.0	44639.0	13870.0	101167.0	44783.0	49416.0	17199.0	1814.0	105.0	497.0
транспорт и связь	4020851.0	551454.0	106982.0	1531461.0	777015.0	794812.0	226376.0	27024.0	1103.0	4624.0
финансовая деятельность	241066.0	143778.0	12094.0	47645.0	13516.0	20727.0	2585.0	273.0	12.0	436.0
операции с недвижимым имуществом, аренда и предоставление услуг	1627164.0	508669.0	65783.0	469448.0	233335.0	251216.0	83819.0	12443.0	550.0	1901.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	2345525.0	940010.0	89810.0	711770.0	239344.0	309069.0	48062.0	5536.0	306.0	1618.0
образование	975156.0	531101.0	34281.0	193877.0	86908.0	90236.0	32259.0	5455.0	181.0	858.0
здравоохранение и предоставление социальных услуг	735762.0	327981.0	20542.0	183143.0	84256.0	82219.0	31776.0	4813.0	195.0	837.0
предоставление прочих коммунальных, социальных и персональных услуг	1156787.0	235968.0	45316.0	374504.0	198230.0	205998.0	81145.0	13302.0	711.0	1613.0
предоставление услуг по ведению домашнего хозяйства	11352.0	2273.0	560.0	3812.0	1720.0	1948.0	787.0	209.0	11.0	32.0
деятельность экстерриториальных организаций	5275.0	2140.0	300.0	1392.0	441.0	791.0	157.0	16.0	27.0	11.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	703219.0	209689.0	31457.0	217234.0	77965.0	114402.0	33303.0	5667.0	1303.0	12199.0
Женщины, занятые в экономике 	29449153.0	7523361.0	924314.0	11752617.0	3618827.0	4263623.0	1185315.0	137308.0	10231.0	33557.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	1585467.0	131980.0	17472.0	508990.0	314153.0	347868.0	230392.0	32527.0	1689.0	396.0
рыболовство, рыбоводство	20213.0	3597.0	530.0	7762.0	2788.0	3696.0	1542.0	269.0	9.0	20.0
добыча полезных ископаемых	309161.0	71407.0	9018.0	128308.0	42140.0	47822.0	8948.0	1256.0	27.0	235.0
обрабатывающие производства	4931052.0	895712.0	115233.0	1964998.0	783632.0	928423.0	217267.0	21089.0	942.0	3756.0
производство и распределение электроэнергии, газа и воды	446092.0	103178.0	10965.0	191646.0	55341.0	69305.0	13733.0	1606.0	63.0	255.0
строительство	855080.0	210100.0	25412.0	328588.0	136448.0	115520.0	33320.0	4205.0	279.0	1208.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	4941456.0	861200.0	178562.0	2188031.0	679840.0	837418.0	171268.0	17094.0	2967.0	5076.0
