6. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ 									
(на 1000 человек в возрасте 15-64 лет, занятых соответствующим видом экономической деятельности)									
									
									
	Имеющие образование							Не имеющие начального общего образова-ния	Не указавшие уровень образова-ния
	профессиональное				общее				
	послевузов-ское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
Городское и сельское население, занятое в экономике	234.0	30.0	360.0	153.0	160.0	53.0	8.0	1.0	1.0
в том числе по видам экономической деятельности:									
сельское хозяйство, охота и лесное хозяйство	73.0	10.0	249.0	266.0	220.0	152.0	29.0	1.0	0.0
рыболовство, рыбоводство	139.0	19.0	403.0	177.0	171.0	75.0	14.0	1.0	1.0
добыча полезных ископаемых	171.0	25.0	391.0	192.0	173.0	42.0	5.0	0.0	1.0
обрабатывающие производства	184.0	25.0	370.0	176.0	184.0	54.0	6.0	0.0	1.0
производство и распределение электроэнергии, газа и воды	205.0	24.0	395.0	167.0	160.0	43.0	6.0	0.0	0.0
строительство	170.0	27.0	356.0	198.0	174.0	65.0	9.0	0.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	195.0	40.0	398.0	139.0	176.0	45.0	5.0	1.0	1.0
гостиницы и рестораны	103.0	32.0	413.0	200.0	187.0	58.0	6.0	0.0	1.0
транспорт и связь	153.0	28.0	393.0	176.0	192.0	51.0	6.0	0.0	1.0
финансовая деятельность	536.0	54.0	283.0	47.0	71.0	7.0	1.0	0.0	1.0
операции с недвижимым имуществом, аренда и предоставление услуг	345.0	41.0	304.0	118.0	142.0	42.0	6.0	1.0	1.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	402.0	43.0	328.0	86.0	120.0	18.0	2.0	0.0	1.0
образование	485.0	36.0	288.0	76.0	85.0	26.0	3.0	0.0	1.0
здравоохранение и предоставление социальных услуг	255.0	22.0	484.0	102.0	98.0	34.0	4.0	0.0	1.0
предоставление прочих коммунальных, социальных и персональных услуг	217.0	38.0	363.0	146.0	171.0	56.0	8.0	0.0	1.0
предоставление услуг по ведению домашнего хозяйства	208.0	46.0	362.0	129.0	179.0	61.0	12.0	1.0	2.0
деятельность экстерриториальных организаций	418.0	54.0	284.0	70.0	138.0	26.0	3.0	5.0	2.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	310.0	46.0	327.0	98.0	154.0	40.0	6.0	2.0	17.0
Мужчины, занятые в экономике 	214.0	29.0	321.0	182.0	176.0	66.0	10.0	1.0	1.0
в том числе по видам экономической деятельности:									
сельское хозяйство, охота и лесное хозяйство	68.0	9.0	214.0	297.0	221.0	156.0	34.0	1.0	0.0
рыболовство, рыбоводство	132.0	19.0	406.0	183.0	169.0	75.0	14.0	1.0	1.0
добыча полезных ископаемых	153.0	24.0	384.0	211.0	178.0	44.0	5.0	0.0	1.0
обрабатывающие производства	186.0	26.0	348.0	190.0	179.0	62.0	8.0	0.0	1.0
производство и распределение электроэнергии, газа и воды	193.0	24.0	379.0	187.0	161.0	49.0	7.0	0.0	0.0
строительство	151.0	26.0	348.0	208.0	185.0	71.0	10.0	0.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	229.0	45.0	324.0	141.0	188.0	62.0	8.0	1.0	2.0
гостиницы и рестораны	163.0	51.0	370.0	164.0	180.0	63.0	7.0	0.0	2.0
транспорт и связь	137.0	27.0	381.0	193.0	197.0	57.0	7.0	0.0	1.0
финансовая деятельность	596.0	50.0	198.0	56.0	86.0	11.0	1.0	0.0	2.0
операции с недвижимым имуществом, аренда и предоставление услуг	313.0	40.0	289.0	144.0	154.0	51.0	8.0	0.0	1.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	401.0	38.0	304.0	102.0	131.0	21.0	2.0	0.0	1.0
образование	545.0	35.0	199.0	90.0	92.0	33.0	5.0	0.0	1.0
здравоохранение и предоставление социальных услуг	446.0	28.0	249.0	115.0	112.0	43.0	6.0	0.0	1.0
предоставление прочих коммунальных, социальных и персональных услуг	204.0	39.0	324.0	171.0	178.0	70.0	12.0	1.0	1.0
предоставление услуг по ведению домашнего хозяйства	200.0	49.0	336.0	152.0	171.0	69.0	19.0	1.0	3.0
деятельность экстерриториальных организаций	406.0	57.0	264.0	84.0	150.0	29.0	3.0	5.0	2.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	298.0	45.0	309.0	111.0	162.0	48.0	8.0	2.0	17.0
Женщины, занятые в экономике 	256.0	31.0	399.0	123.0	145.0	40.0	5.0	0.0	1.0
в том числе по видам экономической деятельности:									
сельское хозяйство, охота и лесное хозяйство	83.0	11.0	321.0	198.0	219.0	146.0	21.0	1.0	0.0
рыболовство, рыбоводство	178.0	26.0	384.0	138.0	182.0	77.0	13.0	1.0	1.0
добыча полезных ископаемых	231.0	29.0	415.0	136.0	155.0	29.0	4.0	0.0	1.0
обрабатывающие производства	182.0	23.0	398.0	159.0	189.0	44.0	4.0	0.0	1.0
производство и распределение электроэнергии, газа и воды	231.0	25.0	430.0	124.0	156.0	30.0	4.0	0.0	0.0
строительство	246.0	30.0	384.0	160.0	135.0	39.0	5.0	0.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	174.0	36.0	443.0	138.0	169.0	34.0	4.0	1.0	1.0
гостиницы и рестораны	88.0	27.0	424.0	210.0	188.0	56.0	6.0	0.0	1.0
транспорт и связь	191.0	32.0	420.0	135.0	177.0	40.0	4.0	0.0	1.0
финансовая деятельность	511.0	56.0	317.0	43.0	65.0	6.0	1.0	0.0	1.0
операции с недвижимым имуществом, аренда и предоставление услуг	387.0	42.0	325.0	86.0	125.0	30.0	4.0	0.0	1.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	403.0	50.0	364.0	62.0	104.0	14.0	2.0	0.0	1.0
образование	471.0	36.0	307.0	72.0	84.0	26.0	3.0	0.0	1.0
здравоохранение и предоставление социальных услуг	216.0	20.0	532.0	100.0	95.0	32.0	4.0	0.0	1.0
предоставление прочих коммунальных, социальных и персональных услуг	227.0	37.0	392.0	126.0	166.0	45.0	6.0	0.0	1.0
предоставление услуг по ведению домашнего хозяйства	212.0	44.0	377.0	117.0	184.0	56.0	8.0	1.0	1.0
деятельность экстерриториальных организаций	433.0	51.0	308.0	54.0	125.0	21.0	2.0	4.0	2.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	325.0	47.0	348.0	82.0	143.0	31.0	5.0	2.0	17.0
Городское население, занятое в экономике	263.0	34.0	370.0	133.0	152.0	41.0	5.0	0.0	2.0
в том числе по видам экономической деятельности:									
