8. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ								
								
								
	Всего	в том числе по положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
Городское и сельское население, занятое в экономике	59652437.0	56418074.0	3183265.0	917623.0	1900576.0	244005.0	121061.0	51098.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	4945328.0	4672399.0	271298.0	51449.0	164298.0	45884.0	9667.0	1631.0
рыболовство, рыбоводство	134539.0	128145.0	6343.0	1366.0	4013.0	725.0	239.0	51.0
добыча полезных ископаемых	1297585.0	1284552.0	12470.0	3053.0	7318.0	1169.0	930.0	563.0
обрабатывающие производства	11223994.0	10922107.0	295246.0	97364.0	160785.0	24065.0	13032.0	6641.0
производство и распределение электроэнергии, газа и воды	1424395.0	1405306.0	18550.0	3166.0	11798.0	2395.0	1191.0	539.0
строительство	4212120.0	3989495.0	218529.0	73939.0	114722.0	20165.0	9703.0	4096.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	7958197.0	6453366.0	1497623.0	496044.0	903184.0	56621.0	41774.0	7208.0
гостиницы и рестораны	1315783.0	1254432.0	60078.0	26946.0	25830.0	4726.0	2576.0	1273.0
транспорт и связь	5710580.0	5413841.0	291876.0	52332.0	205626.0	21616.0	12302.0	4863.0
финансовая деятельность	842163.0	819069.0	22134.0	6816.0	11414.0	2564.0	1340.0	960.0
операции с недвижимым имуществом, аренда и предоставление услуг	2884252.0	2754856.0	126290.0	38389.0	70789.0	11917.0	5195.0	3106.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	3937611.0	3937603.0						8.0
образование	5335918.0	5257184.0	75074.0	6831.0	50811.0	11954.0	5478.0	3660.0
здравоохранение и предоставление социальных услуг	4378346.0	4293439.0	81841.0	11709.0	53249.0	11947.0	4936.0	3066.0
предоставление прочих коммунальных, социальных и персональных услуг	2724751.0	2593244.0	128590.0	30032.0	78066.0	14599.0	5893.0	2917.0
предоставление услуг по ведению домашнего хозяйства	31726.0	31726.0						-
деятельность экстерриториальных организаций	9937.0	9842.0	95.0			95.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	1285212.0	1197468.0	77228.0	18187.0	38673.0	13563.0	6805.0	10516.0
Мужчины, занятые в экономике	30203284.0	28294471.0	1882169.0	597815.0	1073776.0	142588.0	67990.0	26644.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	3359861.0	3153816.0	204995.0	43931.0	122432.0	31546.0	7086.0	1050.0
рыболовство, рыбоводство	114326.0	108573.0	5713.0	1258.0	3640.0	595.0	220.0	40.0
добыча полезных ископаемых	988424.0	978124.0	9924.0	2665.0	5593.0	916.0	750.0	376.0
обрабатывающие производства	6292942.0	6101565.0	187744.0	74755.0	91323.0	13947.0	7719.0	3633.0
производство и распределение электроэнергии, газа и воды	978303.0	964481.0	13422.0	2659.0	8309.0	1642.0	812.0	400.0
строительство	3357040.0	3161132.0	192627.0	67112.0	100004.0	17216.0	8295.0	3281.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	3016741.0	2265453.0	748088.0	278962.0	421316.0	28314.0	19496.0	3200.0
гостиницы и рестораны	273490.0	248241.0	24728.0	14234.0	8186.0	1466.0	842.0	521.0
транспорт и связь	4020851.0	3759241.0	258061.0	44290.0	185914.0	17612.0	10245.0	3549.0
финансовая деятельность	241066.0	230342.0	10348.0	4376.0	4602.0	899.0	471.0	376.0
операции с недвижимым имуществом, аренда и предоставление услуг	1627164.0	1545738.0	79648.0	26531.0	42763.0	7144.0	3210.0	1778.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	2345525.0	2345521.0						4.0
образование	975156.0	957236.0	17106.0	2648.0	10815.0	2489.0	1154.0	814.0
здравоохранение и предоставление социальных услуг	735762.0	712423.0	22706.0	5911.0	13138.0	2484.0	1173.0	633.0
предоставление прочих коммунальных, социальных и персональных услуг	1156787.0	1097141.0	58176.0	15604.0	32127.0	7874.0	2571.0	1470.0
предоставление услуг по ведению домашнего хозяйства	11352.0	11352.0						-
деятельность экстерриториальных организаций	5275.0	5224.0	51.0			51.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	703219.0	648868.0	48832.0	12879.0	23614.0	8393.0	3946.0	5519.0
Женщины, занятые в экономике	29449153.0	28123603.0	1301096.0	319808.0	826800.0	101417.0	53071.0	24454.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	1585467.0	1518583.0	66303.0	7518.0	41866.0	14338.0	2581.0	581.0
рыболовство, рыбоводство	20213.0	19572.0	630.0	108.0	373.0	130.0	19.0	11.0
добыча полезных ископаемых	309161.0	306428.0	2546.0	388.0	1725.0	253.0	180.0	187.0
обрабатывающие производства	4931052.0	4820542.0	107502.0	22609.0	69462.0	10118.0	5313.0	3008.0
производство и распределение электроэнергии, газа и воды	446092.0	440825.0	5128.0	507.0	3489.0	753.0	379.0	139.0
строительство	855080.0	828363.0	25902.0	6827.0	14718.0	2949.0	1408.0	815.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	4941456.0	4187913.0	749535.0	217082.0	481868.0	28307.0	22278.0	4008.0
гостиницы и рестораны	1042293.0	1006191.0	35350.0	12712.0	17644.0	3260.0	1734.0	752.0
транспорт и связь	1689729.0	1654600.0	33815.0	8042.0	19712.0	4004.0	2057.0	1314.0
финансовая деятельность	601097.0	588727.0	11786.0	2440.0	6812.0	1665.0	869.0	584.0
операции с недвижимым имуществом, аренда и предоставление услуг	1257088.0	1209118.0	46642.0	11858.0	28026.0	4773.0	1985.0	1328.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	1592086.0	1592082.0						4.0
