9. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ							
(на 1000 человек в возрасте 15-64 лет, занятых соответствующим видом экономической деятельности)							
							
							
	Положение в занятии						Не указавшие положение в занятии
	работающие по найму	работающие не по найму	из них				
			с привле-чением на-емных ра-ботников	без привле-чения наем-ных работ-ников	иное	не указавшие привлечение наемных работников	
Городское и сельское население, занятое в экономике 	946.0	53.0	15.0	32.0	4.0	2.0	1.0
в том числе по видам экономической деятельности:							
сельское хозяйство, охота и лесное хозяйство	945.0	55.0	11.0	33.0	9.0	2.0	0.0
рыболовство, рыбоводство	953.0	47.0	10.0	30.0	5.0	2.0	0.0
добыча полезных ископаемых	990.0	10.0	2.0	6.0	1.0	1.0	0.0
обрабатывающие производства	973.0	26.0	9.0	14.0	2.0	1.0	1.0
производство и распределение электроэнергии, газа и воды	987.0	13.0	2.0	8.0	2.0	1.0	0.0
строительство	947.0	52.0	18.0	27.0	5.0	2.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	811.0	188.0	62.0	114.0	7.0	5.0	1.0
гостиницы и рестораны	953.0	46.0	20.0	20.0	4.0	2.0	1.0
транспорт и связь	948.0	51.0	9.0	36.0	4.0	2.0	1.0
финансовая деятельность	973.0	26.0	8.0	13.0	3.0	2.0	1.0
операции с недвижимым имуществом, аренда и предоставление услуг	955.0	44.0	13.0	25.0	4.0	2.0	1.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	1000.0	 	 	 	 	 	0.0
образование	985.0	14.0	1.0	10.0	2.0	1.0	1.0
здравоохранение и предоставление социальных услуг	980.0	19.0	3.0	12.0	3.0	1.0	1.0
предоставление прочих коммунальных, социальных и персональных услуг	952.0	47.0	11.0	29.0	5.0	2.0	1.0
предоставление услуг по ведению домашнего хозяйства	1000.0	 	 	 	 	 	-
деятельность экстерриториальных организаций	990.0	10.0	 	 	10.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	932.0	60.0	14.0	30.0	11.0	5.0	8.0
Мужчины, занятые в экономике 	937.0	62.0	20.0	35.0	5.0	2.0	1.0
в том числе по видам экономической деятельности:							
сельское хозяйство, охота и лесное хозяйство	939.0	61.0	13.0	37.0	9.0	2.0	0.0
рыболовство, рыбоводство	950.0	50.0	11.0	32.0	5.0	2.0	0.0
добыча полезных ископаемых	990.0	10.0	3.0	5.0	1.0	1.0	0.0
