11. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ  ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
								
	Всего	в том числе по положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
Центральный федеральный округ								
Все население, занятое в экономике	16396856.0	15579994.0	775982.0	226316.0	442556.0	73074.0	34036.0	40880.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	992140.0	957760.0	33170.0	6997.0	19464.0	5284.0	1425.0	1210.0
рыболовство, рыбоводство	6761.0	6308.0	449.0	150.0	257.0	26.0	16.0	4.0
добыча полезных ископаемых	104832.0	102529.0	1985.0	725.0	945.0	173.0	142.0	318.0
обрабатывающие производства	3211000.0	3127528.0	78491.0	25672.0	40974.0	8045.0	3800.0	4981.0
производство и распределение электроэнергии, газа и воды	303803.0	299075.0	4379.0	770.0	2707.0	653.0	249.0	349.0
строительство	1224586.0	1165004.0	56117.0	18682.0	28066.0	6583.0	2786.0	3465.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	2315212.0	1971040.0	338185.0	113406.0	198355.0	16570.0	9854.0	5987.0
гостиницы и рестораны	363530.0	348078.0	14449.0	5966.0	6085.0	1615.0	783.0	1003.0
транспорт и связь	1575620.0	1496913.0	74934.0	13841.0	50369.0	7231.0	3493.0	3773.0
финансовая деятельность	312714.0	302731.0	9132.0	3000.0	4388.0	1199.0	545.0	851.0
операции с недвижимым имуществом, аренда и предоставление услуг	1005642.0	963939.0	39087.0	11665.0	20445.0	5133.0	1844.0	2616.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	967833.0	967833.0						-
образование	1232573.0	1208944.0	20971.0	2125.0	13785.0	3599.0	1462.0	2658.0
здравоохранение и предоставление социальных услуг	1123800.0	1097946.0	23539.0	3621.0	14661.0	3891.0	1366.0	2315.0
предоставление прочих коммунальных, социальных и персональных услуг	849973.0	810098.0	37553.0	9204.0	20838.0	5450.0	2061.0	2322.0
предоставление услуг по ведению домашнего хозяйства	13319.0	13319.0						-
деятельность экстерриториальных организаций	7142.0	7076.0	66.0			66.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	786376.0	733873.0	43475.0	10492.0	21217.0	7556.0	4210.0	9028.0
Белгородская область								
Все население, занятое в экономике	596817.0	563432.0	32961.0	8839.0	21334.0	1981.0	807.0	424.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	86352.0	84345.0	1961.0	470.0	1352.0	82.0	57.0	46.0
рыболовство, рыбоводство	585.0	560.0	25.0	15.0	10.0	-	-	-
добыча полезных ископаемых	23322.0	23052.0	249.0	56.0	171.0	16.0	6.0	21.0
обрабатывающие производства	109545.0	106481.0	2974.0	834.0	1757.0	293.0	90.0	90.0
производство и распределение электроэнергии, газа и воды	12700.0	12461.0	239.0	20.0	159.0	60.0	-	-
строительство	43914.0	41867.0	2016.0	580.0	1197.0	200.0	39.0	31.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	70057.0	53715.0	16287.0	5112.0	10349.0	484.0	342.0	55.0
гостиницы и рестораны	10871.0	10492.0	374.0	110.0	218.0	31.0	15.0	5.0
транспорт и связь	46631.0	43286.0	3311.0	694.0	2389.0	139.0	89.0	34.0
финансовая деятельность	5944.0	5764.0	175.0	36.0	116.0	23.0	-	5.0
операции с недвижимым имуществом, аренда и предоставление услуг	30215.0	28710.0	1480.0	300.0	1002.0	145.0	33.0	25.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	30486.0	30486.0						-
образование	56816.0	55825.0	950.0	56.0	714.0	137.0	43.0	41.0
здравоохранение и предоставление социальных услуг	42376.0	41512.0	825.0	68.0	581.0	148.0	28.0	39.0
предоставление прочих коммунальных, социальных и персональных услуг	12673.0	11986.0	687.0	172.0	437.0	70.0	8.0	-
предоставление услуг по ведению домашнего хозяйства	65.0	65.0						-
деятельность экстерриториальных организаций	4.0	4.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	14261.0	12821.0	1408.0	316.0	882.0	153.0	57.0	32.0
Брянская область								
Все население, занятое в экономике	525835.0	496194.0	29472.0	6715.0	20454.0	1708.0	595.0	169.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	54256.0	53149.0	1078.0	236.0	640.0	178.0	24.0	29.0
рыболовство, рыбоводство	172.0	140.0	32.0	17.0	15.0	-	-	-
добыча полезных ископаемых	373.0	364.0	9.0	9.0	-	-	-	-
обрабатывающие производства	118173.0	115913.0	2229.0	688.0	1257.0	250.0	34.0	31.0
производство и распределение электроэнергии, газа и воды	14195.0	14051.0	144.0	4.0	132.0	8.0	-	-
строительство	35459.0	33773.0	1676.0	396.0	1104.0	149.0	27.0	10.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	72024.0	53937.0	18058.0	4266.0	13000.0	483.0	309.0	29.0
гостиницы и рестораны	10350.0	9941.0	405.0	162.0	204.0	28.0	11.0	4.0
транспорт и связь	49777.0	46855.0	2911.0	460.0	2153.0	215.0	83.0	11.0
финансовая деятельность	5402.0	5271.0	127.0	48.0	69.0	10.0	-	4.0
операции с недвижимым имуществом, аренда и предоставление услуг	18707.0	17940.0	760.0	153.0	539.0	56.0	12.0	7.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	37067.0	37067.0						-
образование	49994.0	49564.0	430.0	13.0	332.0	69.0	16.0	-
здравоохранение и предоставление социальных услуг	40520.0	39933.0	580.0	52.0	361.0	128.0	39.0	7.0
предоставление прочих коммунальных, социальных и персональных услуг	14911.0	14305.0	593.0	123.0	366.0	86.0	18.0	13.0
