1. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ЗАНЯТИЯМ И ВОЗРАСТНЫМ ГРУППАМ  													
													
													
	Всего	в том числе в возрасте, лет										В трудоспособном возрасте	Средний возраст
		15 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49	50 - 54	55 - 59	60 - 64		
Городское и сельское население в возрасте 15-64 лет, занятое в экономике 	59652437.0	1254744.0	6240399.0	7647737.0	7338660.0	7791626.0	9708818.0	8827353.0	6966769.0	2511858.0	1364473.0	57206399.0	39.1
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	6925876.0	28863.0	348099.0	698932.0	825603.0	966026.0	1252378.0	1190712.0	1003176.0	402078.0	210009.0	6567415.0	41.8
специалисты высшего уровня квалификации	8870439.0	60936.0	835644.0	1207214.0	1096082.0	1144704.0	1366193.0	1261451.0	1087184.0	496240.0	314791.0	8248494.0	40.0
специалисты среднего уровня квалификации	7579096.0	132228.0	868028.0	1043285.0	1002625.0	993302.0	1178983.0	1065678.0	862758.0	282778.0	149431.0	7258352.0	38.5
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1579389.0	62699.0	221695.0	203759.0	179318.0	186933.0	242143.0	226560.0	175733.0	51988.0	28561.0	1505230.0	37.7
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	7760589.0	318777.0	1213160.0	1243681.0	1091924.0	1018426.0	1111714.0	893892.0	611357.0	166746.0	90912.0	7563610.0	35.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1067549.0	26580.0	86433.0	118730.0	129607.0	160155.0	208416.0	182754.0	119403.0	25697.0	9774.0	1048939.0	39.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	9532558.0	256153.0	1092255.0	1199177.0	1057508.0	1138437.0	1531390.0	1469659.0	1181276.0	416809.0	189894.0	9278558.0	39.0
операторы, аппаратчики, машинисты установок и машин	8529815.0	110282.0	763485.0	1027026.0	1089568.0	1212237.0	1569031.0	1361686.0	955110.0	321970.0	119420.0	8364096.0	39.4
неквалифицированные рабочие	5837490.0	221027.0	586660.0	623612.0	591316.0	684973.0	920146.0	926739.0	794405.0	277417.0	211195.0	5472251.0	39.9
занятые на военной службе	616230.0	2733.0	80708.0	109889.0	105130.0	111795.0	116022.0	59027.0	21531.0	6563.0	2832.0	611550.0	35.6
лица, неточно указавшие или не указавшие  занятия 	1353406.0	34466.0	144232.0	172432.0	169979.0	174638.0	212402.0	189195.0	154836.0	63572.0	37654.0	1287904.0	39.0
Мужчины в возрасте 15-64 лет, занятые в экономике 	30203284.0	630414.0	3324312.0	4094898.0	3835456.0	3895912.0	4706981.0	4166404.0	3332000.0	1447534.0	769373.0	29422514.0	38.8
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	3955047.0	13789.0	198218.0	439225.0	511122.0	558280.0	677008.0	621735.0	537778.0	253895.0	143997.0	3810908.0	41.6
специалисты высшего уровня квалификации	2832347.0	17240.0	280168.0	417267.0	338810.0	342746.0	395908.0	366426.0	337467.0	189602.0	146713.0	2685399.0	40.2
специалисты среднего уровня квалификации	2382775.0	46608.0	304526.0	362612.0	330008.0	299253.0	326463.0	291424.0	248471.0	112329.0	61081.0	2321223.0	38.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	151194.0	7875.0	24640.0	23208.0	20066.0	16769.0	18440.0	15804.0	13244.0	6596.0	4552.0	146573.0	36.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	2333136.0	71885.0	422015.0	443290.0	378438.0	298376.0	275623.0	199307.0	145874.0	63559.0	34769.0	2297521.0	34.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	495344.0	16478.0	48829.0	59642.0	59993.0	71332.0	89797.0	75214.0	50239.0	17824.0	5996.0	488709.0	38.5
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	7237548.0	197552.0	873063.0	941916.0	804110.0	837557.0	1111222.0	1064720.0	885929.0	355386.0	166093.0	7069209.0	38.9
операторы, аппаратчики, машинисты установок и машин	7099352.0	88150.0	656059.0	882496.0	933707.0	1018586.0	1292845.0	1091269.0	759699.0	276363.0	100178.0	6998610.0	39.1
неквалифицированные рабочие	2487955.0	149030.0	358342.0	327656.0	273974.0	269430.0	324697.0	307196.0	264170.0	130317.0	83143.0	2399419.0	37.6
