2. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ЗАНЯТИЯМ И ВОЗРАСТНЫМ ГРУППАМ  (на 1000 человек, занятых в соответствующей группе занятий)											
											
											
	В возрасте, лет										В трудоспособном возрасте
	15 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49	50 - 54	55 - 59	60 - 64	
Городское и сельское население в возрасте 15-64 лет, занятое в экономике 	21.0	104.0	128.0	123.0	131.0	163.0	148.0	117.0	42.0	23.0	959.0
в том числе по группам занятий:											
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	4.0	50.0	101.0	119.0	140.0	181.0	172.0	145.0	58.0	30.0	948.0
специалисты высшего уровня квалификации	7.0	94.0	136.0	124.0	129.0	154.0	142.0	123.0	56.0	35.0	930.0
специалисты среднего уровня квалификации	17.0	114.0	138.0	132.0	131.0	156.0	141.0	114.0	37.0	20.0	958.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	40.0	140.0	129.0	114.0	118.0	153.0	144.0	111.0	33.0	18.0	953.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	41.0	156.0	160.0	141.0	131.0	143.0	115.0	79.0	22.0	12.0	975.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	25.0	81.0	111.0	122.0	150.0	195.0	171.0	112.0	24.0	9.0	983.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	27.0	114.0	126.0	111.0	119.0	161.0	154.0	124.0	44.0	20.0	973.0
операторы, аппаратчики, машинисты установок и машин	13.0	89.0	120.0	128.0	142.0	184.0	160.0	112.0	38.0	14.0	981.0
неквалифицированные рабочие	38.0	100.0	107.0	101.0	117.0	158.0	159.0	136.0	48.0	36.0	937.0
занятые на военной службе	4.0	131.0	178.0	171.0	181.0	188.0	96.0	35.0	11.0	5.0	992.0
лица, неточно указавшие или не указавшие  занятия 	25.0	107.0	127.0	126.0	129.0	157.0	140.0	114.0	47.0	28.0	952.0
Мужчины в возрасте 15-64 лет, занятые в экономике 	21.0	110.0	136.0	127.0	129.0	156.0	138.0	110.0	48.0	25.0	974.0
в том числе по группам занятий:											
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	4.0	50.0	111.0	129.0	141.0	171.0	157.0	136.0	64.0	37.0	964.0
специалисты высшего уровня квалификации	6.0	99.0	147.0	120.0	121.0	140.0	129.0	119.0	67.0	52.0	948.0
специалисты среднего уровня квалификации	20.0	128.0	152.0	138.0	126.0	137.0	122.0	104.0	47.0	26.0	974.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	52.0	163.0	153.0	133.0	111.0	122.0	104.0	88.0	44.0	30.0	969.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	31.0	181.0	190.0	162.0	128.0	118.0	85.0	63.0	27.0	15.0	985.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	33.0	99.0	120.0	121.0	144.0	181.0	152.0	102.0	36.0	12.0	987.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	27.0	121.0	130.0	111.0	116.0	154.0	147.0	122.0	49.0	23.0	977.0
операторы, аппаратчики, машинисты установок и машин	12.0	92.0	124.0	132.0	144.0	182.0	154.0	107.0	39.0	14.0	986.0
неквалифицированные рабочие	60.0	144.0	132.0	110.0	108.0	131.0	124.0	106.0	52.0	33.0	964.0
занятые на военной службе	4.0	150.0	195.0	177.0	178.0	172.0	81.0	29.0	10.0	4.0	996.0
лица, неточно указавшие или не указавшие  занятия 	27.0	115.0	138.0	133.0	131.0	150.0	127.0	101.0	50.0	28.0	971.0
