3. НАСЕЛЕНИЕ ПО МЕСТУ РОЖДЕНИЯ И МЕСТУ ПРОЖИВАНИЯ																																																																																																	
НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ																																																																																																	
																																																																																																	
        
        



	Всего	в том числе проживающие на территории																																																																																															
		Централь-ного федераль-ного округа	Белгород-ской области	Брянской области	Владимир-ской области	Воронежской области	Ивановской области	Калужской области	Костромской области	Курской области	Липецкой области	Московской области	Орловской области	Рязанской области	Смоленской области	Тамбовской области	Тверской области	Тульской области	Ярославской области	г. Москвы	Северо-Западного федераль-ного округа	Республики Карелия	Республики Коми 	Архангель-ской области	Ненецкого автономного округа	Вологодской области	Калинин-градской области	Ленин-градской области	Мурманской области	Новгород-ской области	Псковской области	г. Санкт-Петербурга	Южного федераль-ного округа	Республики Адыгея	Республики Дагестан	Республики Ингушетия	Кабардино-Балкарской Республики	Республики Калмыкия	Карачаево-Черкесской Республики	Республики Северная Осетия – Алания	Чеченской Республики	Красно-дарского края	Ставро-польского края	Астраханской области	Волго-градской области	Ростовской области	При-волжского федераль-ного округа	Республики Башкорто-стан	Республики Марий Эл	Республики Мордовия	Республики Татарстан	Удмуртской Республики	Чувашской Республики	Кировской области	Ниже-городской области	Оренбург-ской области	Пензенской области	Пермской области	Коми-Пермяцкого автономного округа	Самарской области	Саратовской области	Ульяновской области	Уральского федераль-ного округа	Курганской области	Свердлов-ской области	Тюменской области	Ханты-Мансийского автономного округа – Югры	Ямало-Ненецкого автономного округа	Челябинской области	Сибирского федераль-ного округа	Республики Алтай	Республики Бурятия	Республики Тыва	Республики Хакасия	Алтайского края	Краснояр-ского края	Таймырского (Долгано-Ненецкого) автономного округа	Эвенкий-ского автономного округа	Иркутской области	Усть-Ордынского Бурятского автономного округа	Кемеровской области	Ново-сибирской области	Омской области	Томской области	Читинской области	Агинского Бурятского автономного округа	Дальне-восточного федераль-ного округа	Республики Саха (Якутия)	Приморского края	Хабаров-ского края	Амурской области	Камчатской области	Корякского автономного округа	Магаданской области	Сахалинской области	Еврейской автономной области	Чукотского автономного округа
Все население	145166731.0	38000651.0	1511620.0	1378941.0	1523990.0	2378803.0	1148329.0	1041641.0	736641.0	1235091.0	1213499.0	6618538.0	860262.0	1227910.0	1049574.0	1178443.0	1471459.0	1675758.0	1367398.0	10382754.0	13974466.0	716281.0	1018674.0	1336539.0	41546.0	1269568.0	955281.0	1669205.0	892534.0	694355.0	760810.0	4661219.0	22907141.0	447109.0	2576531.0	467294.0	901494.0	292410.0	439470.0	710275.0	1103686.0	5125221.0	2735139.0	1005276.0	2699223.0	4404013.0	31154744.0	4104336.0	727979.0	888766.0	3779265.0	1570316.0	1313754.0	1503529.0	3524028.0	2179551.0	1452941.0	2819421.0	136076.0	3239737.0	2668310.0	1382811.0	12373926.0	1019532.0	4486214.0	3264841.0	1432817.0	507006.0	3603339.0	20062938.0	202947.0	981238.0	305510.0	546072.0	2607426.0	2966042.0	39786.0	17697.0	2581705.0	135327.0	2899142.0	2692251.0	2079220.0	1046039.0	1155346.0	72213.0	6692865.0	949280.0	2071210.0	1436570.0	902844.0	358801.0	25157.0	182726.0	546695.0	190915.0	53824.0
в том числе по территории рождения:																																																																																																	
Российская Федерация	131608720.0	33871969.0	1292122.0	1294987.0	1413624.0	2177303.0	1065516.0	921142.0	691849.0	1137503.0	1114639.0	5850790.0	784521.0	1130761.0	932125.0	1104781.0	1329618.0	1558212.0	1275790.0	8796686.0	12143619.0	645356.0	915519.0	1265328.0	38435.0	1202708.0	732044.0	1447329.0	746027.0	629957.0	688821.0	3870530.0	20453939.0	395186.0	2536901.0	423429.0	851366.0	278423.0	405237.0	586451.0	991129.0	4368346.0	2388144.0	922135.0	2411002.0	3896190.0	29394579.0	3942652.0	705869.0	862224.0	3598066.0	1523505.0	1286559.0	1449200.0	3380510.0	1967315.0	1372727.0	2699761.0	133945.0	2934055.0	2389867.0	1282269.0	11165066.0	951113.0	4203241.0	2661177.0	1099462.0	355364.0	3349535.0	18564962.0	193273.0	946293.0	301643.0	511905.0	2360024.0	2705055.0	33231.0	16224.0	2415015.0	132535.0	2710394.0	2485908.0	1872434.0	955868.0	1107150.0	71256.0	6014586.0	859367.0	1854968.0	1317574.0	825215.0	299476.0	22771.0	145754.0	495133.0	174440.0	42659.0
