5. НАСЕЛЕНИЕ, ВРЕМЕННО НАХОДИВШЕЕСЯ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ					
С  ЦЕЛЬЮ РАБОТЫ, ПО СТРАНЕ ПОСТОЯННОГО ПРОЖИВАНИЯ И ВОЗРАСТНЫМ ГРУППАМ					
					
	Всего	в том числе в возрасте			Возраст не указан
		моложе трудоспособного	трудоспособном	старше трудоспособного	
Городское и сельское население					
Мужчины и женщины, временно находившиеся на территории Российской Федерации 	156317.0	2063.0	149243.0	3055.0	1956.0
из них постоянно проживают:					
в странах СНГ	106713.0	1620.0	101626.0	2169.0	1298.0
Азербайджане	11160.0	332.0	10419.0	245.0	164.0
Армении	7878.0	158.0	7317.0	276.0	127.0
Белоруссии	5026.0	19.0	4883.0	91.0	33.0
Грузии	3790.0	68.0	3537.0	123.0	62.0
Казахстане	2648.0	41.0	2490.0	80.0	37.0
Киргизии	8147.0	230.0	7717.0	98.0	102.0
Молдавии	7663.0	102.0	7293.0	137.0	131.0
Таджикистане	23050.0	312.0	22279.0	242.0	217.0
Туркмении	274.0	8.0	254.0	9.0	3.0
Узбекистане	13541.0	216.0	12915.0	250.0	160.0
Украине	23536.0	134.0	22522.0	618.0	262.0
в странах Европы	3353.0	16.0	3159.0	148.0	30.0
в странах Азии	32760.0	187.0	31942.0	373.0	258.0
прочих странах	649.0	9.0	605.0	26.0	9.0
территория не указана	12842.0	231.0	11911.0	339.0	361.0
Мужчины, временно находившиеся на территории Российской Федерации	127294.0	1358.0	122383.0	2027.0	1526.0
из них постоянно проживают:					
в странах СНГ	88367.0	1073.0	84852.0	1433.0	1009.0
Азербайджане	9648.0	213.0	9103.0	190.0	142.0
Армении	6776.0	88.0	6362.0	216.0	110.0
Белоруссии	4495.0	12.0	4392.0	62.0	29.0
Грузии	3058.0	40.0	2892.0	80.0	46.0
Казахстане	2007.0	31.0	1920.0	34.0	22.0
Киргизии	5318.0	139.0	5054.0	53.0	72.0
Молдавии	5592.0	66.0	5363.0	84.0	79.0
Таджикистане	21606.0	250.0	20953.0	204.0	199.0
Туркмении	218.0	4.0	206.0	6.0	2.0
Узбекистане	10925.0	144.0	10516.0	142.0	123.0
Украине	18724.0	86.0	18091.0	362.0	185.0
в странах Европы	3036.0	11.0	2886.0	112.0	27.0
в странах Азии	25436.0	131.0	24862.0	247.0	196.0
прочих странах	527.0	3.0	496.0	21.0	7.0
территория не указана	9928.0	140.0	9287.0	214.0	287.0
Женщины, временно находившиеся на территории Российской Федерации	29023.0	705.0	26860.0	1028.0	430.0
из них постоянно проживают:					
в странах СНГ	18346.0	547.0	16774.0	736.0	289.0
Азербайджане	1512.0	119.0	1316.0	55.0	22.0
Армении	1102.0	70.0	955.0	60.0	17.0
Белоруссии	531.0	7.0	491.0	29.0	4.0
Грузии	732.0	28.0	645.0	43.0	16.0
Казахстане	641.0	10.0	570.0	46.0	15.0
Киргизии	2829.0	91.0	2663.0	45.0	30.0
Молдавии	2071.0	36.0	1930.0	53.0	52.0
Таджикистане	1444.0	62.0	1326.0	38.0	18.0
Туркмении	56.0	4.0	48.0	3.0	1.0
Узбекистане	2616.0	72.0	2399.0	108.0	37.0
Украине	4812.0	48.0	4431.0	256.0	77.0
в странах Европы	317.0	5.0	273.0	36.0	3.0
в странах Азии	7324.0	56.0	7080.0	126.0	62.0
прочих странах	122.0	6.0	109.0	5.0	2.0
территория не указана	2914.0	91.0	2624.0	125.0	74.0
Городское население					
Мужчины и женщины, временно находившиеся на территории Российской Федерации 	128187.0	1715.0	122386.0	2499.0	1587.0
из них постоянно проживают:					
в странах СНГ	85016.0	1310.0	81016.0	1698.0	992.0
Азербайджане	10073.0	312.0	9420.0	224.0	117.0
Армении	6251.0	126.0	5824.0	225.0	76.0
Белоруссии	3807.0	14.0	3704.0	59.0	30.0
Грузии	3256.0	55.0	3046.0	107.0	48.0
Казахстане	2094.0	39.0	1961.0	66.0	28.0
Киргизии	7629.0	215.0	7232.0	92.0	90.0
Молдавии	5867.0	46.0	5621.0	103.0	97.0
Таджикистане	18802.0	238.0	18205.0	182.0	177.0
Туркмении	234.0	8.0	215.0	8.0	3.0
Узбекистане	10250.0	170.0	9761.0	191.0	128.0
Украине	16753.0	87.0	16027.0	441.0	198.0
в странах Европы	3044.0	16.0	2853.0	145.0	30.0
в странах Азии	28985.0	180.0	28207.0	353.0	245.0
прочих странах	611.0	9.0	568.0	26.0	8.0
территория не указана	10531.0	200.0	9742.0	277.0	312.0
Мужчины, временно находившиеся на территории Российской Федерации	102675.0	1119.0	98680.0	1658.0	1218.0
из них постоянно проживают:					
в странах СНГ	69530.0	861.0	66793.0	1125.0	751.0
Азербайджане	8657.0	202.0	8184.0	173.0	98.0
Армении	5294.0	66.0	4994.0	171.0	63.0
Белоруссии	3322.0	8.0	3251.0	36.0	27.0
Грузии	2574.0	33.0	2441.0	66.0	34.0
Казахстане	1565.0	30.0	1491.0	30.0	14.0
Киргизии	4886.0	129.0	4649.0	48.0	60.0
Молдавии	4218.0	28.0	4063.0	64.0	63.0
Таджикистане	17684.0	194.0	17172.0	156.0	162.0
Туркмении	186.0	4.0	174.0	6.0	2.0
Узбекистане	8050.0	112.0	7731.0	111.0	96.0
Украине	13094.0	55.0	12643.0	264.0	132.0
в странах Европы	2748.0	11.0	2599.0	111.0	27.0
в странах Азии	21959.0	125.0	21418.0	233.0	183.0
прочих странах	493.0	3.0	463.0	21.0	6.0
территория не указана	7945.0	119.0	7407.0	168.0	251.0
Женщины, временно находившиеся на территории Российской Федерации	25512.0	596.0	23706.0	841.0	369.0
из них постоянно проживают:					
в странах СНГ	15486.0	449.0	14223.0	573.0	241.0
Азербайджане	1416.0	110.0	1236.0	51.0	19.0
Армении	957.0	60.0	830.0	54.0	13.0
Белоруссии	485.0	6.0	453.0	23.0	3.0
Грузии	682.0	22.0	605.0	41.0	14.0
Казахстане	529.0	9.0	470.0	36.0	14.0
Киргизии	2743.0	86.0	2583.0	44.0	30.0
Молдавии	1649.0	18.0	1558.0	39.0	34.0
Таджикистане	1118.0	44.0	1033.0	26.0	15.0
Туркмении	48.0	4.0	41.0	2.0	1.0
Узбекистане	2200.0	58.0	2030.0	80.0	32.0
Украине	3659.0	32.0	3384.0	177.0	66.0
в странах Европы	296.0	5.0	254.0	34.0	3.0
в странах Азии	7026.0	55.0	6789.0	120.0	62.0
прочих странах	118.0	6.0	105.0	5.0	2.0
территория не указана	2586.0	81.0	2335.0	109.0	61.0
Сельское население 					
Мужчины и женщины, временно находившиеся на территории Российской Федерации 	28130.0	348.0	26857.0	556.0	369.0
из них постоянно проживают:					
в странах СНГ	21697.0	310.0	20610.0	471.0	306.0
Азербайджане	1087.0	20.0	999.0	21.0	47.0
Армении	1627.0	32.0	1493.0	51.0	51.0
Белоруссии	1219.0	5.0	1179.0	32.0	3.0
Грузии	534.0	13.0	491.0	16.0	14.0
Казахстане	554.0	2.0	529.0	14.0	9.0
Киргизии	518.0	15.0	485.0	6.0	12.0
Молдавии	1796.0	56.0	1672.0	34.0	34.0
Таджикистане	4248.0	74.0	4074.0	60.0	40.0
Туркмении	40.0	-	39.0	1.0	-
Узбекистане	3291.0	46.0	3154.0	59.0	32.0
Украине	6783.0	47.0	6495.0	177.0	64.0
в странах Европы	309.0	-	306.0	3.0	-
в странах Азии	3775.0	7.0	3735.0	20.0	13.0
прочих странах	38.0	-	37.0	-	1.0
