1. НАСЕЛЕНИЕ ПО ТИПАМ ЗАНИМАЕМЫХ ЖИЛЫХ ПОМЕЩЕНИЙ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Городские и сельские населенные пункты	Городские населенные пункты	Сельские населенные пункты	В процентах		
				городские и сельские населенные пункты	городские населенные пункты	сельские населенные пункты
Российская Федерация						
Все население	145166731.0	106429049.0	38737682.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	37609809.0	14466175.0	23143634.0	25.9080084954	13.5923182025	59.8
в отдельных квартирах	96330241.0	81982204.0	14348037.0	66.3583455634	77.0299131396	37.0389663481
в коммунальных квартирах	2270936.0	2121697.0	149239.0	1.56436394507	1.9935318599	0.385255369694
в общежитиях	4721236.0	4457873.0	263363.0	3.2	4.18858670813	0.679862568958
в институциональных учреждениях	2270074.0	1713821.0	556253.0	1.5637701451	1.61029438495	1.43594807764
в гостиницах	48032.0	42550.0	5482.0	0.0330874709853	0.1	0.0141515953381
в других жилых помещениях	1121458.0	976251.0	145207.0	0.772531000922	0.917278702735	0.374846899719
бездомные	142559.0	134409.0	8150.0	0.0982036304172	0.126289768877	0.0210389460061
не указали тип жилого помещения	652386.0	534069.0	118317.0	0.449404622882	0.501807546923	0.305431285228
Центральный федеральный округ						
Все население	38000651.0	30366977.0	7633674.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	7168698.0	2833507.0	4335191.0	18.8646715552	9.33088268878	56.7903607097
в отдельных квартирах	27399440.0	24345293.0	3054147.0	72.1025542431	80.1702882707	40.0088738398
в коммунальных квартирах	726443.0	687528.0	38915.0	1.91165935552	2.26406467789	0.509780742536
в общежитиях	1126550.0	1067724.0	58826.0	2.96455447566	3.5160694461	0.770611896709
в институциональных учреждениях	472634.0	360980.0	111654.0	1.24375237677	1.18872550271	1.46265088082
в гостиницах	26727.0	25371.0	1356.0	0.0703330056109	0.0835479935984	0.0177633993802
в других жилых помещениях	806620.0	799081.0	7539.0	2.12264784622	2.63141438148	0.098759784607
бездомные	31036.0	29971.0	1065.0	0.0816722850353	0.098696027596	0.0139513424335
не указали тип жилого помещения	242503.0	217522.0	24981.0	0.638154856873	0.716311011136	0.327247404068
Белгородская область						
Все население	1511620.0	985584.0	526036.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	651320.0	222243.0	429077.0	43.0875484579	22.6	81.5679915443
в отдельных квартирах	770930.0	683434.0	87496.0	51.0002513859	69.4	16.6330821465
в коммунальных квартирах	8820.0	7284.0	1536.0	0.583479975126	0.739054205425	0.291995224661
в общежитиях	60138.0	56237.0	3901.0	3.97838080999	5.70595707723	0.8
в институциональных учреждениях	13777.0	12166.0	1611.0	0.911406305818	1.23439503888	0.306252803991
в гостиницах	133.0	115.0	18.0	0.00879850756142	0.0116682088995	0.003421819039
в других жилых помещениях	462.0	275.0	187.0	0.0305632367923	0.0279022386727	0.0355488977941
бездомные	258.0	207.0	51.0	0.0170677815853	0.0210027760191	0.00969515394384
не указали тип жилого помещения	5782.0	3623.0	2159.0	0.382503539249	0.367599311677	0.410428183622
Брянская область						
Все население	1378941.0	943382.0	435559.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	624024.0	304209.0	319815.0	45.2538578518	32.3	73.4263325979
в отдельных квартирах	676244.0	569168.0	107076.0	49.0408219061	60.3327178174	24.5835810992
в коммунальных квартирах	7265.0	6692.0	573.0	0.526853578217	0.709362697189	0.13155508209
в общежитиях	52295.0	47966.0	4329.0	3.79240301072	5.08447267385	0.993895201339
в институциональных учреждениях	13955.0	12042.0	1913.0	1.01200849057	1.27647124919	0.5
в гостиницах	39.0	27.0	12.0	0.00282825733661	0.00286204315961	0.00275508025319
в других жилых помещениях	603.0	149.0	454.0	0.1	0.0157942381771	0.104233869579
бездомные	428.0	357.0	71.0	0.0310383112838	0.037842570666	0.0163008914981
не указали тип жилого помещения	4088.0	2772.0	1316.0	0.296459384412	0.293836431053	0.302140467767
Владимирская область						
Все население	1523990.0	1213865.0	310125.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	277977.0	143362.0	134615.0	18.2400803155	11.8103743003	43.4066908505
в отдельных квартирах	1146489.0	982504.0	163985.0	75.2294306393	80.9401374947	52.8770656993
в коммунальных квартирах	22811.0	21081.0	1730.0	1.49679459839	1.73668406289	0.557839580814
в общежитиях	43650.0	40907.0	2743.0	2.86419202226	3.36997936344	0.884482063684
в институциональных учреждениях	27284.0	21220.0	6064.0	1.79030046129	1.8	1.9
в гостиницах	78.0	67.0	11.0	0.00511814381984	0.00551955942382	0.00354695687223
в других жилых помещениях	214.0	82.0	132.0	0.0140420868903	0.00675528168289	0.0425634824667
бездомные	263.0	236.0	27.0	0.0172573310848	0.0194420302093	0.0087061668682
не указали тип жилого помещения	5224.0	4406.0	818.0	0.4	0.362972818229	0.263764611044
Воронежская область						
Все население	2378803.0	1471799.0	907004.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	1038229.0	325307.0	712922.0	43.7	22.1026784228	78.6018584262
в отдельных квартирах	1204615.0	1026132.0	178483.0	50.6395443423	69.7195744799	19.6783035135
в коммунальных квартирах	30782.0	27836.0	2946.0	1.29401215653	1.89129086241	0.32480562379
в общежитиях	66748.0	63672.0	3076.0	2.80594904244	4.32613420718	0.4
в институциональных учреждениях	26923.0	19970.0	6953.0	1.13178771004	1.35684288412	0.766589783507
в гостиницах	152.0	81.0	71.0	0.00638976829943	0.005503468884	0.00782796988767
в других жилых помещениях	1403.0	1058.0	345.0	0.0589792429218	0.0718848157935	0.0380373184683
бездомные	248.0	207.0	41.0	0.0104254114359	0.0140644204813	0.00452037697739
не указали тип жилого помещения	9703.0	7536.0	2167.0	0.40789422243	0.512026438393	0.23891846122
Ивановская область						
Все население	1148329.0	949249.0	199080.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	293494.0	196551.0	96943.0	25.5583547921	20.7059475438	48.6954992968
в отдельных квартирах	780342.0	685461.0	94881.0	67.9545670274	72.2108740699	47.65973478
в коммунальных квартирах	19452.0	19006.0	446.0	1.6939396288	2.00221438211	0.224030540486
в общежитиях	22693.0	21457.0	1236.0	1.97617581721	2.26041849926	0.620855937312
в институциональных учреждениях	24328.0	19502.0	4826.0	2.11855661574	2.0	2.42415109504
в гостиницах	33.0	23.0	10.0	0.00287374088785	0.00242296805159	0.00502310628893
в других жилых помещениях	135.0	47.0	88.0	0.011756212723	0.0049512825402	0.1
бездомные	1736.0	1716.0	20.0	0.1	0.180774485936	0.0100462125779
не указали тип жилого помещения	6116.0	5486.0	630.0	0.532599977881	0.577930553522	0.316455696203
Калужская область						
Все население	1041641.0	779481.0	262160.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	190191.0	79255.0	110936.0	18.2587858965	10.1676628423	42.3161428135
в отдельных квартирах	775336.0	631757.0	143579.0	74.434090056	81.1	54.767699115
в коммунальных квартирах	9735.0	8713.0	1022.0	0.934583028126	1.11779504568	0.389838266707
в общежитиях	48968.0	46096.0	2872.0	4.70104383372	5.91367846041	1.09551418981
в институциональных учреждениях	12998.0	9996.0	3002.0	1.3	1.28239174528	1.14510222765
в гостиницах	64.0	55.0	9.0	0.00614415139189	0.00705597698982	0.00343301800427
в других жилых помещениях	301.0	137.0	164.0	0.028896712015	0.0175757972292	0.0625572169667
бездомные	411.0	355.0	56.0	0.0394569722198	0.045543124207	0.0213610009155
не указали тип жилого помещения	3637.0	3117.0	520.0	0.4	0.399881459587	0.198352151358
Костромская область						
Все население	736641.0	496145.0	240496.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	159736.0	70150.0	89586.0	21.6843754285	14.2	37.2
в отдельных квартирах	532037.0	389533.0	142504.0	72.2247336219	78.5119269568	59.2542079702
в коммунальных квартирах	6357.0	5803.0	554.0	0.862971243794	1.16961775287	0.230357261659
в общежитиях	23583.0	21026.0	2557.0	3.20142376001	4.23787400861	1.06321934668
в институциональных учреждениях	13232.0	8413.0	4819.0	1.79626167971	1.69567364379	2.00377553057
в гостиницах	78.0	78.0	-	0.0105886042183	0.0157212105332	-
в других жилых помещениях	93.0	49.0	44.0	0.0126248742603	0.00987614507856	0.0182955225867
бездомные	182.0	134.0	48.0	0.0247067431761	0.0270082334801	0.0199587519127
не указали тип жилого помещения	1343.0	959.0	384.0	0.182314044426	0.193290267966	0.159670015302
Курская область						
Все население	1235091.0	756480.0	478611.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	550409.0	161923.0	388486.0	44.564246683	21.4047958968	81.1694674799
в отдельных квартирах	618984.0	536699.0	82285.0	50.1164691509	71.0	17.1924590116
в коммунальных квартирах	9007.0	7917.0	1090.0	0.72925800609	1.04655774112	0.227742362796
в общежитиях	42128.0	40074.0	2054.0	3.41092275792	5.29743020305	0.429158544204
в институциональных учреждениях	10645.0	7629.0	3016.0	0.861879812904	1.00848667513	0.630156849717
в гостиницах	171.0	137.0	34.0	0.0138451336784	0.0181101945854	0.00710389021564
в других жилых помещениях	353.0	137.0	216.0	0.0285808899911	0.0181101945854	0.1
бездомные	74.0	49.0	25.0	0.00599146135791	0.00647736886633	0.00522344868797
не указали тип жилого помещения	3320.0	1915.0	1405.0	0.268806104166	0.253146150592	0.293557816264
Липецкая область						
Все население	1213499.0	779983.0	433516.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	415045.0	137268.0	277777.0	34.2023355602	17.598845103	64.0753743806
