2. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, ПРОЖИВАЮЩИЕ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ, ПО ТИПАМ ЖИЛЫХ ПОМЕЩЕНИЙ, ЧИСЛУ ЗАНИМАЕМЫХ КОМНАТ И РАЗМЕРУ ДОМОХОЗЯЙСТВ								
								
	Всего частных домохозяйств	в том числе домохозяйства, состоящие из						Средний размер домохозяйства, человек
		1 человека	2 человек	3 человек	4 человек	5 и более человек		
						число домохозяйств	в них населения	
Российская Федерация								
Городские и сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	48368354.0	10223611.0	13551373.0	11586412.0	8379619.0	4627339.0	26174764.0	2.7
в том числе проживают:								
в индивидуальных домах	12953678.0	2973028.0	3624684.0	2437164.0	2111649.0	1807153.0	10660697.0	2.8
в них занимают:								
1 комнату	2177619.0	884113.0	663393.0	302226.0	199785.0	128102.0	719974.0	2.1
2 комнаты	4280546.0	1233377.0	1381804.0	738717.0	544707.0	381941.0	2172222.0	2.5
3 комнаты	3732178.0	573877.0	1004046.0	835185.0	745856.0	573214.0	3301498.0	3.0
4 и более комнат	2742635.0	274323.0	570565.0	557774.0	618676.0	721297.0	4449638.0	3.7
не указавшие число комнат	20700.0	7338.0	4876.0	3262.0	2625.0	2599.0	17365.0	2.6
в отдельных квартирах	34463400.0	6913823.0	9677153.0	8950878.0	6152705.0	2768841.0	15221948.0	2.7
в них занимают:								
часть комнаты	29240.0	18843.0	5901.0	3005.0	1091.0	400.0	2230.0	1.6
1 комнату	7094598.0	3143298.0	2149443.0	1220974.0	462444.0	118439.0	643530.0	1.9
2 комнаты	15311384.0	2807996.0	4948265.0	4286389.0	2446228.0	822506.0	4432413.0	2.6
3 комнаты	10180569.0	780693.0	2241981.0	2988460.0	2741709.0	1427726.0	7851904.0	3.2
4 и более комнат 	1627442.0	98591.0	275733.0	411149.0	463873.0	378096.0	2160618.0	3.6
не указавшие число комнат	220167.0	64402.0	55830.0	40901.0	37360.0	21674.0	131253.0	2.6
в коммунальных квартирах	951276.0	336760.0	249536.0	198370.0	115265.0	51345.0	292119.0	2.3
в них занимают:								
часть комнаты	16081.0	10199.0	2932.0	1741.0	815.0	394.0	2234.0	1.7
1 комнату	610438.0	276719.0	167881.0	107122.0	44536.0	14180.0	79682.0	2.0
2 комнаты	238685.0	35725.0	61604.0	68760.0	50738.0	21858.0	120800.0	2.9
3 комнаты	43900.0	3986.0	7761.0	11810.0	11762.0	8581.0	49041.0	3.4
4 и более комнат 	11505.0	905.0	1640.0	2300.0	3056.0	3604.0	22518.0	4.0
не указавшие число комнат	30667.0	9226.0	7718.0	6637.0	4358.0	2728.0	17844.0	2.6
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	1619628.0	336555.0	440535.0	441026.0	258493.0	143019.0	857478.0	2.7
Городские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	35364766.0	7371293.0	9989584.0	8958140.0	6128998.0	2916751.0	16230811.0	2.7
в том числе проживают:								
в индивидуальных домах	4870200.0	1005626.0	1337453.0	1028380.0	859619.0	639122.0	3752082.0	2.9
в них занимают:								
1 комнату	582631.0	218764.0	175817.0	99545.0	60122.0	28383.0	159108.0	2.2
2 комнаты	1436413.0	386019.0	454573.0	284658.0	199974.0	111189.0	629368.0	2.5
3 комнаты	1587782.0	262964.0	436626.0	374678.0	311144.0	202370.0	1151410.0	2.9
4 и более комнат	1250935.0	134014.0	267366.0	267309.0	286659.0	295587.0	1801376.0	3.5
не указавшие число комнат	12439.0	3865.0	3071.0	2190.0	1720.0	1593.0	10820.0	2.8
в отдельных квартирах	29598314.0	6045513.0	8415517.0	7742667.0	5162329.0	2232288.0	12221547.0	2.7
в них занимают:								
часть комнаты	26653.0	17284.0	5420.0	2704.0	947.0	298.0	1665.0	1.6
1 комнату	6356094.0	2831911.0	1947648.0	1090618.0	394452.0	91465.0	494121.0	1.9
2 комнаты	13503561.0	2455366.0	4431327.0	3820800.0	2112425.0	683643.0	3667652.0	2.6
3 комнаты	8208757.0	601749.0	1768866.0	2463066.0	2246635.0	1128441.0	6177878.0	3.3
4 и более комнат 	1290568.0	76780.0	208294.0	326192.0	371741.0	307561.0	1754013.0	3.7
не указавшие число комнат	212681.0	62423.0	53962.0	39287.0	36129.0	20880.0	126218.0	2.6
в коммунальных квартирах	896252.0	320154.0	236614.0	187093.0	107050.0	45341.0	257182.0	2.3
в них занимают:								
часть комнаты	14058.0	8998.0	2602.0	1470.0	689.0	299.0	1689.0	1.6
1 комнату	582793.0	264541.0	160978.0	102222.0	42043.0	13009.0	72983.0	1.9
2 комнаты	222687.0	33607.0	57666.0	64670.0	47304.0	19440.0	107058.0	2.9
3 комнаты	38899.0	3658.0	6892.0	10661.0	10451.0	7237.0	41239.0	3.4
4 и более комнат 	9625.0	818.0	1393.0	1964.0	2559.0	2891.0	17946.0	3.9
не указавшие число комнат	28190.0	8532.0	7083.0	6106.0	4004.0	2465.0	16267.0	2.6
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	1341589.0	284803.0	375481.0	370178.0	206813.0	104314.0	624841.0	2.7
Сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	13003588.0	2852318.0	3561789.0	2628272.0	2250621.0	1710588.0	9943953.0	2.8
в том числе проживают:								
в индивидуальных домах	8083478.0	1967402.0	2287231.0	1408784.0	1252030.0	1168031.0	6908615.0	2.8
в них занимают:								
1 комнату	1594988.0	665349.0	487576.0	202681.0	139663.0	99719.0	560866.0	2.1
2 комнаты	2844133.0	847358.0	927231.0	454059.0	344733.0	270752.0	1542854.0	2.5
3 комнаты	2144396.0	310913.0	567420.0	460507.0	434712.0	370844.0	2150088.0	3.1
4 и более комнат	1491700.0	140309.0	303199.0	290465.0	332017.0	425710.0	2648262.0	3.8
не указавшие число комнат	8261.0	3473.0	1805.0	1072.0	905.0	1006.0	6545.0	2.5
в отдельных квартирах	4865086.0	868310.0	1261636.0	1208211.0	990376.0	536553.0	3000401.0	2.9
в них занимают:								
часть комнаты	2587.0	1559.0	481.0	301.0	144.0	102.0	565.0	1.8
1 комнату	738504.0	311387.0	201795.0	130356.0	67992.0	26974.0	149409.0	2.1
2 комнаты	1807823.0	352630.0	516938.0	465589.0	333803.0	138863.0	764761.0	2.7
3 комнаты	1971812.0	178944.0	473115.0	525394.0	495074.0	299285.0	1674026.0	3.2
4 и более комнат 	336874.0	21811.0	67439.0	84957.0	92132.0	70535.0	406605.0	3.5
не указавшие число комнат	7486.0	1979.0	1868.0	1614.0	1231.0	794.0	5035.0	2.7
в коммунальных квартирах	55024.0	16606.0	12922.0	11277.0	8215.0	6004.0	34937.0	2.6
в них занимают:								
часть комнаты	2023.0	1201.0	330.0	271.0	126.0	95.0	545.0	1.8
1 комнату	27645.0	12178.0	6903.0	4900.0	2493.0	1171.0	6699.0	2.1
2 комнаты	15998.0	2118.0	3938.0	4090.0	3434.0	2418.0	13742.0	3.1
3 комнаты	5001.0	328.0	869.0	1149.0	1311.0	1344.0	7802.0	3.7
4 и более комнат 	1880.0	87.0	247.0	336.0	497.0	713.0	4572.0	4.3
не указавшие число комнат	2477.0	694.0	635.0	531.0	354.0	263.0	1577.0	2.6
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	278039.0	51752.0	65054.0	70848.0	51680.0	38705.0	232637.0	3.0
Центральный федеральный округ								
Белгородская область								
Городские и сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	511438.0	108048.0	141603.0	121279.0	89539.0	50969.0	282058.0	2.7
в том числе проживают:								
в индивидуальных домах	240892.0	61826.0	70231.0	43559.0	35933.0	29343.0	164471.0	2.7
в них занимают:								
1 комнату	15564.0	7490.0	4392.0	1850.0	1179.0	653.0	3588.0	1.9
2 комнаты	64333.0	24259.0	20898.0	8966.0	6072.0	4138.0	23069.0	2.2
3 комнаты	71953.0	16807.0	21947.0	13977.0	10960.0	8262.0	45933.0	2.7
4 и более комнат	88606.0	13156.0	22880.0	18691.0	17644.0	16235.0	91555.0	3.1
не указавшие число комнат	436.0	114.0	114.0	75.0	78.0	55.0	326.0	2.8
в отдельных квартирах	267382.0	45379.0	70614.0	76950.0	53103.0	21336.0	115914.0	2.8
в них занимают:								
часть комнаты	177.0	103.0	43.0	19.0	11.0	1.0	5.0	1.7
1 комнату	52984.0	20203.0	15766.0	11886.0	4364.0	765.0	4047.0	2.1
2 комнаты	105494.0	17541.0	33338.0	32407.0	17047.0	5161.0	27421.0	2.6
3 комнаты	85863.0	5919.0	17827.0	26705.0	24842.0	10570.0	57438.0	3.2
4 и более комнат 	20994.0	1067.0	3157.0	5486.0	6541.0	4743.0	26458.0	3.6
не указавшие число комнат	1870.0	546.0	483.0	447.0	298.0	96.0	545.0	2.5
в коммунальных квартирах	3164.0	843.0	758.0	770.0	503.0	290.0	1673.0	2.6
в них занимают:								
