3. ОБЩАЯ ПЛОЩАДЬ, В СРЕДНЕМ ПРИХОДЯЩАЯСЯ НА ОДНОГО ЧЛЕНА ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ПРОЖИВАЮЩИХ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ 1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
(кв. м на одного человека)						
						
	Средний размер общей площади, приходящейся на одного человека, проживающего	в частных домохозяйствах, состоящих из				
		1 человека	2 человек	3 человек	4 человек	5 и более человек
Российская Федерация						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	24.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	21.0	48.0	27.0	21.0	17.0	13.0
в отдельных квартирах	18.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	24.0	15.0	12.0	10.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	21.0	48.0	27.0	21.0	17.0	13.0
в отдельных квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	24.0	15.0	12.0	10.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	45.0	26.0	19.0	15.0	12.0
в том числе:						
в индивидуальных домах	21.0	47.0	27.0	20.0	17.0	13.0
в отдельных квартирах	18.0	41.0	25.0	18.0	14.0	10.0
в коммунальных квартирах	14.0	24.0	17.0	13.0	12.0	10.0
Центральный федеральный округ						
Белгородская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	21.0	47.0	27.0	19.0	16.0	12.0
в том числе:						
в индивидуальных домах	23.0	50.0	29.0	22.0	18.0	13.0
в отдельных квартирах	19.0	42.0	24.0	18.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	16.0	12.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	45.0	26.0	19.0	15.0	12.0
в том числе:						
в индивидуальных домах	24.0	54.0	32.0	24.0	19.0	14.0
в отдельных квартирах	19.0	42.0	24.0	18.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	16.0	12.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	22.0	49.0	28.0	21.0	17.0	12.0
в том числе:						
в индивидуальных домах	23.0	49.0	28.0	21.0	17.0	13.0
в отдельных квартирах	19.0	44.0	26.0	19.0	15.0	12.0
в коммунальных квартирах	13.0	22.0	16.0	12.0	11.0	9.0
Брянская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	21.0	47.0	27.0	19.0	16.0	12.0
в том числе:						
в индивидуальных домах	24.0	52.0	30.0	22.0	18.0	13.0
в отдельных квартирах	18.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	16.0	12.0	11.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	45.0	26.0	19.0	15.0	12.0
в том числе:						
в индивидуальных домах	24.0	55.0	31.0	23.0	19.0	14.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	16.0	12.0	11.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	23.0	50.0	28.0	21.0	17.0	12.0
в том числе:						
в индивидуальных домах	25.0	51.0	29.0	21.0	17.0	13.0
в отдельных квартирах	18.0	44.0	26.0	19.0	15.0	12.0
в коммунальных квартирах	15.0	24.0	17.0	14.0	13.0	10.0
Владимирская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	48.0	27.0	20.0	17.0	13.0
в отдельных квартирах	18.0	40.0	23.0	17.0	13.0	11.0
в коммунальных квартирах	13.0	23.0	15.0	11.0	9.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	23.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	23.0	49.0	28.0	21.0	17.0	13.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	15.0	12.0	9.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	21.0	45.0	25.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	25.0	48.0	26.0	19.0	16.0	12.0
в отдельных квартирах	17.0	39.0	23.0	17.0	13.0	10.0
в коммунальных квартирах	13.0	23.0	14.0	10.0	8.0	8.0
Воронежская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	21.0	46.0	26.0	19.0	16.0	12.0
в том числе:						
в индивидуальных домах	24.0	51.0	29.0	22.0	18.0	13.0
в отдельных квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	15.0	27.0	18.0	14.0	13.0	10.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	42.0	25.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	24.0	51.0	30.0	23.0	18.0	14.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	15.0	27.0	18.0	14.0	13.0	10.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	23.0	49.0	28.0	21.0	17.0	12.0
в том числе:						
в индивидуальных домах	24.0	50.0	29.0	22.0	17.0	13.0
в отдельных квартирах	19.0	40.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	15.0	29.0	18.0	15.0	12.0	9.0
Ивановская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	23.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	22.0	44.0	25.0	18.0	15.0	11.0
в отдельных квартирах	19.0	40.0	23.0	16.0	13.0	11.0
в коммунальных квартирах	15.0	24.0	16.0	12.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	21.0	45.0	25.0	18.0	15.0	11.0
в отдельных квартирах	19.0	40.0	23.0	16.0	13.0	11.0
в коммунальных квартирах	15.0	24.0	16.0	12.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	42.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	22.0	44.0	24.0	18.0	15.0	11.0
в отдельных квартирах	18.0	39.0	23.0	16.0	13.0	10.0
