4. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ПРОЖИВАЮЩЕЕ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ, ПО ПЕРИОДУ ПОСТРОЙКИ ДОМА И МАТЕРИАЛУ НАРУЖНЫХ СТЕН 1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего	из них проживают в домах, где материал наружных стен 						Не указали материал наружных стен
		кирпич, камень	панели	блоки	дерево	смешанный материал	другой материал	
Российская Федерация								
Городское и сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	131778833.0	47099467.0	38840425.0	7981134.0	25975769.0	7142667.0	3039738.0	1699633.0
в том числе построенных:								
в 1920 г. и ранее	3011263.0	1334777.0	2439.0	6118.0	1268833.0	280882.0	93392.0	24822.0
в 1921-1945 гг.	4817903.0	1524156.0	15192.0	83410.0	2441371.0	494890.0	209610.0	49274.0
в 1946-1956 гг.	10787480.0	2997219.0	72918.0	598153.0	5019851.0	1375552.0	597295.0	126492.0
в 1957-1970 гг.	36373119.0	14928739.0	6090993.0	2530992.0	8780459.0	2457685.0	1188573.0	395678.0
в 1971-1995 гг.	68650743.0	23015625.0	30306306.0	4343917.0	7428130.0	2094388.0	778983.0	683394.0
после 1995 г.	6860471.0	2917044.0	2103467.0	359192.0	855962.0	390917.0	154920.0	78969.0
не указавшие период постройки дома	1277854.0	381907.0	249110.0	59352.0	181163.0	48353.0	16965.0	341004.0
Проживающие в индивидуальных домах	36641181.0	9492560.0	247927.0	1082012.0	17796397.0	5123402.0	2436521.0	462362.0
в том числе построенных:								
в 1920 г. и ранее	1271253.0	218387.0	347.0	2272.0	811487.0	150526.0	77743.0	10491.0
в 1921-1945 гг.	2523079.0	313198.0	1597.0	15087.0	1659159.0	335251.0	175448.0	23339.0
