6. ЖИЛЫЕ ПОМЕЩЕНИЯ2) ПО ИХ ТИПАМ И ЧИСЛУ ПРОЖИВАЮЩИХ В НИХ ЧАСТНЫХ ДОМОХОЗЯЙСТВ
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
	Всего жилых помещений	в них проживает								
		одно домохозяйство	в том числе состоящее из					два домохозяйства	три домохозяйства	четыре домохозяйства и более
			1 человека 	2 человек	3 человек	4 человек	5 и более человек			
Российская Федерация										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	49073158.0	48359872.0	9983782.0	13556134.0	11688185.0	8451091.0	4680680.0	570196.0	107214.0	35876.0
в том числе:										
индивидуальные дома	13203910.0	13145903.0	2999874.0	3670487.0	2486433.0	2149954.0	1839155.0	48960.0	6872.0	2175.0
отдельные квартиры	35380728.0	35083477.0	6951379.0	9852451.0	9171373.0	6279915.0	2828359.0	261424.0	30006.0	5821.0
коммунальные квартиры	488520.0	130492.0	32529.0	33196.0	30379.0	21222.0	13166.0	259812.0	70336.0	27880.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	35886607.0	35251344.0	7127071.0	9968955.0	9024355.0	6175740.0	2955223.0	504796.0	97568.0	32899.0
в том числе:										
индивидуальные дома	4999934.0	4963846.0	1015680.0	1360251.0	1054266.0	879354.0	654295.0	31000.0	3896.0	1192.0
отдельные квартиры	30428824.0	30166890.0	6081130.0	8577977.0	7941950.0	5276861.0	2288972.0	230845.0	26245.0	4844.0
коммунальные квартиры	457849.0	120608.0	30261.0	30727.0	28139.0	19525.0	11956.0	242951.0	67427.0	26863.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	13186551.0	13108528.0	2856711.0	3587179.0	2663830.0	2275351.0	1725457.0	65400.0	9646.0	2977.0
в том числе:										
индивидуальные дома	8203976.0	8182057.0	1984194.0	2310236.0	1432167.0	1270600.0	1184860.0	17960.0	2976.0	983.0
отдельные квартиры	4951904.0	4916587.0	870249.0	1274474.0	1229423.0	1003054.0	539387.0	30579.0	3761.0	977.0
коммунальные квартиры	30671.0	9884.0	2268.0	2469.0	2240.0	1697.0	1210.0	16861.0	2909.0	1017.0
Центральный федеральный округ										
Белгородская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	520048.0	516096.0	107847.0	142785.0	123290.0	90630.0	51544.0	3450.0	396.0	106.0
в том числе:										
индивидуальные дома	243839.0	243274.0	62207.0	70807.0	44129.0	36411.0	29720.0	488.0	60.0	17.0
отдельные квартиры	274260.0	272035.0	45515.0	71795.0	78958.0	54073.0	21694.0	1965.0	216.0	44.0
коммунальные квартиры	1949.0	787.0	125.0	183.0	203.0	146.0	130.0	997.0	120.0	45.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	325196.0	321806.0	57379.0	86493.0	88253.0	61132.0	28549.0	2950.0	350.0	90.0
в том числе:										
индивидуальные дома	77881.0	77445.0	15844.0	21094.0	16633.0	13534.0	10340.0	367.0	53.0	16.0
отдельные квартиры	245681.0	243714.0	41437.0	65248.0	71451.0	47472.0	18106.0	1734.0	192.0	41.0
коммунальные квартиры	1634.0	647.0	98.0	151.0	169.0	126.0	103.0	849.0	105.0	33.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	194852.0	194290.0	50468.0	56292.0	35037.0	29498.0	22995.0	500.0	46.0	16.0
в том числе:										
индивидуальные дома	165958.0	165829.0	46363.0	49713.0	27496.0	22877.0	19380.0	121.0	7.0	1.0
отдельные квартиры	28579.0	28321.0	4078.0	6547.0	7507.0	6601.0	3588.0	231.0	24.0	3.0
коммунальные квартиры	315.0	140.0	27.0	32.0	34.0	20.0	27.0	148.0	15.0	12.0
Брянская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	491922.0	487527.0	113576.0	136388.0	112990.0	83496.0	41077.0	3822.0	470.0	103.0
в том числе:										
индивидуальные дома	243649.0	243058.0	66946.0	69895.0	45919.0	37927.0	22371.0	527.0	46.0	18.0
отдельные квартиры	246541.0	243810.0	46491.0	66304.0	66880.0	45470.0	18665.0	2430.0	256.0	45.0
коммунальные квартиры	1732.0	659.0	139.0	189.0	191.0	99.0	41.0	865.0	168.0	40.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	321156.0	317134.0	63245.0	87840.0	82600.0	56974.0	26475.0	3490.0	436.0	96.0
в том числе:										
индивидуальные дома	108719.0	108186.0	22427.0	29051.0	24705.0	20208.0	11795.0	476.0	41.0	16.0
отдельные квартиры	210831.0	208341.0	40686.0	58614.0	57718.0	36676.0	14647.0	2211.0	237.0	42.0
коммунальные квартиры	1606.0	607.0	132.0	175.0	177.0	90.0	33.0	803.0	158.0	38.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	170766.0	170393.0	50331.0	48548.0	30390.0	26522.0	14602.0	332.0	34.0	7.0
в том числе:										
индивидуальные дома	134930.0	134872.0	44519.0	40844.0	21214.0	17719.0	10576.0	51.0	5.0	2.0
отдельные квартиры	35710.0	35469.0	5805.0	7690.0	9162.0	8794.0	4018.0	219.0	19.0	3.0
коммунальные квартиры	126.0	52.0	7.0	14.0	14.0	9.0	8.0	62.0	10.0	2.0
Владимирская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	560122.0	552000.0	131207.0	162411.0	136177.0	84892.0	37313.0	6987.0	886.0	249.0
в том числе:										
индивидуальные дома	119574.0	119332.0	39805.0	37222.0	20117.0	13820.0	8368.0	222.0	18.0	2.0
отдельные квартиры	435375.0	431239.0	91048.0	124819.0	115702.0	70844.0	28826.0	3802.0	311.0	23.0
коммунальные квартиры	5173.0	1429.0	354.0	370.0	358.0	228.0	119.0	2963.0	557.0	224.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	438078.0	430714.0	94912.0	126901.0	113041.0	67845.0	28015.0	6294.0	835.0	235.0
в том числе:										
индивидуальные дома	57286.0	57093.0	15695.0	17235.0	11604.0	7993.0	4566.0	174.0	17.0	2.0
отдельные квартиры	376066.0	372365.0	78897.0	109346.0	101123.0	59655.0	23344.0	3398.0	283.0	20.0
коммунальные квартиры	4726.0	1256.0	320.0	320.0	314.0	197.0	105.0	2722.0	535.0	213.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	122044.0	121286.0	36295.0	35510.0	23136.0	17047.0	9298.0	693.0	51.0	14.0
в том числе:										
индивидуальные дома	62288.0	62239.0	24110.0	19987.0	8513.0	5827.0	3802.0	48.0	1.0	-
отдельные квартиры	59309.0	58874.0	12151.0	15473.0	14579.0	11189.0	5482.0	404.0	28.0	3.0
коммунальные квартиры	447.0	173.0	34.0	50.0	44.0	31.0	14.0	241.0	22.0	11.0
Воронежская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	856609.0	844657.0	196147.0	243597.0	199260.0	135470.0	70183.0	9875.0	1675.0	402.0
в том числе:										
индивидуальные дома	405655.0	404166.0	108208.0	120564.0	79154.0	59402.0	36838.0	1227.0	213.0	49.0
отдельные квартиры	444651.0	438585.0	87591.0	122516.0	119646.0	75728.0	33104.0	5221.0	724.0	121.0
коммунальные квартиры	6303.0	1906.0	348.0	517.0	460.0	340.0	241.0	3427.0	738.0	232.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	503215.0	492335.0	99586.0	137982.0	131627.0	83386.0	39754.0	8910.0	1586.0	384.0
в том числе:										
индивидуальные дома	117202.0	115848.0	24546.0	31794.0	27603.0	19827.0	12078.0	1102.0	208.0	44.0
отдельные квартиры	380390.0	374917.0	74741.0	105759.0	103641.0	63292.0	27484.0	4692.0	666.0	115.0
коммунальные квартиры	5623.0	1570.0	299.0	429.0	383.0	267.0	192.0	3116.0	712.0	225.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	353394.0	352322.0	96561.0	105615.0	67633.0	52084.0	30429.0	965.0	89.0	18.0
в том числе:										
индивидуальные дома	288453.0	288318.0	83662.0	88770.0	51551.0	39575.0	24760.0	125.0	5.0	5.0
отдельные квартиры	64261.0	63668.0	12850.0	16757.0	16005.0	12436.0	5620.0	529.0	58.0	6.0
коммунальные квартиры	680.0	336.0	49.0	88.0	77.0	73.0	49.0	311.0	26.0	7.0
Ивановская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	440088.0	432919.0	111338.0	132964.0	104055.0	61338.0	23224.0	6200.0	827.0	142.0
в том числе:										
индивидуальные дома	125243.0	124743.0	38403.0	40327.0	23194.0	15525.0	7294.0	464.0	33.0	3.0
отдельные квартиры	309991.0	306914.0	72560.0	92283.0	80610.0	45632.0	15829.0	2788.0	246.0	43.0
коммунальные квартиры	4854.0	1262.0	375.0	354.0	251.0	181.0	101.0	2948.0	548.0	96.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	361104.0	354195.0	88794.0	108976.0	88390.0	49689.0	18346.0	5966.0	806.0	137.0
в том числе:										
индивидуальные дома	81643.0	81179.0	23161.0	25781.0	16601.0	10756.0	4880.0	433.0	29.0	2.0
отдельные квартиры	274738.0	271821.0	65270.0	82864.0	71554.0	38764.0	13369.0	2643.0	233.0	41.0
коммунальные квартиры	4723.0	1195.0	363.0	331.0	235.0	169.0	97.0	2890.0	544.0	94.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	78984.0	78724.0	22544.0	23988.0	15665.0	11649.0	4878.0	234.0	21.0	5.0
в том числе:										
индивидуальные дома	43600.0	43564.0	15242.0	14546.0	6593.0	4769.0	2414.0	31.0	4.0	1.0
отдельные квартиры	35253.0	35093.0	7290.0	9419.0	9056.0	6868.0	2460.0	145.0	13.0	2.0
коммунальные квартиры	131.0	67.0	12.0	23.0	16.0	12.0	4.0	58.0	4.0	2.0
Калужская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	373191.0	369573.0	86155.0	107767.0	88505.0	59300.0	27846.0	3156.0	382.0	80.0
в том числе:										
индивидуальные дома	83500.0	83321.0	29602.0	26835.0	11999.0	8820.0	6065.0	168.0	10.0	1.0
отдельные квартиры	287301.0	285375.0	56336.0	80721.0	76267.0	50336.0	21715.0	1739.0	168.0	19.0
коммунальные квартиры	2390.0	877.0	217.0	211.0	239.0	144.0	66.0	1249.0	204.0	60.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	270099.0	266896.0	55154.0	77540.0	70200.0	44806.0	19196.0	2791.0	340.0	72.0
в том числе:										
индивидуальные дома	31502.0	31359.0	8860.0	9702.0	5696.0	4254.0	2847.0	132.0	10.0	1.0
отдельные квартиры	236451.0	234769.0	46099.0	67652.0	64293.0	40427.0	16298.0	1521.0	145.0	16.0
коммунальные квартиры	2146.0	768.0	195.0	186.0	211.0	125.0	51.0	1138.0	185.0	55.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	103092.0	102677.0	31001.0	30227.0	18305.0	14494.0	8650.0	365.0	42.0	8.0
в том числе:										
индивидуальные дома	51998.0	51962.0	20742.0	17133.0	6303.0	4566.0	3218.0	36.0	-	-
отдельные квартиры	50850.0	50606.0	10237.0	13069.0	11974.0	9909.0	5417.0	218.0	23.0	3.0
коммунальные квартиры	244.0	109.0	22.0	25.0	28.0	19.0	15.0	111.0	19.0	5.0
Костромская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	278178.0	275689.0	67736.0	83781.0	66983.0	41712.0	15477.0	2132.0	284.0	73.0
в том числе:										
индивидуальные дома	69172.0	69056.0	21586.0	22892.0	12412.0	8246.0	3920.0	99.0	13.0	4.0
отдельные квартиры	207492.0	206272.0	46049.0	60798.0	54479.0	33408.0	11538.0	1121.0	87.0	12.0
коммунальные квартиры	1514.0	361.0	101.0	91.0	92.0	58.0	19.0	912.0	184.0	57.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	183258.0	181011.0	41802.0	54417.0	47495.0	27789.0	9508.0	1912.0	264.0	71.0
в том числе:										
индивидуальные дома	28285.0	28193.0	7243.0	8856.0	6237.0	4057.0	1800.0	76.0	12.0	4.0
отдельные квартиры	153604.0	152519.0	34473.0	45481.0	41188.0	23686.0	7691.0	997.0	78.0	10.0
коммунальные квартиры	1369.0	299.0	86.0	80.0	70.0	46.0	17.0	839.0	174.0	57.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	94920.0	94678.0	25934.0	29364.0	19488.0	13923.0	5969.0	220.0	20.0	2.0
в том числе:										
индивидуальные дома	40887.0	40863.0	14343.0	14036.0	6175.0	4189.0	2120.0	23.0	1.0	-
отдельные квартиры	53888.0	53753.0	11576.0	15317.0	13291.0	9722.0	3847.0	124.0	9.0	2.0
коммунальные квартиры	145.0	62.0	15.0	11.0	22.0	12.0	2.0	73.0	10.0	-
Курская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	438246.0	434581.0	97881.0	123025.0	101545.0	70541.0	41589.0	3125.0	404.0	136.0
в том числе:										
индивидуальные дома	215919.0	215555.0	60331.0	65138.0	38243.0	29040.0	22803.0	275.0	50.0	39.0
отдельные квартиры	220342.0	218374.0	37405.0	57750.0	63120.0	41388.0	18711.0	1731.0	200.0	37.0
коммунальные квартиры	1985.0	652.0	145.0	137.0	182.0	113.0	75.0	1119.0	154.0	60.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	251221.0	247961.0	44647.0	66506.0	68451.0	45213.0	23144.0	2769.0	372.0	119.0
в том числе:										
индивидуальные дома	57126.0	56820.0	11640.0	15311.0	12824.0	9778.0	7267.0	220.0	47.0	39.0
отдельные квартиры	192318.0	190563.0	32885.0	51072.0	55456.0	35333.0	15817.0	1523.0	195.0	37.0
коммунальные квартиры	1777.0	578.0	122.0	123.0	171.0	102.0	60.0	1026.0	130.0	43.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	187025.0	186620.0	53234.0	56519.0	33094.0	25328.0	18445.0	356.0	32.0	17.0
в том числе:										
индивидуальные дома	158793.0	158735.0	48691.0	49827.0	25419.0	19262.0	15536.0	55.0	3.0	-
отдельные квартиры	28024.0	27811.0	4520.0	6678.0	7664.0	6055.0	2894.0	208.0	5.0	-
коммунальные квартиры	208.0	74.0	23.0	14.0	11.0	11.0	15.0	93.0	24.0	17.0
Липецкая область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	440262.0	436123.0	100890.0	123234.0	104561.0	70853.0	36585.0	3494.0	496.0	149.0
в том числе:										
индивидуальные дома	166879.0	166466.0	50113.0	49227.0	29220.0	22169.0	15737.0	345.0	42.0	26.0
отдельные квартиры	271340.0	269049.0	50661.0	73866.0	75179.0	48575.0	20768.0	1980.0	244.0	67.0
коммунальные квартиры	2043.0	608.0	116.0	141.0	162.0	109.0	80.0	1169.0	210.0	56.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	271878.0	268093.0	53179.0	75156.0	72895.0	45667.0	21196.0	3173.0	471.0	141.0
в том числе:										
индивидуальные дома	49241.0	48886.0	10687.0	13372.0	10680.0	8187.0	5960.0	291.0	39.0	25.0
отдельные квартиры	220834.0	218722.0	42399.0	61678.0	62081.0	37394.0	15170.0	1816.0	232.0	64.0
коммунальные квартиры	1803.0	485.0	93.0	106.0	134.0	86.0	66.0	1066.0	200.0	52.0
Сельские населенные пункты										
